year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.9195,285.058,285.8462,286.8078,287.8667,288.7885,288.9362,288.7258,287.8773,286.8835,285.9633,284.988,286.8884
1851,284.5967,284.9271,285.6393,286.816,287.7533,288.5978,288.826,288.6175,287.7847,286.7525,286.0071,285.0536,286.780966666667
1852,284.8408,285.009,285.5104,286.7427,287.6939,288.656,288.6868,288.6483,287.8853,286.7433,285.9428,285.2576,286.801408333333
1853,284.9321,285.0375,285.9637,286.8426,287.9235,288.6306,289.0623,288.7905,287.9696,287.2353,286.1197,285.412,286.993283333333
1854,285.1786,285.3575,285.9507,286.9347,287.8726,288.8792,288.9948,288.6667,288.0112,287.031,286.1373,285.3884,287.033558333333
1855,285.0792,285.2773,285.7621,286.8212,287.938,288.75,289.0156,288.8552,288.0095,286.9936,286.2206,285.2395,286.996816666667
1856,284.8549,285.1984,286.0531,286.8535,287.8319,288.6374,288.8799,288.622,287.8635,287.014,286.0519,285.2555,286.926333333333
1857,284.8437,285.304,285.8304,286.8808,287.9157,288.7097,288.8174,288.5127,287.7446,286.7928,285.8643,285.0572,286.856108333333
1858,284.847,285.1467,285.8492,286.7588,287.7,288.6055,288.794,288.4631,287.8691,286.7742,285.8704,285.0844,286.813533333333
1859,284.8979,285.0961,285.7429,286.4941,287.5801,288.5655,288.6809,288.5731,287.7685,286.8306,285.8849,285.037,286.762633333333
1860,284.9637,285.199,285.6938,286.8477,287.9112,288.6549,288.8705,288.5917,287.8481,287.0057,285.9747,285.3318,286.907733333333
1861,285.0332,285.1381,285.9809,286.7404,287.8324,288.6968,288.9079,288.6899,287.8107,286.8444,285.7113,285.0084,286.8662
1862,284.8582,285.1006,285.6445,286.5409,287.7105,288.6157,288.7982,288.4615,287.9677,286.9397,285.9786,285.2072,286.818608333333
1863,285.0165,285.2784,285.9459,286.8074,287.8452,288.5992,288.8993,288.7244,287.8949,286.9696,285.9665,285.2655,286.9344
1864,285.1354,285.2943,285.8614,286.7957,287.8718,288.6896,288.8954,288.639,287.7413,286.875,286.0973,285.4648,286.94675
1865,285.0783,285.2813,285.8476,286.7281,287.854,288.6134,288.7825,288.491,287.8536,286.8723,285.7814,284.9558,286.844941666667
1866,284.7981,285.0267,285.4357,286.4034,287.6295,288.5283,288.738,288.4689,287.813,286.8691,285.9956,285.2998,286.750508333333
1867,284.9636,285.2672,285.7683,286.8132,287.7636,288.6541,288.8605,288.4894,287.7956,287.0606,286.1481,285.2211,286.900441666667
1868,284.886,285.107,285.6505,286.6821,287.6921,288.6544,288.8511,288.6725,287.7515,286.9481,286.0204,285.1919,286.8423
