year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,284.7552,285.031,285.3781,285.9901,286.8043,287.777,288.1064,287.8778,287.231,286.3246,285.6329,284.9908,286.324933333333
1852,285.0179,285.0938,285.5215,286.1146,286.7502,287.443,287.7527,287.7153,287.1189,286.142,285.4705,284.6484,286.2324
1853,284.7574,284.5557,285.0001,286.0507,286.7899,287.2846,287.8484,287.745,287.1828,286.141,285.1988,284.9245,286.123241666667
1854,284.6722,284.826,285.1488,285.9263,286.8524,287.304,287.5279,287.5907,287.1163,285.8847,285.4718,284.6769,286.083166666667
1855,284.7061,284.6729,285.2759,285.8373,286.7842,287.5797,287.9077,287.7361,286.9664,285.903,285.3049,284.9283,286.133541666667
1856,284.8455,284.7886,285.4226,286.0354,286.8502,287.4606,287.8027,287.8745,287.1201,286.1184,285.519,285.1487,286.248858333333
1857,284.822,284.9932,285.3325,286.0153,286.8732,287.5639,287.7613,287.6174,287.0843,286.2111,285.3163,285.0175,286.217333333333
1858,284.9917,284.5377,285.2339,285.8768,286.7393,287.4142,287.6901,287.5325,286.9076,285.9372,285.4704,284.8603,286.099308333333
1859,285.013,284.899,285.1799,286.01,286.8534,287.5211,287.8767,287.8329,287.0817,286.2024,285.4967,285.1439,286.259225
1860,285.0633,285.1289,285.4934,286.3254,287.0111,287.7564,287.966,287.8178,287.2846,286.3588,285.5336,285.0987,286.403166666667
1861,285.1267,284.922,285.4934,286.2068,287.1502,287.6233,287.9124,287.7355,287.054,286.2376,285.3248,284.8808,286.305625
1862,284.8011,285.0682,285.3493,285.9947,286.7626,287.3589,287.7441,287.7013,287.1117,285.9579,285.3009,284.8872,286.169825
1863,284.8982,285.0933,285.6119,286.1014,287.0141,287.6334,288.0087,287.9786,286.9605,286.2224,285.6511,285.1721,286.362141666667
1864,285.2568,285.1541,285.4926,286.0857,287.1117,287.7784,288.0181,287.7417,286.974,286.2017,285.4977,284.8832,286.349641666667
1865,284.5239,284.5234,285.2265,286.0302,286.6214,287.2143,287.6287,287.6603,287.0195,286.057,285.4006,285.0645,286.080858333333
1866,284.5446,284.8767,285.1728,286.1038,286.9368,287.6488,287.7809,288.0052,287.2854,286.2201,285.5819,285.0886,286.270466666667
1867,284.819,284.7004,285.4961,286.0482,287.0134,287.6535,287.9242,287.7054,287.0776,285.9512,285.2223,284.6195,286.1859
1868,284.5258,284.5953,284.8679,285.5266,286.5069,287.1659,287.4673,287.3463,286.8071,285.8408,285.0602,284.5876,285.858141666667
1869,284.6268,284.3317,284.915,285.617,286.753,287.5093,287.8991,287.8578,287.122,286.0011,285.4341,285.1184,286.098775
1870,285.0566,284.8903,285.6492,286.1284,287.0039,287.748,288.1249,287.732,287.1565,286.1757,285.64,284.9425,286.354
1871,284.8177,284.6707,285.1727,285.7372,286.5889,287.3538,287.7438,287.6701,287.0933,285.991,285.4726,284.8778,286.099133333333
1872,284.9228,284.6986,285.5473,286.0688,286.9476,287.6195,287.9732,287.9688,287.1621,286.1952,285.2935,284.7859,286.265275
1873,284.9907,284.9638,285.4852,286.2552,287.0417,287.463,287.8013,287.9062,286.9034,286.1426,285.2869,284.7051,286.245425
1874,284.5197,284.5648,285.1354,285.9185,286.8549,287.4272,288.0143,287.6821,287.1943,286.2305,285.4137,284.9623,286.159808333333
