year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.9238,284.9135,285.4425,286.0498,286.9229,287.5569,287.7575,287.4904,286.731,285.877,285.1591,284.7859,286.134191666667
1851,284.4428,284.6757,285.002,285.756,286.8811,287.3082,287.5091,287.6875,286.9174,285.8437,285.013,284.3885,285.952083333333
1852,284.6096,284.5375,284.8542,285.6783,286.6025,287.3629,287.6539,287.618,287.0504,285.9258,285.1709,284.9129,285.998075
1853,284.8352,285.0405,285.4326,285.8488,286.7452,287.5334,287.8691,287.7241,287.2061,286.0823,285.163,284.8296,286.192491666667
1854,284.9272,284.8855,285.0969,285.9572,286.8257,287.534,287.9524,287.6852,286.9728,286.0502,285.2393,284.7349,286.155108333333
1855,284.7523,284.7509,285.5356,286.1227,286.8712,287.5319,287.7081,287.5272,286.739,285.7273,285.0182,284.6259,286.075858333333
1856,284.5339,284.8536,284.9054,285.796,286.6713,287.3271,287.706,287.3805,286.6817,285.5898,284.7876,284.7621,285.91625
1857,284.5892,284.5577,284.9342,285.6689,286.7177,287.3465,287.5687,287.6559,287.0076,286.0004,285.2205,284.8205,286.007316666667
1858,284.7721,284.8024,285.3004,285.9259,286.7422,287.3835,287.7654,287.6428,286.8576,286.1771,285.2394,284.8968,286.125466666667
1859,284.7318,284.7538,285.54,285.9915,286.8014,287.5435,287.9851,287.7916,287.149,286.01,285.2873,284.8997,286.207058333333
1860,284.8884,285.1895,285.2164,286.0842,286.8912,287.5752,287.8791,287.5434,287.1075,285.7972,285.1927,284.7089,286.172808333333
1861,284.3857,284.521,285.0652,285.6318,286.4676,287.1987,287.5574,287.4555,286.7914,285.7313,285.1235,284.519,285.870675
1862,284.3723,284.2388,284.9277,285.7717,286.6422,287.3297,287.6564,287.6968,286.9661,286.0201,285.0291,284.828,285.956575
1863,284.6795,284.5797,285.2856,285.7569,286.5997,287.4712,287.9244,287.7993,287.0593,286.1006,285.2576,285.0244,286.128183333333
1864,284.9483,284.9726,285.6133,286.3826,287.1524,287.8339,288.0651,288.0399,287.0561,286.1516,285.1356,284.9141,286.355458333333
1865,284.6694,284.5797,285.2108,285.9413,286.8027,287.5869,287.8724,287.6147,286.7245,285.7879,285.2221,284.6982,286.059216666667
1866,284.3233,284.4629,284.7078,285.5883,286.5928,287.3577,287.7778,287.6938,286.9761,286.0697,285.3384,284.7712,285.97165
1867,284.6594,284.7985,285.0243,285.9839,286.8468,287.359,287.6826,287.5445,286.9536,285.8573,285.1146,284.8741,286.058216666667
1868,284.7165,284.5076,285.0417,286.0965,286.9794,287.5844,287.8913,287.4888,286.8437,285.9784,285.2216,284.7806,286.094208333333
1869,284.5076,284.338,284.9621,285.6555,286.6824,287.286,287.6504,287.6314,286.9853,285.9543,284.9244,284.62,285.933116666667
