year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,-0.625,,,-90,90,,,,-0.208333333333333
1850,284.5793,285.063,285.5697,286.4463,287.2762,288.0864,288.413,288.265,287.4857,286.4348,285.4076,284.739,286.4805
1851,284.5803,284.9579,285.5847,286.4291,287.2711,288.0146,288.4402,288.2455,287.4333,286.3213,285.2949,284.7038,286.439725
1852,284.5988,284.9381,285.4412,286.3224,287.2706,288.0759,288.4377,288.1974,287.4301,286.3174,285.2718,284.7325,286.419491666667
1853,284.6753,284.7753,285.4406,286.3007,287.1861,288.0052,288.4867,288.2545,287.4979,286.3678,285.3551,284.6976,286.420233333333
1854,284.5971,285.0224,285.3651,286.2405,287.1482,287.8436,288.3194,288.0795,287.2576,286.1893,285.2821,284.6081,286.329408333333
1855,284.4422,284.9514,285.5009,286.2509,287.1496,287.9778,288.3167,288.2217,287.3321,286.2631,285.3585,284.6239,286.365733333333
1856,284.5093,284.7094,285.4684,286.305,287.2736,287.9716,288.3947,288.1876,287.375,286.2953,285.3771,284.7406,286.383966666667
1857,284.5085,284.8601,285.4594,286.3141,287.1485,287.929,288.2848,288.1337,287.3839,286.2787,285.2828,284.6326,286.351341666667
1858,284.5993,284.8712,285.47,286.3475,287.1683,288.0605,288.4017,288.1667,287.4182,286.3223,285.2984,284.6594,286.398625
1859,284.5724,284.9353,285.6142,286.4506,287.3318,288.0255,288.4413,288.2131,287.4592,286.414,285.3495,284.7844,286.465941666667
1860,284.699,284.9732,285.5079,286.4444,287.1962,288.0295,288.4758,288.2056,287.4465,286.4484,285.4015,284.7308,286.463233333333
1861,284.5611,284.9004,285.5508,286.4281,287.1979,287.8572,288.3656,288.1823,287.3501,286.2029,285.199,284.6417,286.369758333333
1862,284.6424,284.7981,285.5121,286.3691,287.12,288.0003,288.4133,288.1699,287.4413,286.3271,285.2708,284.6893,286.396141666667
1863,284.6467,284.8842,285.606,286.4448,287.2859,288.0834,288.5258,288.3017,287.4726,286.3733,285.3762,284.8741,286.489558333333
1864,284.7575,285.0462,285.613,286.4713,287.3628,288.0726,288.4278,288.2188,287.429,286.5097,285.4031,284.8533,286.513758333333
1865,284.6566,284.9919,285.57,286.3699,287.3116,287.9561,288.3711,288.1685,287.4313,286.2774,285.2416,284.5495,286.407958333333
1866,284.5102,284.7478,285.4923,286.301,287.1694,288.0172,288.4102,288.1787,287.4231,286.3584,285.3055,284.6901,286.383658333333
1867,284.558,285.0127,285.6682,286.4656,287.3246,288.0494,288.4557,288.3127,287.495,286.4489,285.3997,284.7748,286.497108333333
1868,284.8139,284.9922,285.5942,286.3322,287.2186,287.9474,288.4784,288.1928,287.4101,286.3063,285.3975,284.7739,286.454791666667
1869,284.6682,284.9223,285.4642,286.2599,287.2251,287.9714,288.4016,288.24,287.4928,286.3945,285.3498,284.6389,286.419058333333
1870,284.6454,284.8386,285.5157,286.4188,287.3003,288.0935,288.4358,288.2814,287.4253,286.3752,285.3527,284.6292,286.442658333333
1871,284.5513,284.9106,285.6034,286.4581,287.2588,288.0004,288.4168,288.2736,287.4958,286.358,285.2958,284.7422,286.447066666667
1872,284.5328,284.7137,285.4147,286.2475,287.1489,287.9775,288.487,288.1974,287.4777,286.3188,285.3332,284.7569,286.383841666667
1873,284.6731,284.8988,285.6156,286.3689,287.3365,288.0455,288.5118,288.3012,287.5285,286.3548,285.3274,284.6858,286.470658333333
1874,284.6531,284.9604,285.5849,286.3897,287.226,288.117,288.5062,288.3296,287.5626,286.4489,285.4298,284.7584,286.497216666667
1875,284.6552,284.9405,285.5355,286.4455,287.3135,288.06,288.5244,288.2332,287.485,286.3473,285.5085,284.7827,286.485941666667
1876,284.7695,285.0151,285.5409,286.4403,287.3657,288.0712,288.4774,288.2609,287.4744,286.406,285.4306,284.7968,286.504066666667
1877,284.7751,285.0227,285.658,286.4972,287.3136,288.0825,288.5502,288.2788,287.5019,286.4168,285.5164,284.8667,286.539991666667
1878,284.6441,285.0114,285.6002,286.5116,287.3618,288.1999,288.4706,288.2403,287.4962,286.4398,285.4435,284.8063,286.518808333333
1879,284.6629,284.9318,285.5479,286.3764,287.3137,288.0452,288.4376,288.3133,287.4724,286.4338,285.4464,284.7921,286.481125
1880,284.6253,284.9264,285.6088,286.4692,287.2905,288.0822,288.4498,288.2776,287.45,286.3596,285.4566,284.8637,286.488308333333
1881,284.6371,284.9117,285.6194,286.4161,287.3683,288.0731,288.5046,288.3279,287.5817,286.5182,285.5319,284.7979,286.523991666667
1882,284.7624,284.9736,285.6361,286.4803,287.3087,288.0264,288.4416,288.2541,287.4762,286.3831,285.4621,284.7726,286.4981
1883,284.6226,284.9911,285.4769,286.343,287.3086,288.0588,288.5099,288.189,287.3979,286.2791,285.0125,284.3994,286.3824
1884,284.3183,284.6312,285.0624,285.8325,286.6459,287.3849,287.8654,287.6639,286.9304,285.7563,284.7676,284.1927,285.920958333333
