year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,284.5595,285.0052,285.6459,286.442,287.449,288.0809,288.5281,288.2635,287.5195,286.581,285.5658,285.0305,286.555908333333
1852,285.0209,285.2321,285.7844,286.6035,287.4355,288.1141,288.5965,288.2271,287.4782,286.4786,285.4785,284.8621,286.609291666667
1853,284.6497,284.9409,285.5164,286.2877,287.2397,287.9985,288.4794,288.1505,287.4706,286.3893,285.4487,284.7592,286.444216666667
1854,284.4941,284.9031,285.2321,286.1036,287.1611,287.9296,288.3365,287.9431,287.2398,286.266,285.3457,284.7025,286.304766666667
1855,284.5727,284.7229,285.414,286.3121,287.2607,287.9591,288.3244,288.2471,287.258,286.2586,285.2375,284.5867,286.34615
1856,284.4168,284.7243,285.4548,286.1771,287.178,287.9591,288.4983,288.2145,287.4237,286.2844,285.5825,284.6178,286.377608333333
1857,284.3306,284.9205,285.6792,286.3655,287.2426,288.0557,288.4766,288.3773,287.5468,286.3105,285.369,284.6869,286.446766666667
1858,284.8299,285.0957,285.6013,286.3906,287.2855,288.1215,288.4114,288.2829,287.5342,286.2662,285.3254,284.7427,286.490608333333
1859,284.7397,285.0188,285.6949,286.4676,287.3548,287.9907,288.4517,288.2751,287.5013,286.3679,285.2319,284.7112,286.4838
1860,284.6225,285.1316,285.6528,286.6927,287.2559,288.1013,288.5309,288.3372,287.5804,286.4481,285.3122,284.7662,286.535983333333
1861,284.5622,284.8926,285.5562,286.3373,287.1992,287.8514,288.334,288.2154,287.3898,286.2136,285.1976,284.6049,286.36285
1862,284.6971,284.8439,285.4952,286.2861,287.0693,287.9182,288.2764,288.1348,287.5226,286.2853,285.456,285.0035,286.4157
1863,284.8398,284.9932,285.7701,286.5581,287.4364,288.0835,288.6505,288.3405,287.5834,286.4776,285.4098,284.7743,286.576433333333
1864,284.6164,284.8719,285.4842,286.3924,287.295,288.0171,288.3618,288.2022,287.3351,286.5005,285.3053,284.6935,286.42295
1865,284.3828,285.0896,285.5093,286.2701,287.0263,287.8817,288.5231,288.2738,287.55,286.3604,285.3271,284.6407,286.402908333333
1866,284.575,285.0271,285.8116,286.4213,287.3123,288.1578,288.55,288.3357,287.5644,286.5341,285.4931,284.916,286.5582
1867,284.6039,285.1063,285.9358,286.794,287.515,288.1298,288.644,288.457,287.6479,286.687,285.6586,285.208,286.698941666667
1868,285.0841,285.3177,285.7742,286.5363,287.5675,288.1495,288.5603,288.215,287.4743,286.3384,285.4173,284.7463,286.598408333333
1869,284.6043,285.004,285.4615,286.1428,287.1479,287.9398,288.2676,288.1652,287.5233,286.3213,285.1041,284.6374,286.359933333333
1870,284.4731,284.6926,285.5888,286.3014,287.3097,287.9593,288.4794,288.2385,287.2964,286.2444,285.1888,284.5648,286.361433333333
1871,284.3935,284.915,285.6321,286.5475,287.3445,287.8833,288.5233,288.2838,287.5266,286.4263,285.311,284.6653,286.45435
1872,284.5443,284.6132,285.3792,286.1837,287.2056,288.2025,288.5198,288.1842,287.5042,286.4148,285.2204,284.7845,286.396366666667
1873,284.9977,285.0007,285.6754,286.2834,287.4084,288.2632,288.7149,288.6005,287.6842,286.5619,285.6031,284.8172,286.634216666667
1874,284.798,285.2803,285.9242,286.6376,287.4609,288.3325,288.7782,288.4279,287.7258,286.7337,285.5999,284.847,286.712166666667
1875,284.7555,285.0199,285.602,286.6241,287.2913,287.9875,288.399,288.0753,287.5959,286.3289,285.2766,284.574,286.460833333333
1876,284.5669,284.9741,285.5565,286.3047,287.3437,287.983,288.4175,288.2064,287.3759,286.397,285.4817,284.7701,286.448125
1877,284.6154,285.0583,285.6542,286.3704,287.2991,288.0929,288.4909,288.2691,287.4185,286.4571,285.6007,284.847,286.514466666667
1878,284.6976,285.2569,285.7202,286.7211,287.5591,288.5353,288.7082,288.344,287.6003,286.6284,285.5742,284.7914,286.678058333333
1879,284.8731,284.9311,285.6362,286.498,287.5771,288.1201,288.5049,288.3991,287.4651,286.5645,285.3808,285.0774,286.585616666667
1880,284.6978,284.8808,285.5721,286.5579,287.2934,288.0869,288.4476,288.3132,287.3865,286.2605,285.3612,284.7312,286.465758333333
1881,284.4246,284.5695,285.478,286.2862,287.1599,288.0087,288.3967,288.2643,287.4836,286.413,285.4078,284.6654,286.379808333333
1882,284.8582,284.899,285.5358,286.5106,287.2497,288.1764,288.479,288.373,287.6786,286.4936,285.7744,284.8911,286.576616666667
1883,284.8617,285.0804,285.6699,286.5725,287.3926,288.1644,288.5866,288.2944,287.5471,286.363,284.9173,284.4475,286.49145
1884,284.4292,284.7787,285.1088,285.9243,286.5792,287.3758,287.7573,287.4894,286.8113,285.6925,284.7612,284.1872,285.907908333333
1885,284.0644,284.5547,285.0376,285.8764,286.8365,287.6079,288.1523,287.8326,286.9866,286.093,284.8943,284.3834,286.026641666667
1886,284.4379,284.5674,285.2826,286.3289,287.1642,287.7757,288.0166,287.981,287.2271,286.0134,285.0593,284.5496,286.200308333333
1887,284.3438,284.5943,285.3859,285.9316,286.9949,287.8195,288.2967,288.0088,287.2557,286.2727,285.2135,284.4246,286.211833333333
1888,284.2074,284.5866,285.1483,285.8647,286.991,287.5733,288.0992,288.044,287.4267,286.1614,285.2466,284.5787,286.160658333333
1889,284.385,284.7231,285.5706,286.2104,287.0331,287.8647,288.3944,288.2164,287.3789,286.2175,285.1954,284.6266,286.318008333333
1890,284.4723,284.7556,285.1633,286.0611,286.8188,287.6347,288.127,287.8825,287.1098,286.0211,284.9254,284.3781,286.112475
1891,284.2185,284.4747,285.0987,286.0117,286.7858,287.6204,288.0549,287.8036,287.0422,286.076,285.0375,284.5599,286.065325
1892,284.2764,284.5128,285.2036,286.282,287.0402,287.7647,288.1622,287.9556,287.2995,286.1385,285.034,284.5731,286.186883333333
1893,284.4053,284.9066,285.3268,286.0693,286.8374,287.6357,288.1084,288.0526,287.192,286.0122,284.9925,284.5382,286.173083333333
1894,284.4516,284.6151,285.2237,286.0818,286.8864,287.544,288.0528,288.0066,287.3204,286.1869,285.2259,284.8099,286.200425
1895,284.7556,284.8135,285.3948,286.4414,287.1663,287.8512,288.4126,288.1311,287.5211,286.3888,285.4853,284.9658,286.443958333333
1896,284.9155,285.3343,285.7105,286.6194,287.4238,288.3799,288.7916,288.3279,287.593,286.5764,285.4723,284.8302,286.664566666667
1897,284.7446,284.6734,285.5759,286.3519,287.0173,287.8182,288.1997,287.9334,287.219,286.0518,285.2989,284.4109,286.274583333333
1898,284.2197,284.7457,285.3577,285.9496,286.9699,287.5925,288.0616,288.0051,287.2849,286.0391,285.0098,284.6945,286.160841666667
1899,284.4569,284.4268,285.4117,286.2484,287.0949,287.886,288.2354,288.1572,287.3395,286.1898,285.0284,284.4942,286.247433333333
1900,284.4392,285.0245,285.5587,286.2938,287.3006,288.0612,288.351,288.2272,287.4569,286.261,285.297,284.5867,286.404816666667
1901,284.7153,284.9777,285.7411,286.6073,287.3174,288.0709,288.4184,288.1927,287.516,286.3833,285.3642,284.6616,286.497158333333
1902,284.5977,284.92,285.5094,286.3222,287.2391,287.9521,288.5355,288.0741,287.2866,286.3208,285.1655,284.5852,286.375683333333
1903,284.2426,284.4562,285.1227,285.8126,286.6311,287.4835,287.9037,287.8502,286.8398,285.6436,284.8015,284.3456,285.927758333333
1904,284.1451,284.5327,284.8937,285.8737,286.7186,287.4987,287.9153,287.7353,286.8535,285.9372,284.9243,284.3772,285.950441666667
1905,284.379,284.5572,285.1198,286.0309,287.0135,287.7464,288.244,287.9519,287.1686,285.9046,284.8352,284.3322,286.106941666667
1906,284.3096,284.3195,284.8947,286.0084,286.8663,287.6733,288.0456,287.8343,287.091,286.2241,285.0688,284.4564,286.066
1907,284.3175,284.7427,285.0851,286.1226,286.8438,287.778,288.0854,287.7485,287.1512,286.1754,285.3643,284.7802,286.182891666667
1908,284.437,284.7281,285.5714,286.2369,286.9873,287.8044,288.1344,288.09,287.219,286.1659,285.1378,284.2769,286.232425
