year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,,,,,,,,,
,,,,,-0.625,,,-90,90,,,,-0.208333333333333
1850,284.6941,285.0223,285.5396,286.4157,287.2398,288.0798,288.5271,288.2398,287.5066,286.4771,285.4311,284.8429,286.501325
1851,284.8028,285.1765,285.7077,286.5796,287.429,288.1767,288.5608,288.2736,287.5233,286.4765,285.482,284.8269,286.584616666667
1852,284.8009,284.8884,285.6217,286.3359,287.3015,288.0309,288.4468,288.2564,287.4623,286.4731,285.4715,284.746,286.486283333333
1853,284.7044,285.0435,285.6886,286.4848,287.3331,288.132,288.5028,288.2397,287.503,286.4106,285.3917,284.8097,286.520325
1854,284.5979,284.9099,285.5107,286.272,287.1678,287.8764,288.2964,288.1278,287.3963,286.2756,285.3022,284.6472,286.365016666667
1855,284.6194,284.9175,285.5507,286.4261,287.294,288.0034,288.4806,288.2995,287.5429,286.3878,285.3364,284.9,286.479858333333
1856,284.7456,284.9979,285.6552,286.4283,287.3819,288.1176,288.5368,288.3465,287.6451,286.4752,285.3463,284.732,286.534033333333
1857,284.7628,284.9712,285.7064,286.4489,287.3589,288.0447,288.4455,288.2658,287.4551,286.3493,285.3665,284.8482,286.501941666667
1858,284.6322,284.8435,285.5273,286.3438,287.2349,287.9366,288.4577,288.1873,287.4552,286.3908,285.3774,284.7657,286.429366666667
1859,284.7078,284.9021,285.519,286.3196,287.2605,288.0007,288.4278,288.2922,287.4973,286.3393,285.3336,284.6878,286.440641666667
1860,284.6721,284.9537,285.5511,286.3536,287.2468,288.0215,288.4448,288.2104,287.4303,286.4025,285.3938,284.7466,286.452266666667
1861,284.6602,284.9639,285.6164,286.3514,287.2905,288.0288,288.4948,288.2784,287.4417,286.3775,285.3355,284.7172,286.463025
1862,284.5564,284.938,285.5057,286.3919,287.3146,288.0721,288.4488,288.2343,287.5219,286.415,285.4166,284.7612,286.464708333333
1863,284.6645,284.9326,285.5832,286.4284,287.2924,288.0335,288.4989,288.291,287.5137,286.4456,285.4763,284.8172,286.498108333333
1864,284.7403,284.9453,285.5638,286.4336,287.3471,288.0284,288.4356,288.1967,287.4664,286.42,285.3876,284.7015,286.472191666667
1865,284.5628,284.8633,285.541,286.3929,287.2426,288.072,288.4809,288.2871,287.4707,286.3817,285.4338,284.8618,286.465883333333
1866,284.7766,284.9869,285.4849,286.3472,287.2849,287.9439,288.4248,288.2265,287.4805,286.4188,285.3532,284.8386,286.4639
1867,284.6831,284.9378,285.5388,286.4269,287.2718,288.0365,288.4777,288.2986,287.4756,286.4353,285.5315,284.8573,286.497575
1868,284.7044,284.9315,285.6581,286.4784,287.2982,288.068,288.5272,288.3263,287.5567,286.5641,285.5396,285.0197,286.556016666667
1869,284.8761,285.1875,285.6832,286.4903,287.3369,288.0523,288.5101,288.3259,287.5378,286.4651,285.4047,284.8708,286.561725
1870,284.5946,284.9939,285.5193,286.2947,287.1988,287.9,288.4476,288.2915,287.4811,286.3884,285.3498,284.6972,286.429741666667
1871,284.5686,285.0033,285.5591,286.453,287.2616,288.0033,288.4994,288.2969,287.5403,286.4359,285.4979,284.8685,286.498983333333
1872,284.63,284.8747,285.6627,286.4304,287.313,288.2013,288.5313,288.3347,287.5248,286.516,285.5314,284.8899,286.536683333333
1873,284.7949,285.1104,285.7175,286.5348,287.3756,288.2055,288.5943,288.3858,287.5714,286.4835,285.4699,284.9221,286.597141666667
1874,284.8091,284.9898,285.7084,286.6123,287.3436,288.1219,288.5489,288.3089,287.5502,286.4322,285.4625,284.8243,286.559341666667
1875,284.6932,284.993,285.6024,286.5517,287.4144,288.1594,288.5857,288.2933,287.5922,286.5553,285.575,284.9278,286.578616666667
1876,284.8148,285.1627,285.7933,286.5028,287.3768,288.2296,288.5826,288.3344,287.5481,286.5467,285.5473,284.7771,286.60135
1877,284.7343,285.0651,285.6697,286.5495,287.4151,288.1267,288.5389,288.3232,287.5041,286.4063,285.4463,284.7838,286.546916666667
1878,284.625,284.8896,285.4914,286.2977,287.2711,288.0318,288.4316,288.299,287.4756,286.3937,285.3751,284.7343,286.442991666667
1879,284.6566,284.8746,285.6132,286.406,287.2937,288.0412,288.5157,288.3002,287.5769,286.499,285.4877,284.7982,286.50525
1880,284.7755,285.0914,285.6407,286.5002,287.4309,288.1467,288.5927,288.3993,287.588,286.5188,285.4679,284.8084,286.580041666667
1881,284.8292,285.0374,285.7059,286.5775,287.4554,288.1855,288.5976,288.4108,287.6245,286.5731,285.4765,284.9364,286.617483333333
1882,284.7981,285.0921,285.6878,286.5044,287.4215,288.1096,288.5901,288.3608,287.6169,286.5443,285.5668,284.9619,286.604525
1883,284.7668,285.1146,285.642,286.5255,287.3921,288.1015,288.4982,288.2637,287.4658,286.3088,285.1864,284.5562,286.485133333333
1884,284.2898,284.4718,285.1046,285.9193,286.7157,287.4073,287.882,287.7109,286.9112,285.9807,284.9522,284.3663,285.975983333333
1885,284.4141,284.6914,285.2971,286.1538,286.9356,287.7502,288.1848,288.0313,287.2517,286.1592,285.2431,284.5247,286.21975
1886,284.4941,284.8272,285.4088,286.1832,287.037,287.8021,288.3045,288.0366,287.2992,286.2477,285.2345,284.636,286.292575
1887,284.3451,284.7832,285.3468,286.1907,287.1382,287.8145,288.232,288.0787,287.3619,286.283,285.2009,284.6376,286.284383333333
1888,284.5109,284.783,285.4451,286.3965,287.2948,287.9931,288.4959,288.2854,287.4758,286.3928,285.3219,284.6723,286.422291666667
1889,284.533,284.8271,285.4199,286.3453,287.2472,287.9992,288.4906,288.2824,287.4737,286.4435,285.4774,284.807,286.445525
1890,284.7251,284.9888,285.4802,286.3844,287.1617,287.8342,288.3001,288.0587,287.2417,286.1694,285.0476,284.4883,286.32335
1891,284.4546,284.833,285.3495,286.2267,287.0504,287.8706,288.2614,288.0866,287.2803,286.1729,285.2267,284.5598,286.281041666667
1892,284.5299,284.8087,285.4339,286.2606,287.1357,287.9129,288.2903,288.1152,287.3626,286.2455,285.2506,284.637,286.331908333333
1893,284.4262,284.76,285.4683,286.304,287.2043,287.9895,288.4412,288.1775,287.4187,286.2713,285.2982,284.746,286.375433333333
