year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.9137,285.3077,285.9076,286.6157,287.2963,288.3066,288.5519,288.1908,287.5028,286.5066,285.2032,284.7397,286.586883333333
1851,284.7932,284.9706,285.6586,286.4496,287.351,288.0191,288.4066,288.1313,287.342,286.2896,285.1161,284.6031,286.427566666667
1852,284.4324,284.6117,285.3964,286.0354,287.0518,287.824,288.2253,288.085,287.3298,286.3014,285.3542,284.5819,286.269108333333
1853,284.4681,284.9862,285.558,286.3067,287.2499,288.0201,288.4511,288.1628,287.373,286.2775,285.1568,284.5801,286.382525
1854,284.6757,285.124,285.6119,286.4912,287.3267,287.9305,288.2684,288.2137,287.4752,286.4804,285.4326,284.639,286.472441666667
1855,284.4529,284.8943,285.4011,286.3774,287.2712,287.9634,288.369,288.273,287.4974,286.2924,285.293,284.6969,286.3985
1856,284.6432,284.8661,285.5229,286.1894,287.0968,287.9254,288.464,288.1276,287.5838,286.3691,285.1902,284.6076,286.382175
1857,284.4848,284.9326,285.7009,286.5702,287.4449,287.9866,288.5314,288.2603,287.43,286.4164,285.4987,284.7408,286.4998
1858,284.7435,284.9124,285.5877,286.5727,287.4644,288.0277,288.5528,288.3185,287.5133,286.5413,285.4176,284.7761,286.535666666667
1859,284.9532,284.81,285.5682,286.2809,287.3655,287.9995,288.481,288.3712,287.4591,286.2692,285.4472,284.5563,286.463441666667
1860,284.5499,284.8741,285.4012,286.1715,287.0695,287.923,288.3656,288.0942,287.1193,286.2921,285.0641,284.4838,286.284025
1861,284.6506,284.9211,285.4853,286.0706,287.1491,287.8977,288.4661,288.1495,287.3028,286.3383,285.2307,284.7604,286.368516666667
1862,284.6145,284.98,285.6433,286.3501,287.2823,288.1655,288.5429,288.2187,287.5586,286.4213,285.4766,284.8827,286.511375
1863,284.7054,284.9974,285.5519,286.7417,287.2999,288.1588,288.499,288.2219,287.4556,286.4159,285.3239,284.5602,286.4943
1864,284.5607,284.6571,285.5905,286.4286,287.1803,287.9238,288.3367,288.1249,287.3038,286.3136,285.2111,284.6656,286.358058333333
1865,284.2354,284.7139,285.3345,286.1856,287.2062,288.1086,288.6689,288.3296,287.4602,286.3236,285.5191,284.718,286.4003
1866,284.6109,285.0193,285.3006,286.536,287.4562,288.0228,288.4518,288.1487,287.5142,286.3102,285.2953,284.7621,286.452341666667
1867,284.7281,284.741,285.448,286.4839,287.2754,287.938,288.4098,288.2651,287.3526,286.3315,285.3512,284.7556,286.42335
1868,284.6281,285.1097,285.8647,286.4742,287.251,287.924,288.492,288.4708,287.5569,286.4502,285.6747,285.1017,286.583166666667
1869,284.8768,285.1937,285.7566,286.532,287.3585,288.017,288.5468,288.4339,287.6248,286.3907,285.5113,284.9383,286.598366666667
1870,284.4923,284.6828,285.2503,286.3402,287.11,287.7982,288.2811,288.2768,287.3533,286.2625,285.0546,284.3484,286.270875
1871,284.4089,284.8112,285.2783,286.3263,287.1135,287.9796,288.5686,288.361,287.6934,286.4217,285.4592,284.9163,286.444833333333
1872,284.5166,284.8001,285.7586,286.5401,287.4977,288.3968,288.8072,288.4405,287.5868,286.6438,285.5518,285.0833,286.635275
1873,284.885,285.0379,285.4869,286.2596,287.2963,288.2018,288.4116,288.364,287.6048,286.5371,285.4635,284.7926,286.528425
1874,284.8397,285.1131,285.7049,286.649,287.5029,288.2605,288.5018,288.3391,287.5258,286.512,285.3149,284.7474,286.584258333333
1875,284.7929,285.0314,285.3868,286.46,287.3646,288.1102,288.6407,288.3504,287.578,286.4848,285.6656,284.9617,286.568925
1876,285.0295,285.3117,285.8862,286.5558,287.3046,288.0866,288.4587,288.1916,287.3591,286.2572,285.393,284.39,286.518666666667
1877,284.6292,284.702,285.2809,286.2792,287.1619,287.8434,288.3827,288.1865,287.3986,286.2894,285.3317,284.7034,286.349075
1878,284.4855,284.9497,285.6479,286.2997,287.0473,287.9089,288.3434,288.1805,287.5864,286.3405,285.3779,284.7024,286.405841666667
1879,284.5865,284.7329,285.6,286.513,287.4011,288.1174,288.4858,288.2535,287.6223,286.6763,285.6211,285.0592,286.555758333333
1880,284.948,285.3237,285.5258,286.389,287.4338,288.1965,288.6633,288.4664,287.7193,286.5874,285.3664,285.081,286.641716666667
1881,285.0415,285.0971,285.7213,286.6018,287.4906,288.24,288.6164,288.3112,287.4326,286.5322,285.434,284.8687,286.615616666667
1882,284.6805,284.9169,285.4476,286.3352,287.2948,288.0502,288.5771,288.3765,287.5872,286.4427,285.7,284.9421,286.529233333333
1883,284.8387,285.3544,285.616,286.6229,287.5175,288.1807,288.5402,288.3114,287.481,286.5789,285.3195,284.3911,286.562691666667
1884,284.2123,284.5097,285.1455,285.8371,286.8082,287.3675,287.9547,287.7264,286.9039,285.8758,285.0416,284.2798,285.971875
1885,284.5076,284.6698,285.2479,286.2098,286.9388,287.7639,288.0649,287.8681,287.0363,286.0371,285.1593,284.3515,286.154583333333
1886,284.3385,284.8325,285.3331,286.0409,286.8613,287.6741,288.4332,287.9913,287.4251,286.4122,285.3029,284.7099,286.279583333333
1887,284.4568,284.9741,285.3637,286.3927,287.3707,287.9212,288.3888,288.176,287.4529,286.4136,285.3588,284.6284,286.408141666667
