year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,285.0259,285.2327,285.7893,286.5462,287.4814,288.2287,288.5909,288.4305,287.6635,286.5573,285.664,284.907,286.67645
1851,284.924,285.072,285.7225,286.7573,287.4639,288.1008,288.4634,288.3498,287.5022,286.3728,285.5371,284.8432,286.592416666667
1852,284.3425,284.6362,285.484,286.2871,287.1331,287.968,288.4316,288.3286,287.5264,286.3521,285.4514,284.7518,286.391066666667
1853,284.7256,284.9094,285.6642,286.3588,287.2625,288.1065,288.5434,288.2397,287.4578,286.6075,285.6313,284.7967,286.525283333333
1854,284.7956,285.1752,285.683,286.4666,287.2566,288.1737,288.4834,288.2719,287.5834,286.6425,285.6481,285.1601,286.611675
1855,285.0142,285.1252,285.8853,286.8674,287.5602,288.2792,288.708,288.5502,287.675,286.6786,285.7004,284.9124,286.746341666667
1856,284.8029,285.2157,285.796,286.529,287.3606,287.9909,288.3742,288.1451,287.5248,286.3712,285.1592,284.5649,286.486208333333
1857,284.4731,284.7345,285.5854,286.2629,287.1127,287.8668,288.2583,288.2646,287.5537,286.2534,285.2723,284.7536,286.365941666667
1858,284.6982,285.0913,285.4922,286.2601,287.3549,288.1079,288.4966,288.353,287.4439,286.4297,285.4955,284.6375,286.4884
1859,284.8486,285.2498,285.8178,286.5976,287.4826,288.0744,288.5296,288.475,287.6061,286.5467,285.6411,284.855,286.643691666667
1860,284.8116,285.3823,285.9964,286.7145,287.404,288.1504,288.7123,288.4927,287.6286,286.781,285.6049,284.8838,286.713541666667
1861,285.1017,285.2225,285.8121,286.8203,287.4236,288.2384,288.6433,288.4318,287.6482,286.6728,285.6992,285.0009,286.726233333333
1862,284.817,285.1623,285.7795,286.6014,287.4321,288.2943,288.62,288.4707,287.621,286.4893,285.3854,285.0709,286.645325
1863,284.9413,285.0033,285.8131,286.7499,287.4377,288.1268,288.5433,288.3112,287.4291,286.4388,285.4069,284.8329,286.586191666667
1864,284.6554,285.1625,285.767,286.5094,287.3841,288.1664,288.6496,288.3661,287.5777,286.5447,285.5985,285.2436,286.635416666667
