year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,-1.25,,,-90,90,,,,-0.416666666666667
1850,284.2867,284.6954,285.5131,286.5159,287.4655,288.2785,288.5764,288.3483,287.5686,286.4806,285.4025,284.5625,286.4745
1851,284.3566,284.6808,285.5937,286.6126,287.5325,288.2869,288.551,288.2905,287.5934,286.5823,285.47,284.6823,286.519383333333
1852,284.5056,284.9024,285.675,286.733,287.6569,288.45,288.8098,288.5571,287.8068,286.7843,285.5717,284.8448,286.69145
1853,284.7793,285.1311,285.9443,287.0448,287.8746,288.6369,288.9061,288.608,287.8456,286.7514,285.5748,284.7458,286.820225
1854,284.3929,285.1582,285.6913,286.6306,287.5843,288.2646,288.5872,288.361,287.5533,286.4984,285.4694,284.6653,286.571375
1855,284.4016,284.7853,285.5441,286.5337,287.5038,288.1709,288.514,288.3639,287.5675,286.4156,285.4476,284.6478,286.491316666667
1856,284.4396,284.8738,285.6603,286.6926,287.713,288.3934,288.7047,288.4318,287.6465,286.5496,285.2523,284.6639,286.585125
1857,284.4479,284.8271,285.6754,286.6651,287.58,288.334,288.6423,288.2527,287.5349,286.3989,285.4591,284.5612,286.53155
1858,284.2042,284.8278,285.7223,286.7046,287.6605,288.2899,288.5764,288.3867,287.5748,286.4951,285.3262,284.5873,286.52965
1859,284.5096,284.8171,285.5275,286.5401,287.5017,288.2216,288.5729,288.2621,287.5574,286.4976,285.4064,284.6266,286.503383333333
1860,284.3338,284.9244,285.7271,286.7164,287.572,288.2869,288.6931,288.44,287.7115,286.659,285.7166,284.7724,286.629433333333
1861,284.46,285.0442,285.8347,286.7413,287.7935,288.4078,288.7295,288.4863,287.715,286.5881,285.6118,284.7197,286.677658333333
1862,284.614,284.8566,285.5438,286.6337,287.6091,288.3198,288.6671,288.5109,287.6707,286.6373,285.4506,284.7343,286.603991666667
1863,284.3958,285.0306,285.8011,286.6957,287.6208,288.429,288.6754,288.5139,287.7964,286.6438,285.6973,284.8287,286.677375
1864,284.6466,285.0687,285.8002,286.8174,287.7513,288.4186,288.7722,288.5704,287.8367,286.8171,285.6615,284.8953,286.754666666667
1865,284.851,285.1286,285.9671,286.9882,287.8793,288.5902,288.8401,288.5217,287.688,286.6045,285.3897,284.6719,286.760025
1866,284.7044,284.8745,285.6615,286.7129,287.5749,288.2876,288.6982,288.4254,287.64,286.5523,285.3992,284.6191,286.595833333333
1867,284.4338,284.8448,285.7743,286.6364,287.5834,288.2262,288.6319,288.367,287.6572,286.6818,285.6071,284.6483,286.591016666667
1868,284.6049,285.0975,285.8644,286.8169,287.8312,288.5296,288.8361,288.5439,287.8931,286.7831,285.6846,284.7874,286.772725
