year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.5155,284.9348,285.6885,286.5342,287.4264,288.0757,288.4796,288.2643,287.5245,286.4493,285.5385,284.6207,286.504333333333
1851,284.3184,284.8077,285.766,286.4299,287.3259,288.1158,288.3429,288.1305,287.5376,286.4195,285.232,284.2918,286.393166666667
1852,284.2678,284.5727,285.5232,286.4256,287.2383,288.0445,288.353,288.1652,287.4777,286.325,285.3492,284.566,286.359016666667
1853,284.2719,284.878,285.5278,286.4352,287.5281,288.0712,288.3716,288.19,287.4218,286.4471,285.2534,284.5929,286.41575
1854,284.5887,284.9734,285.4348,286.348,287.3611,288.0389,288.3091,287.9248,287.2839,286.2537,285.2202,284.5253,286.355158333333
1855,284.1987,284.4681,285.1517,286.3147,287.2805,288.0338,288.3652,288.1651,287.4049,286.206,285.1312,284.4799,286.26665
1856,284.3933,284.7568,285.3143,286.2744,287.1218,287.9027,288.368,288.0498,287.4454,286.2606,285.2897,284.3545,286.294275
1857,284.2846,284.7776,285.4197,286.2944,287.1653,287.8905,288.1852,287.9828,287.2892,286.2935,285.1216,284.3708,286.256266666667
1858,284.3087,284.5545,285.3904,286.3388,287.2847,287.9605,288.3272,288.0667,287.3789,286.353,285.0808,284.4041,286.287358333333
1859,284.3144,284.671,285.4688,286.3115,287.3672,288.2115,288.4465,288.1473,287.3691,286.1117,284.9719,284.4978,286.324058333333
1860,284.2545,284.2848,285.1721,286.377,287.1553,287.7067,288.2572,287.9777,287.329,286.1559,285.0164,284.2746,286.163433333333
1861,284.2271,284.5565,285.1747,286.0861,287.0948,287.7285,288.2051,287.9001,287.1622,286.023,284.9538,284.1733,286.1071
1862,284.2089,284.6052,285.2086,286.3104,287.2232,288.0103,288.4907,288.2562,287.5883,286.3496,285.2944,284.3351,286.323408333333
1863,284.3669,285.0641,285.7488,286.5925,287.6036,288.3369,288.6003,288.4145,287.5592,286.3824,285.3661,284.5994,286.552891666667
1864,284.3083,284.6066,285.4703,286.4815,287.3654,287.9243,288.3811,288.1112,287.3148,286.1808,285.1407,284.1988,286.290316666667
1865,284.227,284.567,285.1282,286.2069,287.3737,288.1596,288.4288,288.1034,287.4314,286.2922,285.3496,284.6188,286.323883333333
1866,284.6092,285.1968,285.7263,286.5453,287.5209,288.3705,288.5436,288.3481,287.4853,286.4818,285.3578,284.3755,286.546758333333
1867,284.2766,284.7667,285.4429,286.53,287.2679,288.1207,288.2856,288.0749,287.3676,286.4141,285.1825,284.4808,286.350858333333
1868,284.4658,284.6327,285.5914,286.4299,287.1752,287.8807,288.3777,288.148,287.3192,286.3875,285.1761,284.4,286.332016666667
1869,284.3436,284.6519,285.3592,286.2849,287.3955,288.0623,288.3503,288.2192,287.5565,286.3608,285.3555,284.7306,286.389191666667
1870,284.4399,284.7864,285.7165,286.4447,287.3374,288.098,288.3619,288.1173,287.299,286.1571,285.0907,284.4528,286.358475
1871,284.1243,284.5034,285.2982,286.3747,287.2281,287.8278,288.2817,288.0444,287.3056,286.1583,284.9377,284.1809,286.188758333333
1872,283.9339,284.6232,285.2184,286.3347,287.4293,288.0238,288.2981,288.0419,287.329,286.2257,285.2297,284.4193,286.258916666667
1873,284.2567,284.5768,285.4992,286.3267,287.313,288.0094,288.3052,288.0322,287.1484,286.1558,285.0729,284.3952,286.257625
1874,284.3178,284.5417,285.5744,286.4042,287.4203,288.1737,288.3562,288.059,287.4441,286.1325,285.1322,284.5018,286.338158333333
1875,284.3117,284.5935,285.3995,286.5783,287.3175,288.0464,288.3349,288.1594,287.4757,286.3969,285.2041,284.4887,286.358883333333
1876,284.2879,284.5312,285.4851,286.3063,287.2196,287.9735,288.2641,288.0536,287.3014,286.0775,284.9566,284.325,286.231816666667
1877,284.1951,284.5625,285.4595,286.5227,287.4098,288.1691,288.4892,288.1154,287.4721,286.2296,285.3854,284.5397,286.379175
1878,284.4886,284.8594,285.5365,286.6844,287.4012,287.9428,288.3624,288.2495,287.4958,286.4467,285.3233,284.7625,286.462758333333
1879,284.6139,284.7684,285.4191,286.6404,287.5073,288.2317,288.4,288.2203,287.3292,286.1804,285.1624,284.6404,286.426125
1880,284.2781,284.7169,285.5179,286.3434,287.2082,288.0178,288.3528,288.2405,287.5469,286.2956,285.3415,284.6146,286.37285
1881,284.328,284.5359,285.8376,286.3706,287.3061,287.9288,288.4523,288.1887,287.3675,286.2961,285.3718,284.551,286.377866666667
1882,284.3617,284.7914,285.5521,286.3258,287.4382,288.0899,288.4561,288.2812,287.4977,286.328,285.4486,284.6527,286.435283333333
1883,284.567,284.9309,285.6357,286.6143,287.4677,288.2518,288.5699,288.3072,287.444,286.1558,285.0938,284.2605,286.44155
1884,284.2874,284.6173,285.2807,286.2933,287.1045,287.7492,287.9775,287.7566,287.0364,285.9448,284.8459,284.3729,286.105541666667
1885,284.1444,284.4641,285.106,286.1612,287.0376,287.7906,288.1893,287.9183,287.1395,285.7679,284.9275,284.1722,286.068216666667
1886,284.1841,284.7952,285.4671,286.2395,287.0807,287.7803,288.2685,288.005,287.0887,286.0307,285.0094,284.2293,286.181541666667
1887,284.1068,284.4348,285.2527,286.216,287.0363,287.8189,288.1839,287.8778,287.1885,286.1776,284.9117,284.3071,286.126008333333
1888,284.054,284.652,285.439,286.4014,287.2444,288.0261,288.2878,288.0534,287.3248,286.2189,285.0928,284.379,286.264466666667
1889,284.2665,284.7391,285.4559,286.2758,287.3049,288.1044,288.3541,288.0684,287.2881,286.2982,285.2513,284.5108,286.326458333333
1890,284.3174,284.5977,285.3991,286.2676,287.1726,287.9722,288.3388,288.1175,287.2533,286.1756,285.0211,284.1085,286.22845
1891,284.0334,284.3992,285.1053,286.2118,287.2613,287.8922,288.2319,287.8521,287.0317,286.0325,284.8864,284.2652,286.10025
1892,284.1255,284.4812,285.4084,286.0345,287.0449,287.8639,288.0973,287.9809,287.183,285.9412,284.8658,283.9714,286.083166666667
1893,283.8354,284.415,285.0536,286.0553,286.952,287.666,287.9999,287.7628,287.0693,285.9876,284.9869,284.1305,285.992858333333
1894,283.9193,284.2829,285.2399,286.3423,286.998,287.8132,288.2285,287.8737,287.2545,285.9608,285.1038,284.136,286.096075
