year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.618,285.1815,285.8395,287.1233,288.0457,288.65,288.9637,288.607,287.8476,287.0027,285.7258,285.2016,286.900533333333
1851,285.1814,285.4185,286.2189,287.3091,288.3164,288.8857,289.0206,288.7721,288.0507,287.089,286.0396,285.4989,287.150075
1852,285.2733,285.6052,286.348,287.1489,288.0871,288.6913,288.9171,288.6187,287.7443,286.7905,285.6826,285.051,286.9965
1853,284.8284,285.2589,286.0322,287.0494,287.9818,288.536,288.642,288.4729,287.7301,286.7335,285.7825,284.9591,286.8339
1854,284.7024,285.3034,285.9642,286.9374,287.9063,288.7292,288.8398,288.7011,287.9801,286.9409,285.8022,285.2847,286.924308333333
1855,284.9535,285.393,286.1946,287.2742,288.3642,288.834,289.0342,288.6073,287.8344,286.8653,285.6466,284.8245,286.985483333333
1856,284.5952,284.9332,285.9016,286.8457,287.8365,288.524,288.7425,288.3091,287.7032,286.614,285.8105,284.9632,286.731558333333
1857,284.6528,285.1935,286.0186,287.0876,288.0265,288.6138,288.8565,288.6427,287.8887,286.7982,285.8072,285.1841,286.897516666667
1858,284.9803,285.3635,286.2352,287.203,288.3417,288.9645,289.1127,288.6296,287.9211,286.8558,285.7777,284.7909,287.014666666667
1859,284.5172,285.0943,285.8291,286.958,287.744,288.4373,288.6129,288.3499,287.6194,286.3887,285.5533,284.8393,286.66195
1860,284.6951,285.1613,285.906,287.0067,288.02,288.8022,288.8496,288.5961,287.866,286.9237,285.9777,285.2995,286.925325
1861,285.2331,285.6408,286.478,287.3658,288.6196,289.0037,289.1765,288.8954,288.1102,286.9858,285.7713,285.0923,287.197708333333
1862,284.805,285.0712,286.0058,287.1606,288.2101,288.7876,288.8066,288.4551,287.8434,286.6554,285.6999,284.9639,286.87205
1863,284.7987,285.3247,286.1628,287.1129,288.1538,288.7361,288.8177,288.6533,287.8559,286.8548,285.7958,285.1867,286.954433333333
