year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,284.4736,284.9156,285.2881,286.3191,287.321,288.0804,288.7923,288.55,287.5872,286.3617,285.243,284.6918,286.46865
1852,284.6411,284.7863,285.6366,286.3827,287.1977,288.0003,288.6966,288.4659,287.5052,286.5307,285.4284,284.6317,286.491933333333
1853,284.517,284.6659,285.4432,286.2686,287.1991,288.0395,288.6124,288.623,287.6496,286.6484,285.4068,284.8134,286.490575
1854,284.5602,284.6904,285.4221,286.2217,287.1181,288.0394,288.5597,288.2838,287.3521,286.2162,285.2281,284.5889,286.356725
1855,284.5399,284.8085,285.3488,286.3223,287.076,288.0609,288.5814,288.3918,287.4537,286.2268,284.9936,284.473,286.356391666667
1856,284.5417,284.6977,285.3458,286.2334,287.2448,288.1389,288.7472,288.5243,287.5188,286.4581,285.3511,284.6844,286.457183333333
1857,284.4554,284.8294,285.5416,286.4509,287.3023,288.3027,288.8947,288.6255,287.7289,286.3844,285.1161,284.6449,286.523066666667
1858,284.3275,284.7736,285.5213,286.4564,287.2734,288.1929,288.8504,288.716,287.6422,286.4616,285.3552,284.6612,286.519308333333
1859,284.4774,284.8523,285.3881,286.1856,287.1877,288.1527,288.8227,288.6222,287.8521,286.7289,285.636,284.6963,286.550166666667
1860,284.7038,284.939,285.4438,286.4498,287.4645,288.3207,288.8874,288.8041,287.8966,286.6957,285.4523,284.9654,286.668591666667
1861,284.8597,284.9373,285.6192,286.2564,287.3456,288.2361,288.8717,288.7046,287.6912,286.5677,285.5655,284.7292,286.61535
1862,284.6503,284.7734,285.5555,286.5652,287.2339,288.2656,288.7986,288.7174,287.8407,286.5916,285.4076,284.937,286.6114
1863,284.6153,285.0585,285.6533,286.2871,287.189,288.0494,288.7847,288.6609,287.6658,286.5096,285.2346,284.7339,286.536841666667
1864,284.6891,285.1746,285.813,286.398,287.421,288.4715,288.9992,288.7895,287.8864,286.6494,285.4969,284.8346,286.7186
1865,284.8958,285.1747,285.7007,286.4065,287.3205,288.385,288.9963,288.8888,287.9594,286.7164,285.781,284.9592,286.765358333333
1866,284.8762,285.2943,285.7978,286.623,287.4903,288.3501,289.0896,288.8552,287.9419,286.6876,285.5598,284.9888,286.796216666667
1867,284.7981,284.9411,285.7419,286.6731,287.5327,288.4529,288.9511,288.8013,287.971,286.5199,285.4608,284.9506,286.732875
1868,284.7821,285.0572,285.6366,286.5521,287.529,288.4471,288.9387,288.7173,287.8146,286.5515,285.3735,284.6932,286.674408333333
1869,284.6476,284.9714,285.6624,286.4243,287.2891,288.1705,288.9102,288.7962,287.6644,286.5352,285.4662,284.8747,286.617683333333
1870,284.845,285.1866,285.4651,286.3291,287.2793,288.1261,288.7433,288.5522,287.6951,286.4713,285.3532,284.8347,286.573416666667
1871,284.7313,284.8433,285.3155,286.3666,287.3162,288.0757,288.7022,288.6066,287.6671,286.3185,285.2026,284.7321,286.489808333333
1872,284.5535,284.8924,285.6356,286.4324,287.4393,288.1363,288.6779,288.4923,287.5322,286.1758,285.2603,284.7592,286.498933333333
