year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,-0.938,,,-89.497,89.497,,,,-0.312666666666667
1850,283.7867,283.9411,284.7409,285.9153,286.9887,287.7017,287.8624,287.5751,286.7646,285.7755,284.7707,284.1186,285.828441666667
1851,283.8914,284.1124,284.8759,286.0167,287.1837,287.8091,287.9835,287.694,286.8732,285.929,284.8596,284.0694,285.941491666667
1852,283.9761,284.101,284.8747,285.9733,287.1117,287.8284,287.9255,287.68,286.876,285.8746,284.7357,284.1015,285.921541666667
1853,283.8412,284.1116,284.8253,285.9657,287.1016,287.7835,287.9048,287.6153,286.7862,285.7249,284.6978,284.0456,285.866958333333
1854,283.7458,284.0207,284.6988,285.8275,286.9301,287.6652,287.8219,287.5458,286.7791,285.7333,284.7121,284.0417,285.7935
1855,283.8379,284.072,284.7458,285.9912,287.1038,287.7785,287.8799,287.6288,286.7987,285.836,284.7941,284.0535,285.876683333333
1856,283.8028,284.0203,284.8304,285.9756,287.0827,287.778,287.8839,287.6564,286.7337,285.7335,284.7504,284.0003,285.854
1857,283.8774,284.0362,284.6956,285.8286,286.9503,287.6433,287.7683,287.4461,286.6469,285.6119,284.593,283.8481,285.745475
1858,283.7022,283.951,284.6581,285.865,287.0201,287.7112,287.8158,287.4914,286.7047,285.6824,284.7107,283.9899,285.775208333333
1859,283.807,283.9499,284.7477,285.9548,287.0364,287.7411,287.8636,287.5797,286.746,285.7461,284.708,283.9783,285.82155
1860,283.7602,283.9573,284.7209,285.8955,287.0197,287.7216,287.7957,287.5237,286.7814,285.7013,284.6574,284.0354,285.797508333333
1861,283.7565,284.0071,284.7001,285.9236,287.0921,287.7296,287.8296,287.56,286.8052,285.7483,284.7252,283.9966,285.822825
1862,283.8124,284.1286,284.7852,286.0058,287.1355,287.79,287.8633,287.5352,286.7355,285.7237,284.6485,283.9148,285.839875
1863,283.7542,284.0013,284.8284,285.9272,287.0225,287.772,287.8667,287.6009,286.8267,285.8106,284.7884,284.0209,285.85165
1864,283.8092,284.1398,284.8027,285.9309,287.0691,287.7034,287.9184,287.6127,286.865,285.8418,284.7695,284.0617,285.877016666667
1865,283.8979,284.1633,284.9212,285.9616,287.0488,287.8034,287.9618,287.6985,286.8513,285.8095,284.7809,284.1033,285.916791666667
1866,283.9201,284.1919,284.8733,286.1053,287.1911,287.855,287.9329,287.7053,286.9193,285.9073,284.8075,284.1307,285.961641666667
1867,283.9216,284.1672,284.8802,285.9994,287.0855,287.8153,287.9206,287.6414,286.8294,285.7728,284.7908,284.0101,285.902858333333
1868,283.8315,284.1017,284.8341,286.0002,287.1275,287.8017,287.947,287.6313,286.8305,285.819,284.8267,284.1221,285.906108333333
1869,283.9509,284.158,284.8348,285.94,287.126,287.8672,287.9995,287.7069,286.9093,285.9269,284.9566,284.2359,285.967666666667
1870,284.012,284.1817,284.9801,286.1071,287.1524,287.893,288.0471,287.7201,286.9131,285.8581,284.7802,284.0734,285.976525
1871,283.8733,284.0832,284.9313,286.0155,287.1913,287.8856,288.0187,287.7386,286.8842,285.9276,284.8591,284.2386,285.970583333333
1872,283.9389,284.184,284.9751,286.0882,287.1512,287.836,288.0487,287.8082,286.9786,285.9676,284.9245,284.1376,286.003216666667
1873,283.9853,284.2913,285.0326,286.1603,287.2585,287.9579,288.0443,287.7843,286.9802,285.9809,285.0157,284.2207,286.059333333333
1874,284.0596,284.2242,284.9149,286.1426,287.2232,287.9106,288.0819,287.7479,286.9171,285.9428,284.8948,284.1213,286.015075
1875,283.9068,284.1572,284.8823,286.0334,287.1637,287.9045,288.0258,287.7484,286.877,285.8217,284.8564,284.1223,285.958291666667
