year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,283.7158,284.0943,284.863,286.0971,287.196,287.6443,287.9099,287.8129,287.0734,286.0096,284.969,284.1347,285.96
1852,284.0292,284.2099,285.0501,286.0943,287.2775,288.0827,288.1294,287.8951,287.0103,286.1025,284.9628,284.3434,286.098933333333
1853,284.0858,284.5057,285.1873,286.0836,287.2966,288.0229,288.1456,287.7508,286.8494,285.8944,284.828,284.0646,286.059558333333
1854,283.9496,284.1406,284.7835,285.7818,286.9194,287.601,287.8698,287.4376,286.6313,285.7137,284.6523,284.0021,285.790225
1855,283.8339,283.9622,284.7452,285.9658,287.1612,287.7805,287.9559,287.6147,286.85,285.9001,284.9684,284.2164,285.912858333333
1856,283.7857,283.8728,284.8364,286.0222,287.0592,287.8188,287.8837,287.7144,286.7924,285.7207,284.7189,283.9388,285.847
1857,283.8694,284.1025,284.7018,285.939,286.9478,287.6796,287.7227,287.4185,286.5562,285.5503,284.4971,283.7402,285.727091666667
1858,283.7403,284.0902,284.5794,285.7719,286.982,287.6937,287.8381,287.6261,286.8419,285.749,284.6303,283.8961,285.786583333333
1859,283.6781,283.8476,284.815,285.8531,287.0062,287.7733,287.8933,287.7021,286.9243,285.8116,284.6898,284.0164,285.834233333333
1860,283.8704,284.014,284.9406,285.9559,287.08,287.7186,287.7694,287.5486,286.8479,285.7875,284.5861,284.0788,285.849816666667
1861,283.6931,283.9308,284.6099,285.7945,287.0099,287.698,287.6226,287.4594,286.6207,285.4226,284.512,283.7343,285.67565
1862,283.7094,284.0424,284.8589,286.0483,287.1513,287.6993,287.7044,287.4478,286.7842,285.8944,284.8619,284.1449,285.862266666667
1863,284.0067,284.2675,284.9306,286.0682,287.2019,287.9656,287.9664,287.7202,286.9432,285.8244,284.8984,284.3278,286.010075
1864,284.0092,284.109,284.7852,285.9002,287.0193,287.6372,288.0294,287.6382,286.7878,285.871,284.6848,284.0076,285.873241666667
1865,283.9764,284.1967,285.0159,285.9629,286.9209,287.7587,287.8836,287.6889,286.7817,285.7961,284.6821,284.1259,285.89915
1866,284.0522,284.2423,285.0415,286.0971,287.2725,287.9018,288.002,287.6975,286.89,285.9946,284.8776,284.1873,286.021366666667
1867,284.0254,284.3994,285.0097,286.094,287.1815,287.8475,287.9497,287.7343,286.9247,285.8571,284.8573,284.0334,285.992833333333
1868,283.75,283.8981,284.6694,285.9022,286.9959,287.6638,287.8285,287.5832,286.819,285.6308,284.7319,284.0813,285.796175
1869,283.8404,284.0707,284.5565,285.8382,287.0617,287.8761,288.0374,287.7101,286.8094,285.8021,284.7518,284.1525,285.875575
1870,283.8842,284.1289,284.8864,285.9369,287.0078,287.6578,287.8022,287.5743,286.796,285.7166,284.8552,284.0827,285.86075
1871,283.7573,283.9886,284.9827,285.9747,287.1772,287.9128,288.0904,287.8312,287.0021,285.9862,284.8329,284.4086,285.995391666667
1872,284.2112,284.1671,285.1145,286.2369,287.4045,288.0422,288.2095,287.8833,287.1553,286.1062,285.1618,284.2174,286.159158333333
1873,284.1035,284.3597,285.1888,286.3077,287.3601,288.0071,288.2063,288.0319,287.0614,285.901,284.9657,284.1696,286.138566666667
1874,284.0197,284.2445,284.8131,285.949,287.1226,287.9237,288.0713,287.7516,287.0128,286.0625,285.0333,284.2545,286.02155
1875,284.0747,284.4478,284.9531,286.178,287.269,287.9211,287.998,287.7938,286.8907,285.8911,284.8822,284.082,286.031791666667
1876,283.9171,284.1286,284.8705,286.0405,287.0524,287.7506,287.983,287.6145,286.5999,285.7494,284.8027,283.9578,285.87225
1877,283.782,283.9683,284.8311,286.0608,287.2621,287.8253,287.9226,287.584,286.8016,285.7657,284.7646,284.0742,285.886858333333
1878,283.7534,283.9797,284.9008,285.8896,287.0546,287.7641,287.8934,287.6364,286.9841,285.9174,284.9719,284.1998,285.9121
1879,283.8937,284.0137,284.9668,285.9553,287.1482,287.8623,288.0014,287.7356,286.9277,286.0456,284.8265,284.2026,285.96495
1880,283.9346,284.3478,285.0077,286.0143,287.1467,287.8549,288.1486,287.8144,287.049,285.8577,285.0524,284.1901,286.03485
1881,284.0041,284.2625,284.7031,286.1162,287.1927,287.9332,287.9725,287.8515,286.8772,285.8676,284.9251,284.1634,285.989091666667
1882,283.8987,284.3052,284.8929,286.0771,287.217,287.7886,287.9683,287.6472,286.7935,285.8233,284.981,284.231,285.96865
1883,283.8802,284.0906,284.8525,286.0699,287.0831,287.7046,287.9828,287.6807,286.7929,285.805,284.6682,283.8184,285.869075
1884,283.5513,283.8745,284.5374,285.5941,286.5898,287.4763,287.5067,287.1165,286.2372,285.3171,284.2812,283.5376,285.468308333333
1885,283.5211,283.7854,284.5671,285.7484,286.9198,287.5508,287.6125,287.4152,286.6052,285.6439,284.6241,283.8916,285.657091666667
1886,283.7867,284.169,284.7906,285.862,287.0527,287.6473,287.7564,287.4833,286.6577,285.5442,284.487,283.8051,285.7535
1887,283.2426,283.5366,284.318,285.4488,286.6772,287.4734,287.5302,287.1976,286.3433,285.4273,284.4771,283.7944,285.455541666667
1888,283.4801,283.7086,284.5721,285.6342,286.7852,287.5403,287.7624,287.3805,286.5228,285.515,284.3379,283.8612,285.591691666667
1889,283.3949,283.7434,284.4529,285.5013,286.6511,287.4489,287.5615,287.2426,286.3988,285.3849,284.1808,283.7939,285.479583333333
1890,283.2879,283.7752,284.3933,285.7057,286.7212,287.4992,287.7596,287.2624,286.6168,285.5125,284.351,283.7809,285.555475
1891,283.5927,283.6211,284.4411,285.6539,286.6517,287.3481,287.5445,287.2783,286.4226,285.5921,284.3849,283.724,285.52125
1892,283.6365,283.9982,284.7016,285.8367,286.9268,287.7856,287.8289,287.4439,286.5101,285.7201,284.6614,283.8758,285.7438
1893,283.687,283.9332,284.6534,285.8412,286.9823,287.6598,287.8464,287.5302,286.6113,285.5603,284.4187,283.7184,285.703516666667
