year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,,,,,,,,,
,,,,,-0.938,,,-89.497,89.497,,,,-0.312666666666667
1850,283.7802,283.9374,284.7213,285.8884,286.9774,287.6934,287.8246,287.5493,286.7707,285.7553,284.7141,284.0301,285.803516666667
1851,283.8077,284.0737,284.7914,285.9799,287.089,287.7643,287.9012,287.5823,286.7877,285.8253,284.7834,284.0765,285.871866666667
1852,283.8657,284.1589,284.8911,286.0313,287.1539,287.8543,287.955,287.6864,286.8772,285.8552,284.8089,284.0715,285.934116666667
1853,283.8818,284.1253,284.8497,285.9961,287.1112,287.8078,287.9746,287.6827,286.8581,285.8204,284.7814,284.074,285.913591666667
1854,283.8781,284.1215,284.8693,286.0247,287.1331,287.794,287.9511,287.6258,286.8582,285.8961,284.8448,284.0721,285.9224
1855,283.8564,284.0723,284.86,285.9758,287.1505,287.8598,287.9984,287.7004,286.8766,285.8993,284.8835,284.1633,285.941358333333
1856,283.9251,284.095,284.8984,286.0437,287.1071,287.8141,287.9023,287.6428,286.8004,285.7937,284.7458,283.9755,285.895325
1857,283.7567,283.9915,284.7153,285.8834,286.9294,287.6229,287.7868,287.4728,286.6564,285.5922,284.5947,283.8979,285.741666666667
1858,283.7552,283.9113,284.6893,285.8333,286.9739,287.7037,287.8496,287.4748,286.7018,285.6878,284.7041,283.9855,285.772525
1859,283.7391,284.0224,284.7646,285.8719,287.0211,287.7159,287.8641,287.5851,286.7787,285.7176,284.716,283.9659,285.813533333333
1860,283.7686,284.0584,284.7849,285.9637,287.1129,287.7799,287.8877,287.6074,286.8284,285.7937,284.7748,284.0381,285.866541666667
1861,283.8341,284.0572,284.8307,285.9952,287.1323,287.8046,287.912,287.6549,286.842,285.8084,284.7419,283.962,285.881275
1862,283.7493,284.0175,284.7286,285.9337,287.0481,287.7082,287.7932,287.5423,286.781,285.7065,284.6889,283.9366,285.802825
1863,283.7459,283.8957,284.7438,285.9336,287.0312,287.7034,287.87,287.5927,286.7647,285.7344,284.7148,283.9978,285.810666666667
1864,283.777,284.0196,284.7677,285.9014,286.9712,287.6684,287.8417,287.6061,286.7681,285.7392,284.7083,283.9866,285.812941666667
1865,283.7295,284.0329,284.8118,285.9461,287.0908,287.7838,287.9318,287.6513,286.8044,285.774,284.7905,284.1003,285.8706
1866,283.8212,284.0499,284.8877,286.0528,287.1625,287.8559,288.0054,287.6436,286.8502,285.8062,284.7914,284.1042,285.91925
1867,283.9063,284.1003,284.8849,286.0294,287.1602,287.8156,287.982,287.6755,286.8975,285.8698,284.8141,284.0865,285.935175
1868,283.8795,284.1304,284.8991,286.0488,287.1414,287.8264,287.977,287.6626,286.8841,285.8638,284.8529,284.1574,285.943616666667
1869,283.8881,284.1537,284.8759,286.0347,287.1558,287.8552,287.9881,287.6674,286.8713,285.827,284.7746,284.0342,285.927166666667
1870,283.8662,284.0686,284.8485,286.0097,287.1158,287.8093,287.9712,287.6442,286.8422,285.7933,284.7576,284.073,285.899966666667
1871,283.8445,284.0886,284.8061,286.0151,287.1042,287.8298,287.9272,287.6909,286.8895,285.824,284.8282,284.0373,285.907116666667
1872,283.8897,284.1344,284.8942,286.0641,287.1723,287.9186,288.0682,287.789,286.9439,285.9032,284.9136,284.1591,285.987525
1873,284.004,284.2162,284.923,286.0779,287.2087,287.912,288.0638,287.7739,286.9952,285.9643,284.9391,284.1783,286.021366666667
1874,284.0538,284.286,284.9487,286.0959,287.2486,287.9169,288.1003,287.7679,286.9415,285.9166,284.8725,284.1172,286.022158333333
1875,283.9535,284.1784,284.9204,286.1218,287.2538,287.8978,288.0544,287.749,286.9428,285.9228,284.9009,284.2177,286.009441666667
1876,283.9313,284.1826,284.9799,286.0919,287.2044,287.8949,288.0557,287.6904,286.89,285.8786,284.859,284.2106,285.989108333333
1877,283.9586,284.212,284.9854,286.1114,287.2241,287.9344,288.0432,287.7206,286.9666,285.9579,284.9224,284.2433,286.023325
1878,284.0377,284.2623,285.0245,286.0906,287.2863,287.9498,288.0787,287.7431,286.9294,285.9302,284.831,284.1812,286.028733333333
1879,283.9183,284.1707,284.9151,286.0566,287.1747,287.8556,288.0152,287.6749,286.8724,285.8194,284.8509,284.071,285.949566666667
1880,283.8576,284.1533,284.885,286.0455,287.16,287.8779,288.0182,287.7082,286.9399,285.9314,284.8527,284.1787,285.967366666667
1881,284.0114,284.2211,284.9977,286.1369,287.2666,287.9413,288.0938,287.7823,287.0028,286.0001,284.947,284.2583,286.054941666667
1882,283.99,284.2135,284.9922,286.0991,287.2053,287.9231,288.0591,287.7624,286.9604,285.9041,284.8298,284.1486,286.0073
1883,283.8968,284.1396,284.9129,286.0335,287.1195,287.8523,287.9997,287.6953,286.864,285.7924,284.7302,284.0176,285.92115
1884,283.7621,283.9119,284.6547,285.7724,286.8394,287.5236,287.6448,287.2936,286.4503,285.5073,284.4996,283.7244,285.632008333333
1885,283.5258,283.7748,284.5535,285.6887,286.7958,287.517,287.6474,287.3215,286.5641,285.5264,284.4416,283.7822,285.5949
1886,283.6082,283.8301,284.634,285.8113,286.9479,287.6179,287.7803,287.4498,286.6645,285.5801,284.538,283.8019,285.688666666667
1887,283.6172,283.9147,284.7038,285.8167,286.9321,287.6321,287.7551,287.47,286.6672,285.6169,284.5924,283.9173,285.719625
1888,283.7389,283.9642,284.7015,285.8818,286.9763,287.7031,287.8189,287.5316,286.735,285.6895,284.6267,283.8627,285.769183333333
1889,283.6921,283.9227,284.6894,285.8754,287.0089,287.6494,287.7982,287.5045,286.6872,285.642,284.6592,283.8774,285.750533333333
1890,283.7014,283.9915,284.7291,285.8636,286.9574,287.6936,287.7905,287.506,286.6873,285.6308,284.6392,283.9431,285.761125
1891,283.728,283.9887,284.752,285.8793,286.9827,287.6682,287.848,287.5172,286.734,285.711,284.6582,283.9473,285.78455
1892,283.6905,283.936,284.7499,285.8727,286.9858,287.6667,287.8271,287.4835,286.7083,285.6771,284.6516,283.9504,285.766633333333
1893,283.7682,283.971,284.7169,285.9022,287.0535,287.7548,287.8806,287.5726,286.7974,285.7967,284.7348,284.051,285.833308333333
1894,283.8155,284.1064,284.8768,286.003,287.0807,287.8266,287.9358,287.6533,286.8256,285.8025,284.8497,284.0859,285.90515
1895,283.8683,284.1323,284.9252,286.0528,287.1661,287.8157,288.0172,287.6563,286.8528,285.8465,284.8009,284.0533,285.932283333333
1896,283.8822,284.1107,284.8964,285.9966,287.1236,287.8216,288,287.6552,286.8182,285.8212,284.8535,284.1179,285.924758333333
1897,283.9106,284.1567,284.8721,286.0516,287.1577,287.8276,287.9707,287.6768,286.8898,285.9323,284.8576,284.0854,285.949075
1898,283.8981,284.0995,284.91,285.9604,287.1178,287.7638,287.9114,287.6274,286.8376,285.7878,284.7667,284.0407,285.893433333333
1899,283.7779,284.0659,284.8271,285.9704,287.1006,287.7839,287.9343,287.6292,286.8087,285.7498,284.7474,284.0523,285.870625
1900,283.87,284.0665,284.8515,285.9835,287.0575,287.8116,287.9533,287.6607,286.8023,285.7936,284.7422,284.0507,285.88695
1901,283.8966,284.1048,284.8539,285.9987,287.1437,287.8375,288.0272,287.6902,286.8676,285.8934,284.874,284.0904,285.939833333333
1902,283.8634,284.1895,284.9517,286.0748,287.1927,287.8644,288.0042,287.6861,286.8745,285.8696,284.7888,284.0963,285.954666666667
1903,283.8514,284.076,284.7851,285.9247,286.9818,287.6657,287.8206,287.5346,286.6835,285.688,284.6276,283.933,285.797666666667
1904,283.7613,284.035,284.795,285.9835,287.0994,287.7811,287.8572,287.6042,286.8043,285.8263,284.7899,284.0262,285.863616666667
1905,283.861,284.1026,284.8482,286.0075,287.14,287.7959,287.9016,287.5744,286.8227,285.7562,284.7537,284.0734,285.886433333333
1906,283.8622,284.0557,284.8264,285.9479,287.0378,287.7551,287.8896,287.5535,286.8003,285.7708,284.7486,284.0349,285.8569
1907,283.8687,284.118,284.8697,285.9879,287.1024,287.8235,287.9114,287.6317,286.8681,285.8498,284.82,284.1549,285.917175
1908,283.9366,284.2364,284.9649,286.11,287.1659,287.9179,288.053,287.7304,286.8814,285.886,284.8609,284.1504,285.99115
1909,283.9228,284.1533,284.9451,286.1216,287.2033,287.9217,288.0186,287.7164,286.8608,285.8549,284.8685,284.1747,285.980141666667
1910,283.9322,284.172,284.9521,286.0989,287.2326,287.8493,288.0191,287.7028,286.9059,285.8242,284.8433,284.1163,285.970725
1911,283.9582,284.1944,284.9114,286.0669,287.1804,287.8884,288.018,287.7523,286.8883,285.8551,284.8618,284.0923,285.972291666667
1912,283.9229,284.2097,284.9636,286.0872,287.1912,287.8739,287.9481,287.6031,286.799,285.784,284.7953,284.0726,285.93755
1913,283.9189,284.1551,284.8793,286.0094,287.0899,287.8122,287.9665,287.6344,286.8655,285.8319,284.8256,284.1103,285.924916666667
1914,283.9742,284.1891,284.9247,286.0644,287.1792,287.9008,287.9723,287.6625,286.8434,285.8453,284.8206,284.1461,285.960216666667
1915,283.9185,284.2135,285.0149,286.1319,287.2496,287.931,288.0722,287.7606,286.8954,285.8922,284.8971,284.2062,286.015258333333
1916,284.0264,284.2528,285.003,286.1234,287.2236,287.9237,288.0919,287.7664,286.9246,285.8924,284.8712,284.1644,286.021983333333
