year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,283.7975,283.9953,284.7202,285.9247,287.0276,287.7839,287.8469,287.5556,286.7942,285.8783,284.7752,284.1434,285.853566666667
1851,283.8952,284.131,284.8566,286.1273,287.2457,287.7899,287.7463,287.608,286.9734,285.895,284.8897,284.1061,285.938683333333
1852,284.0279,284.2431,284.8595,285.921,287.0374,287.718,287.7819,287.5403,286.8798,285.8003,284.7218,283.9491,285.873341666667
1853,283.7493,284.0571,284.7035,285.8817,286.9468,287.7477,287.8493,287.5972,286.6195,285.5742,284.443,283.8965,285.755483333333
1854,283.7054,284.0087,284.6327,285.9351,287.1284,287.7921,287.8946,287.7278,286.7856,285.9601,284.9339,284.2038,285.89235
1855,284.1145,284.3233,284.9372,286.1619,287.5145,288.132,288.1613,287.9132,287.1083,286.2452,285.1773,284.4112,286.183325
1856,284.2745,284.2796,285.3371,286.4324,287.3605,288.0865,288.1728,287.9028,287.0579,286.0414,284.9875,284.2199,286.179408333333
1857,283.8848,284.231,284.9151,286.0622,287.0992,287.7671,287.9517,287.513,286.7813,285.7179,284.7523,284.1221,285.899808333333
1858,283.829,284.0233,284.6996,285.8993,287.024,287.6729,287.9015,287.4414,286.7672,285.7443,284.7617,284.1089,285.822758333333
1859,283.7982,284.0642,284.8193,285.8659,287.1002,287.6703,287.836,287.5089,286.6486,285.6495,284.6072,283.9525,285.7934
1860,283.7588,284.0326,284.8007,286.0015,287.0385,287.8248,288.0393,287.7163,286.9258,285.9462,284.9748,284.156,285.934608333333
1861,283.9484,284.1533,285.0929,286.2303,287.2928,287.8952,287.9489,287.7166,286.9067,285.9251,284.9056,284.148,286.01365
1862,283.6876,284.0634,284.743,286.0688,287.1505,287.7843,287.9275,287.6115,286.8953,285.7785,284.7087,284.0642,285.873608333333
1863,283.8143,283.9518,284.9495,286.043,287.2917,287.8471,287.8953,287.6,286.7714,285.6737,284.7817,283.9706,285.882508333333
1864,283.8655,284.0837,284.7629,286.005,286.9879,287.6661,287.9487,287.7187,286.8399,285.7413,284.8801,284.0375,285.878108333333
1865,283.8224,283.9023,284.8318,285.98,287.0831,287.6836,287.7809,287.545,286.679,285.6494,284.682,284.0952,285.811225
1866,283.7986,284.1824,284.9597,286.0886,287.2159,287.7811,287.9945,287.6397,286.9111,285.8637,284.8034,284.1891,285.952316666667
1867,283.9401,284.0546,284.834,285.968,287.1321,287.7367,288.06,287.7613,287.0724,285.9691,285.0333,284.2611,285.985225
1868,284.1024,284.3387,284.9964,286.1303,287.2418,287.8415,288.1274,287.882,287.1271,286.1653,285.281,284.5472,286.148425
1869,284.254,284.553,285.2746,286.3051,287.4645,288.1819,288.2186,287.9501,287.0656,286.0742,284.954,284.3806,286.223016666667
1870,284.0011,284.267,284.9733,285.9953,287.0864,287.744,287.9857,287.6172,286.8931,285.7579,284.7066,283.9607,285.915691666667
1871,283.9148,284.0432,284.8923,286.0401,287.0657,287.8039,287.8501,287.6247,286.7891,285.7769,284.8132,284.119,285.894416666667
1872,284.0255,284.2101,284.9237,286.2916,287.3643,287.9344,288.1462,287.9673,287.0982,286.0625,285.0908,284.3905,286.125425
1873,284.1924,284.4044,284.9836,286.1494,287.285,287.9731,288.0522,287.8002,286.988,285.9852,284.9991,284.2094,286.085166666667
1874,284.1875,284.5,285.0707,286.2113,287.2944,287.9648,288.1419,287.7809,286.9622,285.9945,284.9755,284.1021,286.098816666667
1875,284.1328,284.4775,284.9665,286.153,287.1203,287.7601,287.9632,287.7445,286.8825,285.7658,284.7284,284.0081,285.975225
1876,283.797,284.0371,284.9181,286.1235,287.2257,287.8642,287.9382,287.7838,287.1445,286.0605,284.9762,284.4204,286.0241
1877,284.3159,284.4143,285.1392,286.2861,287.4558,288.1636,288.3282,287.9156,287.2556,286.1974,285.0388,284.3453,286.237983333333
1878,284.2329,284.4532,285.0448,286.0519,287.3283,288.1697,288.006,287.8322,286.9637,286.0222,284.8687,284.2735,286.103925
1879,283.8827,284.1442,285.0162,285.9719,287.1387,287.7809,288.0767,287.7438,286.8745,285.8322,284.7937,284.0705,285.943833333333
1880,283.8167,284.2532,284.9767,286.1202,287.282,288.0109,288.208,287.8249,287.0887,285.9792,284.9561,284.4541,286.080891666667
1881,284.0968,284.4505,285.2947,286.4061,287.5127,288.1915,288.3618,288.066,287.218,286.2096,285.1641,284.3805,286.279358333333
1882,284.1721,284.5137,285.2126,286.2763,287.3462,288.0301,288.1451,287.8338,287.0683,285.9845,284.9037,284.1457,286.136008333333
1883,284.0108,284.2344,284.9851,286.0476,287.0826,287.7301,287.8583,287.6093,286.7986,285.6835,284.5684,283.796,285.867058333333
1884,283.6385,283.6811,284.5731,285.7493,286.7632,287.4098,287.5453,287.1704,286.4091,285.4687,284.3028,283.5388,285.520841666667
1885,283.4894,283.6176,284.4274,285.6847,286.6523,287.4492,287.586,287.2255,286.3755,285.2801,284.2617,283.6271,285.473041666667
1886,283.452,283.6801,284.4367,285.7839,286.921,287.5684,287.7745,287.4869,286.638,285.4519,284.4191,283.8673,285.623316666667
1887,283.7452,284.0335,284.8504,285.9774,287.1057,287.9396,288.0179,287.5273,286.7289,285.7485,284.7283,284.056,285.871558333333
1888,283.8034,283.8775,284.7534,285.8277,286.9557,287.6476,287.7621,287.4538,286.6588,285.6291,284.5638,283.6367,285.714133333333
1889,283.4897,283.8513,284.5296,285.6668,286.843,287.4779,287.5939,287.2441,286.3808,285.3069,284.356,283.4607,285.516725
1890,283.3922,283.7346,284.4891,285.6569,286.7364,287.485,287.6557,287.3601,286.4985,285.4955,284.483,283.9169,285.575325
1891,283.6806,283.9822,284.7565,285.8233,287.006,287.534,287.8711,287.4071,286.7093,285.6415,284.643,283.8406,285.741266666667
1892,283.7004,284.058,284.7434,285.859,287.1538,287.712,287.8422,287.5218,286.8144,285.8154,284.8463,284.133,285.849975
1893,283.8827,284.1654,284.8009,285.9911,287.1994,287.8299,287.9445,287.6737,286.7756,285.9293,284.9228,284.0546,285.930825
1894,283.9689,284.2239,284.9113,286.0687,287.0981,287.8914,287.9924,287.8805,287.0736,286.1154,285.1423,284.4429,286.06745
1895,284.2873,284.4038,285.1603,286.2434,287.3633,287.9494,288.2144,287.8212,287.0701,285.9223,284.9551,284.1161,286.125558333333
1896,284.2191,284.4022,285.0649,286.2105,287.4073,287.9072,288.0734,287.7799,287.0107,286.0646,285.1153,284.2779,286.12775
