year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,-1.406,,,-89.247,89.247,,,,-0.468666666666667
1850,284.8456,285.1033,285.7698,286.8127,287.7829,288.5604,288.9139,288.7097,287.7794,286.8223,285.8389,285.1091,286.837333333333
1851,285.0014,285.3384,286.0375,287.0548,287.952,288.6855,289.0122,288.7007,287.8699,286.9052,285.902,285.2335,286.974425
1852,284.956,285.2629,285.9684,287.0298,287.9291,288.6938,289.0011,288.7296,287.8917,286.857,285.8952,285.2827,286.958108333333
1853,285.0773,285.2669,285.9102,286.9036,287.9028,288.6708,288.913,288.6284,287.7622,286.8206,285.854,285.1793,286.907425
1854,284.9824,285.2218,285.8665,286.8725,287.8891,288.6323,289.0023,288.7204,287.8409,286.9088,286.0089,285.2615,286.93395
1855,284.9725,285.2248,285.9002,286.9232,287.8748,288.5742,288.9501,288.6747,287.7216,286.7728,285.8176,285.075,286.873458333333
1856,284.8308,284.9762,285.8441,286.8868,287.7329,288.4374,288.8327,288.5448,287.6806,286.7742,285.8453,285.1295,286.792941666667
1857,284.9748,285.2373,285.8734,286.8871,287.7851,288.5182,288.8006,288.5397,287.6869,286.6502,285.6768,284.8897,286.793316666667
1858,284.7083,284.992,285.7148,286.7346,287.6922,288.4412,288.781,288.4515,287.6058,286.6346,285.5822,285.0293,286.697291666667
1859,284.7252,284.9833,285.5887,286.6915,287.664,288.3989,288.7512,288.4865,287.6458,286.7545,285.7824,285.0421,286.709508333333
1860,284.8881,285.1288,285.8995,286.8254,287.8011,288.5785,288.8676,288.6182,287.7513,286.7787,285.8598,285.152,286.84575
1861,284.9478,285.2048,285.8825,286.8423,287.8199,288.5486,288.8885,288.5575,287.7195,286.7199,285.7722,285.0834,286.832241666667
1862,284.8798,285.0355,285.8922,286.8277,287.7664,288.4079,288.7815,288.5484,287.6328,286.6403,285.6784,284.9929,286.756983333333
1863,284.7241,285.0274,285.7636,286.7858,287.6585,288.3911,288.756,288.5167,287.5907,286.677,285.7031,284.9732,286.713933333333
1864,284.7973,284.978,285.7521,286.762,287.6961,288.499,288.8004,288.5471,287.7536,286.7848,285.7752,285.1292,286.7729
1865,284.9724,285.2717,285.9118,286.8941,287.8152,288.578,288.8547,288.5693,287.657,286.662,285.7396,284.9958,286.8268
1866,284.7177,285.0182,285.8002,286.7748,287.6884,288.3727,288.8135,288.5211,287.7003,286.7232,285.7137,285.1089,286.746058333333
1867,284.7871,285.0768,285.7248,286.7347,287.6778,288.4809,288.8133,288.5343,287.6271,286.7538,285.8629,285.1522,286.768808333333
1868,284.9902,285.145,285.9326,286.9682,287.8171,288.5351,288.8985,288.653,287.8156,286.8452,285.8922,285.1782,286.889241666667
1869,284.8762,285.0761,285.7802,286.8056,287.7224,288.534,288.9388,288.5881,287.7197,286.7527,285.8522,285.2458,286.824316666667
1870,284.8825,285.1247,285.8923,286.8911,287.8531,288.6076,288.9417,288.7358,287.8527,286.7646,285.8553,285.0789,286.873358333333
1871,284.9489,285.1142,285.8525,286.9297,287.7709,288.5796,288.9595,288.5884,287.7263,286.778,285.8307,285.2768,286.862958333333
1872,284.9603,285.2722,285.9845,286.9066,287.8844,288.6144,288.9627,288.6251,287.7805,286.9399,285.9753,285.2811,286.93225
1873,285.1071,285.2968,286.0315,287.0176,287.8949,288.6379,288.9734,288.5512,287.7078,286.8069,285.8564,285.1331,286.917883333333
1874,284.8829,285.2083,285.8596,286.8847,287.7548,288.5241,288.8227,288.5852,287.7559,286.7067,285.8583,285.1463,286.832458333333
1875,284.8527,285.1018,285.8227,286.7938,287.7475,288.4788,288.9019,288.6171,287.7795,286.8234,285.889,285.1752,286.83195
1876,284.8899,285.171,285.9105,286.8707,287.7872,288.5508,288.8976,288.5533,287.6325,286.7424,285.7304,285.0244,286.813391666667
1877,284.7573,284.9167,285.7511,286.8288,287.7719,288.4127,288.8311,288.4153,287.7033,286.691,285.7173,285.0333,286.735816666667
1878,284.8784,285.1454,285.7768,286.7818,287.7917,288.51,288.8114,288.584,287.7881,286.817,285.8661,285.2242,286.831241666667
1879,285.0059,285.2456,285.9963,286.8423,287.7952,288.5886,288.924,288.6075,287.7057,286.6846,285.8004,285.1414,286.861458333333
1880,284.7861,285.0075,285.664,286.7274,287.6901,288.4894,288.7968,288.5707,287.6703,286.7293,285.7824,285.0096,286.743633333333
1881,284.8058,285.1048,285.7293,286.7562,287.6588,288.3934,288.7672,288.5417,287.6322,286.6955,285.6972,285.0489,286.735916666667
1882,284.8224,285.13,285.8586,286.8095,287.7179,288.5201,288.8349,288.5838,287.7468,286.7592,285.7504,285.0926,286.802183333333
1883,284.7656,285.0124,285.7671,286.7845,287.7546,288.49,288.8281,288.5111,287.712,286.7247,285.8574,285.1525,286.78
1884,284.8994,285.0441,285.6096,286.6964,287.6481,288.3673,288.6994,288.3732,287.4923,286.4256,285.5049,284.7997,286.63
1885,284.612,284.7899,285.6721,286.5895,287.4144,288.1331,288.4525,288.1584,287.239,286.2334,285.1859,284.5263,286.417208333333
1886,284.4521,284.6528,285.4096,286.3371,287.3593,288.0457,288.3862,288.0857,287.3228,286.327,285.3181,284.7875,286.373658333333
1887,284.5368,284.865,285.5356,286.5891,287.5416,288.2653,288.6058,288.2721,287.4431,286.4506,285.5582,284.8454,286.542383333333
1888,284.6449,284.8152,285.5423,286.5518,287.5066,288.2539,288.6165,288.4015,287.4294,286.3931,285.3721,284.7068,286.519508333333
1889,284.3829,284.7574,285.4378,286.4149,287.4268,288.227,288.595,288.2379,287.4642,286.5375,285.4498,284.811,286.478516666667
1890,284.5686,284.8189,285.5352,286.4688,287.4337,288.1725,288.5036,288.3181,287.4823,286.4809,285.4671,284.9183,286.514
1891,284.6306,284.899,285.5859,286.6279,287.5485,288.2238,288.6416,288.4493,287.5882,286.5645,285.5863,284.9386,286.607016666667
1892,284.7758,284.968,285.6415,286.6363,287.5316,288.2582,288.6317,288.4318,287.6055,286.585,285.5594,284.9887,286.634458333333
1893,284.7985,285.0284,285.7693,286.7751,287.6755,288.4622,288.7813,288.5583,287.6172,286.6716,285.8309,285.2062,286.764541666667
1894,284.8632,285.1326,285.7463,286.7457,287.7526,288.4338,288.7696,288.5014,287.6779,286.6671,285.7714,285.0422,286.75865
1895,284.8018,284.9316,285.6942,286.7153,287.6919,288.4419,288.8418,288.5576,287.7278,286.7402,285.7766,285.1267,286.75395
1896,284.9155,285.2878,285.9789,286.9283,287.8343,288.5373,288.9417,288.6042,287.728,286.6655,285.7045,284.991,286.843083333333
1897,284.7673,285.0042,285.7341,286.5949,287.6443,288.3773,288.6965,288.399,287.5741,286.5961,285.5932,284.9206,286.658466666667
1898,284.7552,285.1023,285.7557,286.7358,287.6175,288.3676,288.7349,288.5012,287.6171,286.6404,285.7472,285.028,286.716908333333
1899,284.7318,285.0917,285.8082,286.7679,287.7186,288.4389,288.756,288.4876,287.67,286.6268,285.7615,285.0938,286.746066666667
1900,284.8069,285.111,285.7275,286.781,287.7591,288.4267,288.7827,288.5674,287.7107,286.713,285.7136,284.9926,286.757683333333
1901,284.7524,285.0535,285.7875,286.8005,287.6746,288.4605,288.7908,288.5176,287.6361,286.7201,285.7035,284.9301,286.7356
