year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,285.1879,285.5611,286.1777,287.1832,288.1417,288.8307,289.1104,288.7183,287.9779,286.9978,285.8949,285.2092,287.082566666667
1852,284.9791,285.2005,285.9816,287.1432,287.9153,288.7419,289.0753,288.696,287.8753,286.9093,286.0236,285.2901,286.985933333333
1853,285.2136,285.3046,286.1299,287.1834,288.0633,288.7479,288.9778,288.7455,287.9182,286.935,286.0932,285.2942,287.05055
1854,285.3708,285.4848,286.0993,287.0024,287.9925,288.8301,289.1732,288.855,288.032,286.985,286.0616,285.3083,287.099583333333
1855,285.0169,285.2348,285.9039,286.8624,287.9356,288.511,288.8658,288.7537,287.6859,286.5905,285.5093,284.823,286.807733333333
1856,284.8947,285.057,285.6945,286.7696,287.7973,288.4657,288.9456,288.6277,287.8241,286.9328,285.942,285.2511,286.850175
1857,285.1848,285.3969,285.9824,286.9693,287.9638,288.632,288.8498,288.5351,287.6145,286.5259,285.609,284.8756,286.844925
1858,284.7381,284.9227,285.78,286.893,287.8033,288.6493,288.7922,288.4858,287.6262,286.7215,285.5936,284.8733,286.739916666667
1859,284.7354,285.0354,285.662,286.7829,287.6938,288.2938,288.6868,288.445,287.6422,286.788,285.6049,284.8457,286.684658333333
1860,284.7123,285.07,285.6647,286.727,287.7787,288.4691,288.7207,288.4718,287.6166,286.6132,285.7594,285.0724,286.722991666667
1861,284.842,285.1027,285.8946,286.8322,287.7967,288.6086,288.8693,288.4708,287.6664,286.8606,285.8153,285.2941,286.837775
1862,284.9092,285.0113,286.0246,287.0257,287.9143,288.5304,288.8549,288.6287,287.7518,286.8209,285.7581,285.1276,286.863125
1863,284.7981,284.9307,285.6497,286.7445,287.6333,288.4209,288.7349,288.5435,287.671,286.6473,285.6041,284.9918,286.697483333333
1864,284.7662,284.7126,285.7088,286.6087,287.634,288.4059,288.8021,288.5419,287.5997,286.7343,285.7972,285.047,286.696533333333
1865,284.7864,285.0334,285.7232,286.6497,287.6145,288.3839,288.8322,288.5261,287.5383,286.6107,285.575,284.834,286.675616666667
1866,284.5745,284.9915,285.7982,286.792,287.7684,288.3985,288.7186,288.5911,287.86,286.6826,285.7012,285.2547,286.760941666667
1867,284.7364,285.1243,285.7357,286.7806,287.7445,288.531,288.7866,288.5461,287.7395,286.7669,285.7607,284.9303,286.765216666667
1868,284.8575,284.9992,285.9506,286.8116,287.7272,288.5189,288.8044,288.6283,287.8442,286.7363,285.7446,285.0613,286.807008333333
1869,284.9561,284.9989,285.8063,286.8097,287.623,288.45,288.8905,288.5237,287.7859,286.8215,285.9678,285.114,286.812283333333
1870,284.878,285.1198,285.7354,286.7449,287.6767,288.4003,288.8305,288.5315,287.7072,286.5961,285.6416,284.7731,286.719591666667
1871,284.8274,284.9838,285.5742,286.7003,287.6472,288.3936,288.8145,288.3405,287.5978,286.7832,285.6966,285.0837,286.703566666667
1872,284.6973,285.1812,285.9773,286.9995,287.9647,288.6767,289.0748,288.541,287.7596,286.9179,285.939,285.1348,286.905316666667
1873,284.9088,285.0528,285.9929,286.9409,287.8896,288.7952,289.0137,288.4479,287.6591,286.7372,285.9582,285.2161,286.884366666667
1874,284.9828,285.3069,285.8675,286.9585,287.7911,288.5305,288.7794,288.5855,287.6231,286.5596,285.7516,284.9623,286.808233333333
1875,284.5819,284.7852,285.506,286.5788,287.6153,288.4534,288.7705,288.5792,287.6892,286.7387,285.8438,285.0454,286.682283333333
1876,284.7133,284.9031,285.8106,286.7773,287.62,288.3096,288.728,288.4112,287.5461,286.7489,285.631,285.1251,286.693683333333
1877,284.7104,284.956,285.731,286.7232,287.8927,288.5157,288.8498,288.3291,287.6767,286.732,285.6473,284.8806,286.720375
1878,284.8323,285.0484,285.705,286.7192,287.7033,288.3882,288.6138,288.5951,287.7231,286.7762,285.7557,285.0211,286.740116666667
1879,284.8726,285.1103,285.7117,286.791,287.8012,288.5021,288.9119,288.606,287.7379,286.8474,285.9559,285.3065,286.846208333333
1880,285.0961,285.1916,285.9004,287.0309,287.9605,288.6815,288.9067,288.5445,287.5837,286.7431,285.635,284.8324,286.8422
1881,284.5036,284.767,285.6483,286.5451,287.4564,288.2502,288.7723,288.4597,287.4547,286.5348,285.4121,284.8972,286.55845
1882,284.6737,284.9327,285.6133,286.5674,287.366,288.282,288.6552,288.3151,287.5985,286.5541,285.7457,285.0243,286.610666666667
1883,284.8787,285.0967,285.8,286.8831,287.7618,288.4968,288.7953,288.5565,287.7975,286.7677,285.8324,285.005,286.805958333333
1884,284.7849,284.8545,285.6861,286.8665,287.6266,288.5217,288.8826,288.4297,287.5705,286.5203,285.6165,284.8896,286.687458333333
1885,284.7727,284.8661,285.7315,286.7273,287.6536,288.3819,288.624,288.3451,287.3768,286.3211,285.3037,284.5603,286.555341666667
1886,284.3475,284.5607,285.287,286.3661,287.3788,288.0051,288.3583,288.012,287.2222,286.0924,285.041,284.7133,286.282033333333
1887,284.4109,284.7706,285.3782,286.386,287.4283,288.1056,288.5469,288.1648,287.2804,286.2633,285.306,284.7064,286.395616666667
1888,284.5237,284.7911,285.5437,286.3563,287.4634,288.2254,288.6441,288.431,287.34,286.3771,285.4044,284.5832,286.473616666667
1889,284.3026,284.6236,285.3123,286.2979,287.4388,288.2064,288.6487,288.2393,287.4485,286.4183,285.4239,284.8216,286.431825
1890,284.5329,284.6736,285.4539,286.3557,287.3065,288.1766,288.416,288.315,287.4132,286.4813,285.4624,284.7992,286.448858333333
1891,284.7081,284.8755,285.5996,286.5517,287.5576,288.349,288.7673,288.4148,287.535,286.575,285.7266,285.096,286.64635
1892,284.9281,285.134,285.7972,286.7195,287.6494,288.3583,288.8346,288.4667,287.6504,286.6462,285.4846,284.8802,286.712433333333
1893,284.7245,284.9147,285.562,286.574,287.3733,288.2179,288.5967,288.3344,287.5383,286.4768,285.4922,285.0087,286.567791666667
1894,284.5828,284.8735,285.4632,286.5382,287.5836,288.1673,288.5942,288.3271,287.5061,286.5415,285.6345,285.1334,286.578783333333
1895,284.9909,284.9103,285.7646,286.9834,287.9013,288.4463,288.8634,288.5041,287.662,286.7299,285.8509,285.1706,286.814808333333
