year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,,,,,,,,,
,,,,,-1.406,,,-89.247,89.247,,,,-0.468666666666667
1850,284.8548,285.0097,285.8737,286.8708,287.8455,288.656,288.922,288.6402,287.7702,286.7507,285.7871,285.1382,286.843241666667
1851,284.8495,285.0044,285.7791,286.8044,287.7855,288.5614,288.941,288.637,287.7024,286.8963,285.9218,285.2496,286.844366666667
1852,284.9464,285.2491,285.911,286.9066,287.9136,288.6126,288.9776,288.6734,287.803,286.7663,285.8137,285.0963,286.889133333333
1853,284.8837,285.0558,285.8308,286.9259,287.8128,288.6219,288.9971,288.6518,287.803,286.9261,286.0012,285.2962,286.900525
1854,285.1206,285.354,286.0294,287.0886,288.0003,288.6792,289.0495,288.8011,287.9109,286.9084,286.0297,285.2876,287.021608333333
1855,285.064,285.2502,286.0357,286.8976,287.8968,288.6417,288.9569,288.6532,287.8508,286.9024,285.9276,285.2865,286.94695
1856,284.9706,285.1187,285.8828,286.7719,287.7416,288.4974,288.8299,288.5446,287.6876,286.7019,285.732,284.9667,286.787141666667
1857,284.7807,285.1538,285.8134,286.7448,287.6855,288.4385,288.8105,288.5331,287.6624,286.6088,285.7318,285.0595,286.7519
1858,284.7798,285.0804,285.8078,286.8536,287.7479,288.4923,288.778,288.5205,287.685,286.7045,285.7325,284.9528,286.761258333333
1859,284.6774,285.0718,285.7165,286.7646,287.7165,288.4279,288.8105,288.5857,287.7112,286.7377,285.7538,285.04,286.751133333333
1860,284.9411,285.0692,285.7977,286.8773,287.7396,288.4741,288.8458,288.601,287.7811,286.8007,285.9041,285.1203,286.829333333333
1861,284.9079,285.1893,285.8199,286.8947,287.8108,288.5197,288.9219,288.6274,287.866,286.8851,285.9162,285.1498,286.875725
1862,284.9177,285.1706,285.9273,286.8874,287.7266,288.5816,288.941,288.6733,287.7149,286.753,285.744,285.0256,286.838583333333
1863,284.7621,285.1632,285.7741,286.8075,287.6888,288.4547,288.8243,288.5577,287.6557,286.6742,285.7979,285.0444,286.76705
1864,284.8252,285.0741,285.67,286.7758,287.7178,288.5466,288.8424,288.5206,287.6442,286.6136,285.6382,284.9406,286.734091666667
1865,284.7257,285.0253,285.7143,286.7624,287.7509,288.4681,288.8121,288.5372,287.6254,286.6839,285.6278,285.0746,286.733975
1866,284.7297,285.0188,285.7118,286.7675,287.7026,288.476,288.8966,288.6092,287.6785,286.7676,285.7815,285.1276,286.772283333333
1867,284.9384,285.0828,285.9157,286.8359,287.7774,288.5364,288.8509,288.5894,287.7691,286.7701,285.8929,285.1794,286.844866666667
1868,284.9027,285.2228,285.9238,286.7754,287.7575,288.5164,288.9116,288.6003,287.7309,286.7679,285.7681,285.1188,286.833016666667
1869,284.9125,285.2339,285.8301,286.8126,287.8438,288.5644,288.9116,288.6695,287.8591,286.9282,285.9203,285.2552,286.8951
1870,285.0318,285.2547,285.9404,287.0239,287.9939,288.6476,289.0341,288.7087,287.8129,286.7892,285.8725,285.2061,286.942983333333
1871,284.8927,285.0905,285.8347,286.8694,287.7943,288.5498,288.8946,288.5771,287.8589,286.8149,285.8452,285.1584,286.848375
1872,284.9595,285.2234,285.9599,286.9535,287.9146,288.659,289.0222,288.7075,287.8622,286.8911,285.8573,285.1326,286.928566666667
1873,284.938,285.0782,285.8552,286.9106,287.7153,288.5222,288.8305,288.5794,287.7765,286.7715,285.9733,285.1578,286.842375
1874,284.9169,285.1935,285.9225,286.9359,287.8502,288.5836,288.9251,288.6666,287.8342,286.9485,285.9365,285.2616,286.914591666667
1875,284.9597,285.2588,285.9128,286.8969,287.8846,288.621,288.9893,288.6312,287.7169,286.7821,285.7845,285.0757,286.876125
1876,284.8787,285.0854,285.7917,286.8412,287.8329,288.5685,288.8712,288.6586,287.8217,286.8654,285.947,285.2259,286.865683333333
1877,285.03,285.2159,285.9598,286.9382,287.9296,288.658,288.9372,288.7176,287.842,286.828,285.8695,285.2025,286.927358333333
1878,284.972,285.2486,285.9779,287.007,287.8906,288.6146,288.958,288.6682,287.878,286.8625,285.8012,285.1401,286.918225
1879,284.9417,285.2771,285.9387,286.9089,287.8467,288.5773,288.9753,288.6197,287.763,286.7994,285.9091,285.1724,286.894108333333
1880,284.9603,285.21,285.9099,286.9091,287.9055,288.597,289.0154,288.6722,287.8812,286.945,285.9944,285.3289,286.944075
1881,285.1693,285.3298,286.0116,287.0476,288.0157,288.7586,289.0474,288.7588,287.9315,286.9347,285.8828,285.1905,287.006525
