year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.838,285.1362,286.0062,286.9614,288.0182,288.7391,288.9761,288.7229,287.8739,286.7362,285.8861,285.2917,286.932166666667
1851,284.8571,284.9608,285.7985,286.8181,287.7992,288.5706,288.8358,288.6304,287.6956,286.7439,285.882,285.1717,286.813641666667
1852,284.9535,285.1733,285.7823,286.7745,287.8432,288.5381,288.8659,288.709,287.7714,286.858,285.8426,285.1467,286.854875
1853,285.0276,285.1682,285.8886,287.0799,287.8959,288.7566,289.1739,288.8172,287.9944,287.1627,286.3419,285.5588,287.072141666667
1854,285.3291,285.7917,286.4593,287.3962,288.2082,288.8491,289.0466,288.9282,287.8721,286.8861,286.0697,285.3687,287.18375
1855,285.0662,285.3864,286.0895,287.0022,287.8574,288.6668,289.1104,288.7673,287.9136,286.9838,286.061,285.3958,287.025033333333
1856,285.2271,285.3778,286.1092,287.0467,288.042,288.6351,289.0182,288.6617,287.8912,286.8557,285.869,285.2061,286.994983333333
1857,285.056,285.3146,285.8979,286.8205,287.8484,288.5031,288.8657,288.5603,287.631,286.6475,285.6427,284.9074,286.807925
1858,284.69,285.0219,285.7055,286.7936,287.6314,288.311,288.6848,288.4362,287.5708,286.7259,285.7404,285.0676,286.698258333333
1859,284.7472,285.1308,285.7097,286.7351,287.7927,288.4295,288.8419,288.6389,287.5997,286.7809,285.8637,285.0782,286.779025
1860,285.0024,284.9381,285.7411,286.85,287.7261,288.4697,288.906,288.6941,287.9127,286.8847,286.2335,285.239,286.883116666667
1861,284.8752,285.5572,285.9601,287.0892,288.0689,288.6272,289.1738,288.8559,288.0052,287.0109,285.9905,285.3824,287.049708333333
1862,285.0106,285.412,286.0575,286.9905,287.7332,288.6345,288.8274,288.6678,287.6316,286.5679,285.7054,284.9214,286.84665
1863,284.7879,285.2613,285.7789,286.8195,287.5781,288.3977,288.7343,288.3411,287.6749,286.6811,285.8971,285.268,286.768325
1864,285.0959,285.3406,285.7611,286.9194,287.7411,288.7082,289.0467,288.5545,287.6123,286.5923,285.5543,284.7453,286.805975
