year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,283.8164,284.067,284.8842,285.7254,286.5203,287.2314,287.4839,287.2899,286.6698,285.5439,284.5701,283.9217,285.643666666667
1851,283.8603,284.4084,285.0612,285.8812,286.6752,287.1822,287.4302,287.2406,286.4024,285.5385,284.5172,283.7752,285.664383333333
1852,283.6057,284.1681,284.8921,285.7401,286.5619,287.2034,287.3174,287.1051,286.4469,285.2191,284.4206,283.8218,285.54185
1853,283.6853,284.0609,284.9012,285.6821,286.5677,287.1954,287.4502,287.175,286.4657,285.5742,284.3809,283.9656,285.592016666667
1854,283.9995,284.1868,284.8761,285.7397,286.4114,287.1541,287.4857,287.1609,286.4307,285.3975,284.4615,283.7364,285.586691666667
1855,283.8951,284.1376,284.9104,285.7722,286.5037,286.9696,287.4658,287.2698,286.6682,285.5778,284.4859,283.9574,285.634458333333
1856,283.9027,284.1438,284.9294,285.8879,286.6144,287.1626,287.3608,287.1962,286.3082,285.387,284.5608,283.862,285.60965
1857,283.688,284.1781,284.7622,285.373,286.2478,286.9883,287.3142,287.0667,286.2804,285.2542,284.2967,283.5797,285.419108333333
1858,283.7082,284.1294,284.7887,285.6615,286.4946,287.2249,287.4831,287.2165,286.527,285.4225,284.3349,283.6922,285.556958333333
1859,283.6502,284.1522,284.7695,285.5698,286.3752,287.1579,287.3935,287.2082,286.4919,285.5487,284.6602,283.7063,285.556966666667
1860,283.7806,284.1304,284.7484,285.4978,286.3232,287.1135,287.3159,287.0501,286.3933,285.4253,284.48,283.6793,285.494816666667
1861,283.6772,284.0998,284.7642,285.5087,286.2368,287.0509,287.4084,287.0768,286.229,285.2547,284.354,283.6836,285.445341666667
1862,283.7195,284.325,284.9703,285.7524,286.4771,287.1708,287.3637,287.1312,286.5092,285.3229,284.4969,283.8259,285.588741666667
1863,283.799,284.1563,284.9745,285.9248,286.6563,287.3246,287.6353,287.3726,286.6317,285.9314,284.5594,283.8818,285.737308333333
1864,283.7173,284.063,284.8161,285.8155,286.4688,287.3444,287.6902,287.2212,286.3776,285.3694,284.2981,284.0217,285.600275
1865,283.8942,284.3661,284.9813,285.9137,286.5569,287.198,287.4247,287.3646,286.5992,285.546,284.5155,284.1724,285.71105
1866,284.0966,284.5074,285.0997,285.7756,286.6244,287.1496,287.4811,287.2425,286.5362,285.6105,284.6125,283.8801,285.718016666667
1867,283.7342,284.242,285.0073,285.7505,286.4734,287.2282,287.6185,287.2817,286.5406,285.4,284.3736,283.9423,285.632691666667
1868,283.8107,284.0856,284.6991,285.6968,286.4874,287.1388,287.4252,287.0968,286.3553,285.4937,284.3914,283.87,285.5459
1869,283.6554,283.9769,284.6922,285.6428,286.3801,287.2464,287.516,287.2683,286.4141,285.3902,284.3717,283.6793,285.51945
1870,283.6916,284.2457,284.8595,285.6639,286.5372,287.1391,287.4224,287.2275,286.4526,285.3322,284.3111,283.6804,285.546933333333
1871,283.8019,284.0627,284.8849,285.7061,286.4297,287.1201,287.3464,287.2076,286.4668,285.4268,284.2669,283.5917,285.525966666667
1872,283.7469,284.1317,284.8762,285.6436,286.4872,287.1843,287.4682,287.199,286.3031,285.2238,284.1615,283.7159,285.511783333333
1873,283.7222,284.0908,284.7437,285.4877,286.3555,287.1178,287.4962,287.0085,286.5536,285.5056,284.3414,283.7216,285.51205
1874,283.7675,284.2296,284.9571,285.7534,286.601,287.2651,287.5445,287.1436,286.5245,285.3748,284.5263,283.8866,285.631166666667
1875,283.9407,284.2247,284.9068,285.8565,286.6671,287.1404,287.5522,287.2314,286.4679,285.4092,284.3902,283.692,285.623258333333
1876,283.6553,284.02,284.7079,285.5084,286.2896,287.0078,287.3408,287.0622,286.3577,285.3132,284.3546,283.7855,285.45025
1877,283.7156,284.1027,284.7242,285.7222,286.4539,287.1031,287.4637,287.297,286.4618,285.56,284.599,284.0411,285.603691666667
1878,283.865,284.3266,284.7552,285.951,286.5901,287.2079,287.6124,287.3876,286.6319,285.6405,284.5057,283.8503,285.693683333333
1879,283.7409,284.1923,284.87,285.7517,286.5614,287.2797,287.6264,287.4669,286.5368,285.6335,284.7622,283.8863,285.692341666667
1880,283.9574,284.2542,284.7911,285.8043,286.5085,287.2567,287.474,287.1383,286.6022,285.4124,284.2881,283.7621,285.604108333333
1881,283.8055,284.0968,284.8188,285.6382,286.3723,287.0236,287.4177,287.1388,286.3517,285.1569,284.4361,283.7234,285.498316666667
1882,283.7652,283.9781,284.8856,285.6216,286.4882,287.1096,287.5663,287.265,286.3882,285.4007,284.4612,283.9305,285.571683333333
1883,283.7666,284.0469,284.7645,285.5238,286.3071,287.0774,287.3326,287.2327,286.6139,285.3481,284.3765,283.5364,285.493875
1884,283.4511,284.044,284.718,285.4081,286.2324,286.7976,287.0945,286.8309,286.0723,284.9119,283.9086,283.1808,285.22085
1885,283.3085,283.8272,284.3563,285.2502,286.1917,286.7753,287.226,286.9062,286.1054,284.942,283.926,283.4868,285.1918
1886,283.4456,283.9784,284.7891,285.501,286.1987,286.9556,287.2932,287.0675,286.2916,285.1291,284.0411,283.7062,285.366425
1887,283.5276,283.9926,284.62,285.3998,286.0798,286.7437,287.232,286.9426,286.2035,285.0391,284.1247,283.7063,285.300975
1888,283.4602,283.9637,284.5551,285.2998,286.1779,286.855,287.3269,287.0092,286.3262,285.4342,284.381,283.7607,285.379158333333
1889,283.5201,284.1169,284.8573,285.6115,286.2723,286.8862,287.3115,287.1099,286.1817,285.2951,284.3996,283.8623,285.452033333333
1890,283.7788,284.1778,284.7422,285.5685,286.4534,287.1087,287.2769,287.0026,286.2509,285.3694,284.3379,283.4599,285.460583333333
1891,283.5187,283.772,284.5204,285.3653,286.1846,286.9013,287.2855,287.059,286.4255,285.1743,284.1306,283.6207,285.329825
1892,283.6386,283.9331,284.6184,285.7013,286.5754,287.1115,287.5357,287.2587,286.5437,285.4625,284.3353,283.8838,285.549833333333
1893,284.0095,284.4118,284.9608,285.7719,286.4636,287.1443,287.4822,287.1105,286.3973,285.3389,284.4111,283.8251,285.610583333333
1894,283.8217,284.0975,284.9934,285.8665,286.5591,287.3195,287.5619,287.3904,286.625,285.5098,284.5419,283.9251,285.684316666667
1895,283.897,284.4341,284.9747,285.7996,286.664,287.2719,287.4537,287.3304,286.6901,285.7792,284.7393,284.0619,285.757991666667
1896,284.1125,284.4482,285.0974,285.855,286.6492,287.353,287.7105,287.3747,286.6821,285.3188,284.2802,283.5709,285.704375
1897,283.5365,284.413,285.077,285.6979,286.3934,287.0753,287.5036,287.217,286.3895,285.311,284.4169,283.8322,285.571941666667
1898,283.7838,284.2473,284.9062,285.7119,286.4069,287.0894,287.4773,287.0765,286.3267,285.3614,284.2235,283.6246,285.519625
1899,283.7115,284.171,284.8766,285.5283,286.271,287.002,287.4327,287.2614,286.4902,285.543,284.6625,283.8704,285.568383333333
1900,283.8185,284.427,284.8921,285.7845,286.6887,287.2507,287.6154,287.4552,286.657,285.6191,284.4951,283.8956,285.716575
1901,283.9984,284.2515,284.9103,285.7767,286.6075,287.4723,287.7101,287.5251,286.7078,285.4855,284.6404,284.0634,285.762416666667
1902,283.8686,284.5695,285.1848,285.9432,286.6281,287.2272,287.6698,287.3289,286.5676,285.5039,284.6466,283.9561,285.757858333333
1903,284.0509,284.2633,284.7669,285.5205,286.2228,286.8553,287.3542,287.1117,286.4344,285.3726,284.4341,283.7488,285.511291666667
1904,283.8392,284.1419,284.7314,285.5581,286.4697,287.0869,287.5266,287.2961,286.4998,285.4509,284.3517,283.8416,285.566158333333
1905,283.7485,284.1663,284.8041,285.3903,286.3396,287.0685,287.497,287.1231,286.292,285.5408,284.4839,283.9334,285.532291666667
1906,283.8354,284.3133,285.0663,285.8576,286.7676,287.5261,287.7052,287.5275,286.7473,285.394,284.4917,284.0586,285.774216666667
1907,283.9437,284.3497,284.9149,285.7081,286.5923,287.29,287.5708,287.4069,286.4839,285.4688,284.5017,283.9731,285.683658333333
1908,284.1113,284.3481,284.9604,285.7307,286.5324,287.1871,287.5899,287.3999,286.4583,285.3777,284.3732,283.8762,285.6621
1909,283.7414,284.3756,284.9778,285.6796,286.5773,287.2989,287.5935,287.2697,286.3988,285.4113,284.5369,283.8156,285.6397
1910,283.7377,284.1599,284.8738,285.7978,286.4521,287.169,287.5129,287.4945,286.5319,285.5341,284.4697,283.7231,285.621375
1911,283.712,283.7864,284.9135,285.7335,286.4395,287.0783,287.395,287.1457,286.4778,285.5997,284.5602,283.7884,285.5525
1912,283.9432,284.3154,284.8562,285.6501,286.4928,287.0846,287.4408,287.2845,286.4323,285.4369,284.4742,283.8498,285.605066666667
1913,283.6403,284.1684,284.8508,285.6927,286.3804,286.9479,287.2928,287.1664,286.5091,285.5079,284.5358,283.9106,285.550258333333
1914,283.8159,284.1711,284.7647,285.5244,286.4285,287.1736,287.588,287.3254,286.7244,285.602,284.5371,283.8146,285.622475
1915,284.0005,284.3665,284.9175,285.7257,286.4067,287.207,287.5515,287.4554,286.6593,285.5744,284.5262,283.9715,285.69685
1916,284.0207,284.3371,285.1275,285.9343,286.7663,287.5101,287.7506,287.5638,286.7355,285.5885,284.624,284.0885,285.837241666667
1917,284.1019,284.4586,285.0371,285.7334,286.7237,287.5096,287.8454,287.5527,286.6859,285.7002,284.6015,283.8216,285.8143
1918,283.7096,284.4873,285.0569,285.9205,286.6645,287.2851,287.6598,287.5244,286.6918,285.6756,284.6854,284.1734,285.794525
1919,283.9414,284.3664,285.0721,285.9677,286.7809,287.5023,287.7772,287.5657,286.809,285.7932,284.9184,284.0848,285.881591666667
1920,284.34,284.8364,285.3169,286.0355,286.9338,287.4884,287.8033,287.5239,286.7755,285.9148,284.7804,284.1287,285.9898
1921,284.3936,284.7198,285.3421,286.0872,286.8868,287.5326,287.7235,287.3753,286.6934,285.674,284.6121,284.1415,285.931825
1922,284.0199,284.3165,284.9005,285.8229,286.6103,287.2552,287.5935,287.3652,286.6893,285.6026,284.6971,284.0954,285.747366666667
1923,284.0968,284.4544,284.9094,285.7933,286.5111,287.2556,287.5761,287.4319,286.6455,285.6598,284.664,284.2791,285.773083333333
1924,283.9237,284.5088,285.0802,286.1259,286.8289,287.4974,287.7816,287.6462,286.6898,285.7537,284.9189,284.3352,285.924191666667
1925,284.1844,284.5882,285.0335,285.9818,286.6516,287.2265,287.6414,287.4412,286.6808,285.9039,284.9334,284.3239,285.88255
1926,284.2253,284.6031,285.1775,285.9655,286.7805,287.3972,287.6969,287.6904,286.7013,285.5831,284.6733,284.0347,285.8774
1927,284.2157,284.3995,285.0601,285.9939,286.6387,287.2519,287.7594,287.4564,286.8019,285.9398,284.8896,284.1971,285.883666666667
1928,284.2446,284.4063,285.3824,286.089,286.8897,287.4344,287.7551,287.543,286.8408,285.7397,284.6967,284.0776,285.924941666667
1929,284.1464,284.647,285.1087,286.0939,286.64,287.5683,287.8437,287.4646,286.7593,285.7736,284.5444,284.1351,285.89375
1930,284.1901,284.5791,285.229,286.0109,286.7519,287.3832,287.6721,287.2962,286.6912,285.7943,284.7932,284.0898,285.873416666667
1931,284.0475,284.3848,285.2382,285.9615,286.7058,287.3882,287.5938,287.5099,286.6353,285.7971,284.8309,284.2254,285.859866666667
1932,284.1554,284.5562,285.1389,286.0305,286.7744,287.4091,287.6173,287.4741,286.7957,285.8307,284.8663,284.0128,285.88845
1933,284.0543,284.5757,284.99,285.8273,286.6777,287.3593,287.6826,287.4774,286.6004,285.7586,284.6593,283.9986,285.8051
1934,284.0342,284.3812,285.0825,285.8125,286.6021,287.295,287.768,287.4626,286.6944,285.6812,284.6722,284.1057,285.7993
1935,284.0645,284.3635,285.269,286.0497,286.8359,287.5016,287.8571,287.5786,286.7823,285.8522,284.8389,284.1825,285.931316666667
1936,284.3309,284.5983,285.3393,286.0598,286.7134,287.4836,287.7705,287.5949,286.7503,285.7225,284.7318,284.2061,285.941783333333
1937,284.0995,284.5251,285.2743,285.9432,286.7404,287.4008,287.8286,287.392,286.7418,285.7007,284.6838,284.1882,285.876533333333
1938,284.1056,284.6193,285.0844,285.9882,286.8037,287.5391,287.9231,287.6653,286.8477,285.9745,284.9471,284.2113,285.975775
1939,284.4484,284.7679,285.2362,286.1089,287.0853,287.6786,288.0434,287.7758,287.0218,285.9818,285.0225,284.3582,286.1274
1940,284.0597,284.2669,284.9525,285.8646,286.8278,287.3928,287.7211,287.5099,286.6897,285.6546,284.6165,284.0035,285.796633333333
1941,284.0706,284.3698,285.2306,285.9648,286.6445,287.4074,287.6082,287.4782,286.6412,285.7052,284.6802,284.1434,285.828675
1942,284.0887,284.322,285.1692,285.8946,286.7082,287.3672,287.7317,287.5749,286.773,285.7606,284.5977,284.0852,285.839416666667
1943,284.0837,284.3343,285.0079,285.9542,286.726,287.4478,287.9163,287.5657,286.7775,285.8754,284.8691,284.1303,285.890683333333
1944,284.1449,284.4005,284.9356,285.9263,286.858,287.536,287.8929,287.5398,286.8351,285.7253,285.0155,284.267,285.923075
1945,284.0984,284.7675,285.1518,285.9443,286.7283,287.3943,287.7009,287.5786,286.7871,285.731,284.7094,284.2877,285.906608333333
