year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,,,,,,,,,
,,,,,-0.562,,,-89.698,89.698,,,,-0.187333333333333
1850,283.8389,284.2685,284.994,285.7878,286.6122,287.2638,287.595,287.32,286.588,285.591,284.5793,284.018,285.704708333333
1851,283.8815,284.2925,285.013,285.835,286.6208,287.2337,287.5578,287.3502,286.5824,285.6118,284.5421,283.9597,285.706708333333
1852,283.858,284.2697,284.9017,285.7923,286.5784,287.2585,287.5113,287.306,286.6053,285.5648,284.5175,283.9817,285.678766666667
1853,283.8674,284.2892,284.994,285.7331,286.6285,287.2386,287.5383,287.3257,286.5787,285.5722,284.5746,283.9857,285.693833333333
1854,283.9067,284.2375,284.9854,285.7655,286.5073,287.2235,287.5626,287.3069,286.5338,285.5164,284.5167,283.8661,285.6607
1855,283.8972,284.321,284.9735,285.7876,286.5949,287.2163,287.5098,287.304,286.5359,285.5143,284.5561,283.9883,285.683241666667
1856,283.7985,284.2437,284.9324,285.7342,286.519,287.1718,287.4849,287.1742,286.3954,285.3221,284.3042,283.6768,285.5631
1857,283.6717,284.1267,284.6823,285.5406,286.3353,286.9196,287.2779,287.0887,286.3007,285.2943,284.3294,283.7352,285.441866666667
1858,283.6424,284.0596,284.7224,285.5603,286.4315,287.1122,287.4406,287.1516,286.4257,285.3898,284.3499,283.6895,285.497958333333
1859,283.6274,284.0919,284.8221,285.6221,286.4315,287.1039,287.4059,287.2074,286.4875,285.505,284.5143,283.8227,285.553475
1860,283.7503,284.2271,284.8932,285.659,286.4713,287.12,287.4444,287.1799,286.4513,285.4743,284.4466,283.9536,285.58925
1861,283.8733,284.2498,284.8359,285.6952,286.4213,287.0816,287.4705,287.2188,286.4372,285.4365,284.4313,283.8821,285.586125
1862,283.7874,284.172,284.912,285.7111,286.4938,287.201,287.4597,287.1781,286.4505,285.4188,284.4332,283.856,285.589466666667
1863,283.7948,284.2277,284.8679,285.696,286.5276,287.1442,287.4912,287.283,286.5579,285.5582,284.5166,283.8627,285.627316666667
1864,283.7044,284.2681,284.8994,285.7645,286.5029,287.1417,287.4806,287.2126,286.4536,285.4588,284.507,283.8764,285.605833333333
1865,283.8038,284.2408,284.9037,285.7556,286.5449,287.1538,287.4786,287.2454,286.5136,285.4903,284.5179,283.9955,285.636991666667
1866,283.9521,284.2655,284.9165,285.746,286.5255,287.1713,287.4901,287.2272,286.4463,285.4818,284.4954,283.8689,285.632216666667
1867,283.8209,284.1827,284.8696,285.7182,286.4865,287.1776,287.5654,287.306,286.4941,285.4507,284.494,283.9039,285.622466666667
1868,283.8445,284.2603,284.9506,285.7305,286.4888,287.1086,287.4664,287.2613,286.5151,285.4922,284.4273,283.8725,285.618175
1869,283.7975,284.1957,284.8968,285.7029,286.5231,287.2247,287.4882,287.2768,286.5066,285.4744,284.436,283.9016,285.618691666667
1870,283.8908,284.3189,284.9277,285.6623,286.5161,287.1998,287.5344,287.2665,286.4935,285.4933,284.5176,283.8766,285.641458333333
1871,283.7478,284.1736,284.8986,285.7153,286.5583,287.1791,287.5089,287.2618,286.4911,285.4999,284.4207,283.8362,285.607608333333
1872,283.8413,284.2065,284.8624,285.7133,286.4974,287.1828,287.5034,287.2551,286.4823,285.4436,284.3997,283.8936,285.606783333333
1873,283.9222,284.2685,284.9091,285.7422,286.526,287.1734,287.5115,287.2795,286.5319,285.5744,284.5121,283.9435,285.657858333333
1874,283.8838,284.2594,284.9554,285.7346,286.5983,287.2432,287.588,287.3307,286.5812,285.628,284.5426,283.9089,285.687841666667
1875,283.8667,284.3493,284.9773,285.7887,286.5709,287.1848,287.5405,287.2968,286.5894,285.6019,284.6228,283.9991,285.699016666667
