year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,283.4827,283.891,284.5785,285.4165,286.2583,287.227,287.4923,287.2987,286.4676,285.263,284.236,283.5336,285.428766666667
1852,283.4681,283.8483,284.5039,285.4494,286.3674,287.1076,287.5454,287.324,286.4961,285.2516,284.1962,283.3537,285.409308333333
1853,283.3462,283.4566,284.3891,285.2573,286.225,287.0572,287.5226,287.1927,286.384,285.313,284.0255,283.5492,285.309866666667
1854,283.5878,284.0154,284.5902,285.4166,286.3392,287.0947,287.4915,287.3099,286.4852,285.1732,284.2497,283.3717,285.427091666667
1855,283.4139,283.7435,284.3968,285.3684,286.2568,287.079,287.498,287.22,286.4043,285.3384,284.081,283.6599,285.371666666667
1856,283.5333,283.8946,284.4336,285.1652,286.294,286.9581,287.4687,287.306,286.3589,285.3475,284.2274,283.5561,285.378616666667
1857,283.4928,283.8196,284.6361,285.4477,286.3663,287.165,287.5937,287.1563,286.323,285.1578,284.0015,283.2645,285.368691666667
1858,283.3047,283.7496,284.2286,285.0534,286.2597,287.1456,287.4356,287.282,286.2935,285.1587,284.0605,283.4919,285.28865
1859,283.5901,283.8658,284.5873,285.398,286.344,287.1672,287.4722,287.1493,286.3783,285.2641,283.9872,283.4579,285.38845
1860,283.3955,284.0331,284.5956,285.1911,286.1936,287.0615,287.4876,287.4029,286.5436,285.2651,284.1202,283.5832,285.406083333333
1861,283.5704,283.8641,284.614,285.4576,286.4048,287.2603,287.6406,287.2662,286.5183,285.3209,284.0062,283.4693,285.449391666667
1862,283.3513,283.7103,284.6278,285.4102,286.3204,287.2437,287.4261,287.3145,286.463,285.3338,284.2933,283.4875,285.415158333333
1863,283.3007,283.8225,284.457,285.4692,286.3195,287.1578,287.397,287.1938,286.5278,285.2303,284.1901,283.5353,285.383416666667
1864,283.4277,283.8524,284.6115,285.4576,286.1857,287.0347,287.4758,287.1244,286.3251,285.3508,284.3103,283.4008,285.379733333333
1865,283.1821,283.5443,284.1322,285.3164,286.301,287.0914,287.4581,287.2049,286.3088,285.1701,283.9834,283.4609,285.2628
1866,283.0919,283.7923,284.2609,285.2464,286.0885,287.0831,287.458,287.3015,286.3899,285.2167,284.1953,283.5521,285.306383333333
