year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,283.55,283.8644,284.5795,285.449,286.3931,287.1642,287.5789,287.2875,286.5218,285.3071,284.1394,283.6099,285.453733333333
1851,283.4119,284.0675,284.6665,285.4674,286.3698,287.1154,287.5305,287.3543,286.589,285.4139,284.3327,283.4473,285.480516666667
1852,283.4221,283.8738,284.6215,285.3993,286.2963,287.1203,287.5474,287.2044,286.4898,285.4009,284.3334,283.6217,285.444241666667
1853,283.4583,283.7601,284.4966,285.394,286.3353,287.2174,287.5476,287.1805,286.4075,285.2928,284.1256,283.6304,285.403841666667
1854,283.3365,283.5918,284.3177,285.3045,286.2056,286.9596,287.3795,287.1445,286.4648,285.17,284.1345,283.6395,285.304041666667
1855,283.4151,283.8388,284.3955,285.2183,286.3228,286.9894,287.5304,287.4816,286.5392,285.3881,284.2271,283.7133,285.421633333333
1856,283.6331,284.1098,284.6264,285.5168,286.4085,287.143,287.4762,287.282,286.372,285.1374,284.0643,283.3061,285.422966666667
1857,283.3134,283.7041,284.4545,285.3329,286.1778,287.0539,287.4094,287.1735,286.2499,285.2563,284.0649,283.3619,285.296041666667
1858,283.3686,283.4705,284.2708,285.1913,286.3613,287.2341,287.5769,287.2352,286.3791,285.2454,284.163,283.5088,285.33375
1859,283.4801,283.6996,284.3864,285.3305,286.3389,287.173,287.4635,287.2645,286.4792,285.3269,284.2843,283.4486,285.389625
1860,283.5113,283.7119,284.5013,285.382,286.4847,287.1524,287.5192,287.085,286.4915,285.2198,283.9629,283.4409,285.371908333333
1861,283.3753,283.7166,284.5199,285.3888,286.3247,287.1599,287.3611,287.1682,286.4156,285.3517,284.1297,283.6176,285.377425
1862,283.3104,283.865,284.6738,285.487,286.2906,287.0909,287.5621,287.2993,286.517,285.3033,284.2258,283.5967,285.435158333333
1863,283.555,283.6323,284.6387,285.4348,286.4137,287.1652,287.6029,287.2311,286.5023,285.199,284.2635,283.5238,285.430191666667
1864,283.3643,283.6973,284.3531,285.4045,286.2888,287.0417,287.5257,287.2371,286.4084,285.2897,284.2491,283.5741,285.369483333333
1865,283.5735,283.9425,284.5051,285.3353,286.2718,287.1024,287.5132,287.202,286.5164,285.2972,284.3588,283.5393,285.429791666667
1866,283.3187,283.677,284.4292,285.3803,286.3793,287.0863,287.5167,287.1954,286.3073,285.1536,283.9611,283.2459,285.304233333333
1867,283.5077,283.8165,284.5455,285.4173,286.3636,287.0585,287.5339,287.127,286.3856,285.0549,284.05,283.3044,285.347075
1868,283.0597,283.689,284.3466,285.1911,286.1845,286.9393,287.4168,287.045,286.3951,285.1678,284.1958,283.6018,285.269375
1869,283.2634,283.6306,284.4609,285.4733,286.3893,287.1829,287.6219,287.272,286.4497,285.3706,284.2545,283.4648,285.402825
1870,283.541,283.9742,284.5411,285.4331,286.3494,287.1806,287.5998,287.1844,286.2725,285.2223,283.9692,283.6545,285.410175
1871,283.3795,283.6114,284.3074,285.25,286.3151,287.0956,287.5451,287.3157,286.4883,285.19,284.1541,283.4697,285.343491666667
1872,283.4614,283.9154,284.5029,285.2981,286.5586,287.2496,287.7312,287.3331,286.5146,285.2812,284.1302,283.5962,285.464375
1873,283.5976,283.9493,284.4087,285.2944,286.3635,287.0388,287.5348,287.3251,286.5194,285.2866,284.1468,283.5164,285.415116666667
1874,283.4892,283.9188,284.509,285.2023,286.343,287.1328,287.526,287.142,286.297,285.2084,283.9084,283.406,285.340241666667
1875,283.4413,283.7068,284.3393,285.261,286.3276,287.0493,287.4929,287.1441,286.5404,285.2516,284.2267,283.4434,285.352033333333
1876,283.5172,283.719,284.4614,285.3492,286.2632,287.1021,287.4476,287.1808,286.404,285.2615,284.1611,283.5244,285.365958333333
1877,283.4167,284.0153,284.552,285.5225,286.3812,287.1285,287.5494,287.2641,286.6237,285.5413,284.1942,283.4976,285.473875
1878,283.3668,283.9889,284.372,285.1755,286.2134,286.8994,287.3461,287.2159,286.4259,285.317,284.2935,283.7419,285.363025
1879,283.5708,283.8533,284.4767,285.3828,286.3604,287.0935,287.365,287.1647,286.4708,285.2096,284.1487,283.4431,285.378283333333
1880,283.4776,283.7411,284.5015,285.5401,286.3518,287.1596,287.517,287.2696,286.3155,285.1187,284.0166,283.4395,285.370716666667
1881,283.3625,283.6846,284.4958,285.3593,286.3047,287.049,287.5952,287.0576,286.3053,285.1205,284.0565,283.529,285.326666666667
1882,283.4011,283.7215,284.5082,285.2705,286.3025,286.9559,287.4483,287.2279,286.3938,285.2292,284.1587,283.4029,285.335041666667
1883,283.1983,283.7476,284.4914,285.2885,286.2602,287.1447,287.4441,287.1458,286.3971,285.2528,284.1425,283.4468,285.329983333333
1884,283.4755,283.9061,284.5164,285.4127,286.3671,287.1627,287.5527,287.1255,286.3815,285.0907,284.0964,283.433,285.376691666667
1885,283.4294,283.6927,284.303,285.173,286.2703,286.9497,287.5822,287.2325,286.4592,285.1364,284.1005,283.4594,285.315691666667
1886,283.447,283.7047,284.5884,285.2403,286.3095,287.0814,287.6824,287.241,286.3651,285.2561,284.1333,283.4306,285.373316666667
1887,283.445,283.7743,284.4865,285.3026,286.4041,287.1339,287.5665,287.3125,286.3994,285.178,284.3892,283.5578,285.412483333333
1888,283.4284,283.8776,284.4313,285.3836,286.4879,287.1318,287.6578,287.2553,286.372,285.1445,284.0654,283.323,285.379883333333
1889,283.1476,283.572,284.3161,285.1418,286.2446,287.009,287.2459,287.0599,286.3614,285.1619,284.0724,283.3018,285.219533333333
1890,283.3817,283.8141,284.4667,285.3331,286.3083,287.0752,287.4327,287.0936,286.2724,285.0934,283.9254,283.3065,285.291925
1891,283.4969,283.7431,284.432,285.3091,286.2047,287.0609,287.4847,287.1068,286.3052,285.1307,284.075,283.1927,285.29515
1892,283.3619,283.6621,284.3018,285.1933,286.289,286.9297,287.45,287.0505,286.258,285.0948,283.9299,283.3899,285.242575
1893,283.305,283.7918,284.3351,285.2283,286.3637,287.1149,287.6483,287.3431,286.4987,285.1897,284.3033,283.7752,285.408091666667
1894,283.7018,283.737,284.5989,285.6761,286.5732,287.1632,287.4876,287.1059,286.3355,285.2329,284.147,283.2855,285.420383333333
1895,283.3734,283.8159,284.4785,285.2223,286.3232,287.0606,287.4769,287.0853,286.2055,285.1862,284.1414,283.4361,285.317108333333
1896,283.2477,283.7638,284.4938,285.2548,286.4974,287.1627,287.5619,287.2441,286.3892,285.255,284.1103,283.3722,285.362741666667
1897,283.3642,283.7568,284.5019,285.4296,286.3222,287.1206,287.532,287.1707,286.3003,285.2479,284.0599,283.3825,285.34905
1898,283.2338,283.942,284.5099,285.4248,286.343,287.1106,287.553,287.2893,286.489,285.1831,284.3286,283.5422,285.412441666667
1899,283.4196,283.7263,284.5648,285.3339,286.2665,286.989,287.4311,287.1839,286.3564,285.224,284.0351,283.5035,285.336175
1900,283.3519,283.837,284.5145,285.2693,286.2676,287.148,287.3916,287.1349,286.283,285.0884,283.8991,283.3648,285.295841666667
1901,283.4341,283.7318,284.463,285.4421,286.3031,287.1083,287.5547,287.297,286.4072,285.2759,284.0222,283.3606,285.366666666667
1902,283.4707,283.7799,284.3571,285.24,286.3122,287.0652,287.4872,287.2417,286.2798,285.0565,284.0408,283.3449,285.306333333333
1903,283.5809,283.7582,284.5346,285.3604,286.3553,287.0907,287.4711,287.1623,286.3519,285.4573,284.2497,283.6799,285.421025
1904,283.3975,284.0269,284.6759,285.4921,286.3274,287.1267,287.4704,287.2551,286.536,285.282,284.1327,283.424,285.428891666667
1905,283.3389,283.6303,284.4768,285.2394,286.261,286.9497,287.2841,286.9298,286.1416,285.0705,284.0999,283.5498,285.24765
1906,283.3544,283.765,284.5336,285.298,286.3264,286.8735,287.4105,287.0939,286.4677,285.0952,283.9254,283.5368,285.3067
1907,283.4228,283.869,284.4518,285.2821,286.3608,287.105,287.414,287.0903,286.2783,285.2787,283.941,283.5056,285.333283333333
1908,283.4457,283.8489,284.4891,285.4055,286.4283,287.1566,287.4251,287.2096,286.3934,285.1529,284.0799,283.4777,285.376058333333
1909,283.4605,283.9237,284.4061,285.2967,286.3819,287.176,287.5233,287.206,286.3495,285.2073,284.181,283.4883,285.383358333333
1910,283.4819,283.6844,284.2485,285.2542,286.2663,287.2025,287.5219,287.145,286.3233,285.2221,283.933,283.304,285.298925
1911,283.2086,283.5485,284.3219,285.0612,286.1175,287.0928,287.3002,287.0798,286.2374,285.0167,283.9824,283.4331,285.200008333333
1912,283.461,283.6028,284.3607,285.2498,286.3777,287.1167,287.5424,287.2311,286.2571,285.1625,284.195,283.7651,285.360158333333
1913,283.7277,284.0705,284.5393,285.525,286.4391,287.1076,287.4815,287.1095,286.4451,285.2145,284.0416,283.3517,285.421091666667
1914,283.2397,283.572,284.1945,285.2984,286.401,287.1146,287.4546,287.2043,286.3425,285.1663,284.1555,283.4482,285.2993
1915,283.5587,283.996,284.5075,285.4602,286.3979,287.1228,287.5186,287.1542,286.4654,285.1911,284.2431,283.1867,285.400183333333
1916,283.2765,283.9668,284.5842,285.2989,286.4926,287.2086,287.4451,287.2429,286.3204,285.3508,284.0691,283.4066,285.388541666667
1917,283.3574,283.8608,284.3837,285.3698,286.3021,287.0474,287.5366,287.2161,286.4688,285.2551,284.0948,283.5313,285.368658333333
1918,283.2815,283.7278,284.2611,285.2714,286.1832,287.0463,287.4133,287.1519,286.4238,285.3133,284.158,283.5404,285.314333333333
1919,283.4519,283.6406,284.4794,285.4368,286.4661,287.3217,287.5677,287.1756,286.4257,285.2626,284.2667,283.6051,285.424991666667
1920,283.3367,283.8852,284.5403,285.4259,286.2375,286.9519,287.4835,287.1735,286.4115,285.2021,283.9768,283.4394,285.338691666667
