year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.6368,284.8514,285.5145,286.4757,287.2238,287.8721,288.1496,287.9773,287.2072,286.1999,285.4284,284.7341,286.3559
1851,284.4742,284.4539,285.4074,286.476,287.2083,287.8543,288.19,288.0061,287.3713,286.5212,285.522,285.0115,286.374683333333
1852,284.6493,284.7549,285.5378,286.3872,287.2177,287.9735,288.0967,287.9456,287.3147,286.7592,285.737,284.9031,286.439725
1853,284.8846,284.9345,285.5872,286.5112,287.3978,287.9332,288.2725,287.9849,287.3324,286.554,285.6832,284.897,286.497708333333
1854,284.7513,284.8712,285.5145,286.4749,287.3747,288.1527,288.3654,287.901,287.238,286.4119,285.4691,284.9744,286.458258333333
1855,284.6243,285.0236,285.5944,286.3807,287.2438,288.0448,288.0695,287.873,287.3144,286.484,285.4945,284.5944,286.395116666667
1856,284.5193,284.6041,285.2888,286.1873,287.0687,287.8145,287.9976,287.9392,287.2237,286.3975,285.3256,284.8703,286.269716666667
1857,284.5192,284.8146,285.3745,286.4124,287.354,287.9809,288.1941,287.9794,287.4698,286.5715,285.697,285.2751,286.470208333333
1858,284.7324,285.0802,285.5011,286.6731,287.519,288.2701,288.3393,288.185,287.3769,286.6147,285.6511,285.0123,286.5796
1859,284.4126,284.7828,285.6949,286.5904,287.4983,288.2083,288.0648,287.985,287.1615,286.3717,285.4528,284.8251,286.420683333333
1860,284.3174,284.6214,285.3683,286.2968,287.1758,287.8507,287.9456,287.9369,287.1706,286.4155,285.4803,284.794,286.281108333333
1861,284.7924,284.767,285.6537,286.3718,287.2499,287.8858,288.3645,287.9619,287.3872,286.5519,285.6143,284.9618,286.463516666667
1862,284.7987,285.067,285.7449,286.5296,287.5316,288.0518,288.2324,287.9135,287.2251,286.3004,285.4087,284.9424,286.478841666667
1863,284.6405,285.0016,285.5243,286.4661,287.3364,287.9194,288.1333,287.8119,287.1717,286.4847,285.5019,284.7965,286.399025
1864,284.5035,284.6394,285.5816,286.3373,287.2064,287.825,288.0621,287.7551,287.1784,286.3408,285.3766,284.8024,286.300716666667
1865,284.5399,285.0161,285.5568,286.4706,287.4748,288.1137,288.1845,287.9977,287.4172,286.5196,285.6674,285.0298,286.499008333333
1866,284.6818,284.9062,285.6693,286.4927,287.4223,288.0689,288.4472,288.0944,287.4121,286.5731,285.8903,285.23,286.574025
1867,284.8506,284.8978,285.872,286.6164,287.2999,288.047,288.3786,288.1255,287.429,286.6582,285.535,284.8846,286.54955
1868,284.7238,285.0305,285.599,286.4227,287.459,288.1694,288.2479,288.0865,287.2965,286.4653,285.6128,284.844,286.49645
1869,284.7375,284.8879,285.477,286.4445,287.259,287.8716,288.3303,287.9685,287.2512,286.567,285.5426,285.0742,286.450941666667
1870,284.7076,284.9084,285.6901,286.5567,287.3158,288.1404,288.3154,287.8969,287.2822,286.4092,285.3072,284.7246,286.437875
1871,284.4565,284.3736,285.2073,286.0975,287.0944,287.7763,288.069,287.8677,287.2344,286.4033,285.4318,284.8154,286.2356
1872,284.515,284.7611,285.2753,286.4097,287.2675,288.0068,288.1545,287.9332,287.4176,286.5598,285.795,285.1772,286.439391666667
1873,284.7459,284.8136,285.8088,286.6985,287.5013,288.2882,288.5051,288.2824,287.5981,286.5546,285.6109,285.0877,286.624591666667
1874,284.7951,285.0369,285.7293,286.7454,287.4799,288.1215,288.3168,288.0282,287.3728,286.4877,285.5855,284.6154,286.526208333333
1875,284.4888,284.5049,285.1784,286.3699,287.3097,287.871,288.0792,287.9379,287.3021,286.4444,285.6047,285.0318,286.343566666667
1876,284.5435,284.7148,285.5779,286.4301,287.5216,288.0332,288.3039,287.9115,287.3578,286.4782,285.5759,284.9966,286.45375
1877,284.5549,284.6595,285.4102,286.5233,287.2985,287.9357,288.1932,287.8311,287.3643,286.5397,285.6406,284.8978,286.404066666667
1878,284.8211,284.9252,285.6084,286.461,287.2177,287.9426,288.2558,287.9506,287.2824,286.5432,285.5494,284.6591,286.434708333333
1879,284.2404,284.6874,285.2438,286.2654,287.2709,287.9686,288.1144,288.0191,287.3843,286.6591,285.5887,284.9335,286.364633333333
1880,284.6149,285.047,285.6858,286.5006,287.3414,288.1183,288.1931,287.9188,287.317,286.4142,285.5518,284.8603,286.4636
1881,284.4022,284.8013,285.4047,286.2453,287.1612,287.9717,288.08,287.9489,287.3098,286.4771,285.6388,284.9967,286.369808333333
1882,284.6548,284.8121,285.7518,286.6434,287.2757,288.0767,288.3964,288.1397,287.4333,286.6823,285.6157,285.1045,286.548866666667
1883,284.7238,284.8264,285.4935,286.4426,287.161,287.9116,288.0887,287.8731,287.3317,286.3517,285.3289,284.7337,286.355558333333
1884,284.5457,284.7479,285.7025,286.425,287.4016,288.1689,288.2246,288.1003,287.5156,286.547,285.6755,284.8875,286.495175
1885,284.6324,284.9324,285.5564,286.3722,287.3217,288.1577,288.2581,288.1533,287.5726,286.7123,285.8549,285.149,286.556083333333
1886,284.772,285.0578,285.7083,286.6639,287.6626,288.3276,288.4562,288.2295,287.4989,286.5491,285.606,284.9643,286.624683333333
1887,284.3984,284.8586,285.4765,286.3228,287.0901,287.8002,287.9986,287.8015,287.3179,286.4424,285.5992,284.9634,286.339133333333
1888,284.5521,284.7353,285.5338,286.3699,287.4913,288.1309,288.3961,288.2249,287.4763,286.5549,285.7129,285.13,286.5257
1889,284.7834,285.0491,285.7281,286.62,287.5735,288.2469,288.5133,288.1611,287.4826,286.6043,285.6619,285.1932,286.634783333333
1890,284.559,284.7046,285.3366,286.2999,287.1715,288.0013,288.0589,287.9423,287.235,286.481,285.5103,284.9828,286.356933333333
1891,284.611,284.5336,285.6296,286.5039,287.1802,287.9828,288.3076,288.0728,287.4533,286.5138,285.5991,285.0473,286.452916666667
1892,284.7402,285.2339,286.0449,286.6212,287.6046,288.2316,288.4171,288.2935,287.5699,286.7429,285.8003,285,286.691675
1893,284.6948,285.1145,285.7414,286.5663,287.5024,288.1544,288.2871,287.9955,287.3897,286.5251,285.5784,284.6755,286.518758333333
1894,284.6087,285.0379,285.4761,286.2717,287.4205,288.157,288.1842,287.9576,287.398,286.4726,285.7004,285.1293,286.4845
1895,284.7426,285.0942,285.4606,286.4288,287.3141,288.0878,288.4331,288.1029,287.5531,286.6331,285.7408,285.2592,286.570858333333
1896,284.9765,284.8379,285.7679,286.6171,287.3333,288.0539,288.1422,288.0245,287.4234,286.4176,285.3622,284.9648,286.493441666667
1897,284.5249,284.6756,285.4046,286.2949,287.1931,287.91,288.1257,287.9174,287.2379,286.4233,285.5552,284.8199,286.340208333333
1898,284.5839,284.7635,285.2772,286.5318,287.3341,288.0012,288.1158,288.0269,287.3004,286.5406,285.7094,284.6118,286.399716666667
1899,284.2229,284.7679,285.6742,286.4918,287.3405,287.9054,288.0236,287.7894,287.3065,286.4969,285.6568,285.0738,286.395808333333
1900,284.7076,285.1739,285.5964,286.4335,287.4435,287.9652,288.2759,288.1533,287.5373,286.5757,285.716,284.9018,286.540008333333
1901,284.9506,285.3415,285.6435,286.6964,287.6707,288.2591,288.4892,288.1263,287.5638,286.6182,285.6136,284.8529,286.65215
1902,284.9037,285.088,285.7121,286.6597,287.6074,288.1882,288.1258,287.8991,287.3173,286.2659,285.4158,284.6945,286.489791666667
1903,284.4418,284.6509,285.3929,286.2677,287.2332,287.8,288.1034,287.9939,287.2294,286.3772,285.4541,284.9059,286.320866666667
1904,284.3491,284.9889,285.7221,286.5306,287.4168,288.2227,288.4515,288.1775,287.6869,286.7264,285.7571,285.185,286.601216666667
1905,284.8612,284.9571,285.6466,286.8341,287.6089,288.2452,288.3953,288.134,287.2978,286.4994,285.6447,285.0022,286.593875
1906,284.5905,284.48,285.388,286.3411,287.2241,288.0112,288.2391,288.0761,287.5057,286.4903,285.6357,285.1121,286.424491666667
1907,285.0188,285.0237,285.7942,286.4837,287.4396,288.1231,288.3394,288.1355,287.3969,286.6557,285.606,285.1776,286.599516666667
1908,284.602,284.6153,285.4418,286.427,287.3889,287.9475,288.1993,287.8501,287.2843,286.5435,285.575,285.0113,286.407166666667
1909,284.7954,284.9848,285.7285,286.6061,287.4385,288.1664,288.3147,287.9682,287.4621,286.6744,285.82,285.2343,286.59945
1910,284.8637,284.9965,285.9773,286.7199,287.6994,288.3154,288.575,288.2593,287.5899,286.7484,285.8599,285.2297,286.7362
1911,284.8569,284.6899,285.5751,286.4847,287.4119,288.0825,288.2663,287.9948,287.3775,286.2415,285.4417,284.6666,286.424116666667
