year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,0,,,-90,90,,,,0
1860,285.1293,285.3855,285.8634,286.669,287.6428,288.2841,288.7253,288.6598,287.9593,286.903,285.7512,285.1278,286.841708333333
1861,284.9987,285.276,285.8431,286.6647,287.5195,288.2216,288.6361,288.6284,287.8438,286.8124,285.7004,284.9854,286.760841666667
1862,284.9265,285.2003,285.8241,286.5434,287.4705,288.1944,288.6658,288.6288,287.9279,286.9082,285.6826,285.1086,286.756758333333
1863,284.987,285.4254,285.8539,286.6305,287.5323,288.1547,288.5945,288.5033,287.8331,286.7835,285.7159,284.9094,286.743625
1864,284.8086,285.0322,285.541,286.4187,287.4002,288.0271,288.5307,288.527,287.8376,286.7505,285.6598,284.9674,286.625066666667
1865,284.9493,285.157,285.8208,286.7,287.6144,288.2644,288.7311,288.6631,287.9733,286.911,285.8138,285.1213,286.809958333333
1866,285.0476,285.4492,285.9436,286.8311,287.6068,288.3485,288.6601,288.5695,287.9341,286.9008,285.7393,284.9922,286.835233333333
1867,284.7876,284.9565,285.7162,286.5111,287.4465,288.1427,288.6072,288.5903,287.915,286.9407,285.822,285.0987,286.711208333333
1868,284.9957,285.4201,285.8794,286.6846,287.5457,288.1787,288.5946,288.5504,287.9313,286.9278,285.6422,284.9965,286.778916666667
1869,284.9475,285.2601,285.7122,286.5421,287.4582,288.1192,288.6065,288.5184,287.8403,286.8201,285.6966,285.1026,286.71865
1870,284.9337,285.1993,285.9271,286.6051,287.5166,288.2068,288.6227,288.5555,287.9047,286.8549,285.7851,285.1496,286.771758333333
1871,285.1294,285.3256,285.9154,286.8124,287.7138,288.2635,288.6626,288.6042,287.9292,286.9082,285.6822,285.0148,286.830108333333
1872,285.0741,285.3317,285.8865,286.5519,287.5393,288.2542,288.6869,288.6149,287.8628,286.8512,285.71,284.9362,286.774975
1873,284.7578,285.1924,285.7636,286.6244,287.417,288.1159,288.612,288.4936,287.8287,286.7945,285.6873,285.0392,286.693866666667
1874,285.0275,285.2995,285.9197,286.6424,287.65,288.2634,288.6111,288.6208,287.888,286.8457,285.7431,285.0922,286.800283333333
1875,285.1001,285.3977,285.9469,286.8065,287.5852,288.2209,288.5883,288.4958,287.7836,286.8234,285.701,284.9126,286.780166666667
1876,284.7774,285.0313,285.6598,286.4558,287.3004,287.9898,288.4315,288.3633,287.6459,286.7463,285.5998,285.0262,286.585625
1877,284.8348,285.2063,285.787,286.5306,287.437,288.1442,288.5845,288.435,287.8004,286.8383,285.6994,284.9725,286.689166666667
1878,284.9111,285.306,285.8154,286.5309,287.4185,288.1492,288.5706,288.5765,287.8003,286.7996,285.6931,285.0385,286.717475
1879,285.0098,285.2278,285.8487,286.614,287.4931,288.156,288.5073,288.5619,287.8659,286.8148,285.7306,285.0446,286.739541666667
1880,284.9734,285.2614,285.8458,286.6111,287.5244,288.1959,288.633,288.5704,287.8749,286.8456,285.7372,285.0383,286.759283333333
1881,284.8866,285.1849,285.7886,286.6516,287.5146,288.2009,288.691,288.5746,287.897,286.7737,285.6719,285.0012,286.736383333333
1882,284.8701,285.1324,285.6732,286.6115,287.4984,288.2783,288.614,288.6563,287.9416,286.9739,285.8326,285.1195,286.766816666667
1883,284.9842,285.1617,285.7903,286.5492,287.4084,287.9826,288.3902,288.4097,287.6978,286.6686,285.4987,284.6718,286.6011
1884,284.427,284.6646,285.3173,286.0463,286.9049,287.5663,287.9888,287.946,287.3051,286.2875,285.1488,284.4697,286.172691666667
1885,284.4744,284.7881,285.3499,286.0576,286.9798,287.6976,288.1526,288.0796,287.3505,286.3067,285.1627,284.5285,286.244
1886,284.4708,284.8454,285.3551,286.1998,287.1945,287.8838,288.323,288.2534,287.547,286.4158,285.2867,284.626,286.366775
1887,284.4956,284.6971,285.2701,286.1628,287.0979,287.8248,288.2111,288.2376,287.4902,286.4032,285.2822,284.5701,286.311891666667
1888,284.4778,284.7565,285.5482,286.2484,287.1299,287.9109,288.3108,288.2971,287.6355,286.5482,285.3244,284.5789,286.397216666667
1889,284.6981,284.8957,285.4278,286.1123,287.115,287.9025,288.3457,288.2574,287.4888,286.3255,285.2873,284.4837,286.36165
1890,284.424,284.8066,285.3574,286.2734,287.2061,287.8988,288.3216,288.207,287.4892,286.4036,285.3117,284.6662,286.3638
1891,284.4939,284.8421,285.4763,286.2448,287.1871,287.8473,288.312,288.2368,287.5805,286.4353,285.2762,284.5759,286.375683333333
1892,284.606,284.8685,285.3036,286.2286,287.1162,287.8209,288.3813,288.233,287.5657,286.4737,285.3532,284.7072,286.388158333333
1893,284.7435,284.9596,285.5851,286.3673,287.3994,288.0472,288.4823,288.3499,287.6161,286.5171,285.3581,284.7136,286.5116
1894,284.6014,284.9072,285.5717,286.4341,287.3242,288.111,288.5541,288.5038,287.8097,286.7909,285.4569,284.851,286.576333333333
1895,284.8048,285.0605,285.651,286.5317,287.3867,288.06,288.5347,288.5045,287.7989,286.731,285.6395,284.9153,286.634883333333
1896,284.7518,285.1238,285.6628,286.4901,287.4288,288.1472,288.5498,288.5447,287.8042,286.6986,285.4916,284.943,286.636366666667
1897,284.8932,285.3169,285.7267,286.6308,287.5791,288.228,288.6017,288.4951,287.862,286.7443,285.5131,284.8,286.699241666667
1898,284.6774,284.9983,285.6726,286.5206,287.453,288.2059,288.6326,288.5648,287.8896,286.7578,285.6188,284.8424,286.652816666667
1899,284.8933,285.299,285.7749,286.5204,287.4419,288.2628,288.6632,288.6468,287.8817,286.8342,285.669,285.1107,286.749825
1900,285.1032,285.4039,285.9638,286.7219,287.6268,288.3191,288.7811,288.7587,288.0375,286.9188,285.8004,285.1685,286.883641666667
1901,285.0418,285.1971,285.8777,286.6211,287.6152,288.2779,288.8159,288.7793,288.0679,286.9098,285.8427,285.1531,286.849958333333
1902,285.0809,285.3158,285.832,286.7176,287.615,288.1973,288.6963,288.5953,287.866,286.776,285.688,284.9272,286.775616666667
1903,284.8377,285.1357,285.6613,286.4914,287.3793,287.9585,288.3688,288.3341,287.6578,286.5817,285.4104,284.7133,286.544166666667
1904,284.6938,285.0081,285.4938,286.2808,287.2365,287.9601,288.4212,288.4081,287.7168,286.6384,285.4883,284.8154,286.513441666667
1905,284.6266,284.9914,285.6615,286.5682,287.3526,288.0074,288.5233,288.5417,287.9005,286.7641,285.5945,284.9111,286.620241666667
1906,284.9238,285.1563,285.6174,286.4564,287.3574,287.9922,288.493,288.4722,287.748,286.6217,285.5063,284.7147,286.588283333333
1907,284.6959,284.9139,285.642,286.438,287.2798,288.0396,288.4443,288.4434,287.8677,286.6432,285.5157,284.817,286.561708333333
1908,284.8307,285.1521,285.7953,286.5265,287.4867,288.0993,288.5581,288.4348,287.7911,286.7624,285.5307,284.768,286.644641666667
1909,284.7959,285.0962,285.7048,286.523,287.3684,288.0998,288.5328,288.4538,287.7925,286.7114,285.7139,284.9928,286.648775
1910,284.977,285.1539,285.6783,286.5091,287.4127,288.061,288.4767,288.4426,287.7779,286.832,285.6581,284.932,286.659275
1911,284.8615,285.1743,285.7803,286.6116,287.481,288.1331,288.5529,288.4518,287.891,286.7599,285.6351,284.9653,286.691483333333
1912,284.9597,285.2207,285.8621,286.6768,287.4654,288.1704,288.533,288.4836,287.7512,286.6616,285.5186,284.9437,286.687233333333
1913,285.0384,285.3278,285.874,286.6166,287.4755,288.1532,288.5692,288.3884,287.769,286.6685,285.5154,284.8291,286.685425
1914,284.8298,285.0913,285.8257,286.4713,287.3932,288.1245,288.5989,288.472,287.7566,286.694,285.5608,284.9174,286.644625
1915,284.9035,285.1004,285.7043,286.5586,287.363,288.0687,288.5302,288.4804,287.8689,286.7318,285.6693,284.8556,286.652891666667
1916,284.7978,285.0968,285.837,286.4894,287.3454,288.0992,288.519,288.5486,287.9018,286.7574,285.5568,284.9497,286.658241666667
1917,284.7543,284.9785,285.6268,286.5045,287.4215,288.1454,288.6089,288.5724,287.8667,286.8008,285.6672,285.059,286.667166666667
1918,285.0668,285.2497,285.8401,286.6774,287.58,288.2691,288.6187,288.6222,287.9307,286.9024,285.7811,284.9865,286.793725
1919,284.9493,285.2571,285.7977,286.6484,287.5294,288.1494,288.5552,288.532,287.8611,286.8533,285.734,284.9579,286.7354
1920,284.9391,285.2226,285.7388,286.5486,287.5621,288.1778,288.5902,288.5987,287.9772,286.8658,285.7563,285.1748,286.762666666667
1921,285.1455,285.3795,285.944,286.7372,287.597,288.3325,288.6936,288.5861,287.8675,286.8402,285.5981,284.9712,286.8077
1922,284.9169,285.2127,285.6631,286.53,287.469,288.1024,288.5808,288.5832,287.8723,286.855,285.7091,284.9949,286.70745
1923,285.0026,285.2288,285.6399,286.4574,287.3852,288.1512,288.5815,288.6188,287.8229,286.7313,285.6375,284.9584,286.684625
1924,284.9666,285.2384,285.7441,286.5935,287.5034,288.1584,288.6451,288.6118,287.8968,286.9385,285.7517,285.1448,286.766091666667
1925,285.0585,285.3872,285.8828,286.6447,287.4835,288.2289,288.6261,288.546,287.8636,286.7835,285.7107,285.0227,286.76985
1926,284.8994,285.281,285.8827,286.6404,287.5671,288.1826,288.5709,288.5742,287.8476,286.7945,285.65,284.9363,286.735558333333
1927,285.0016,285.3521,285.8746,286.6147,287.5493,288.2324,288.6081,288.6714,287.9427,286.9037,285.6981,285.0337,286.7902
1928,284.9765,285.2084,285.8188,286.6484,287.5565,288.2413,288.6916,288.5745,287.9262,286.8253,285.6482,284.9982,286.759491666667
1929,285.0967,285.3669,285.8484,286.6058,287.5914,288.2434,288.7359,288.6212,287.956,286.9412,285.757,285.14,286.825325
