year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1860,284.8394,285.1392,285.8181,286.6704,287.4343,288.0248,288.5827,288.6152,287.8433,286.6609,285.4319,284.877,286.661433333333
1861,284.7582,285.0707,285.5532,286.4799,287.3149,288.0449,288.5223,288.4897,287.6662,286.8336,285.7763,284.9381,286.620666666667
1862,284.915,285.446,285.829,286.662,287.5467,288.2451,288.5291,288.3016,287.6692,286.6214,285.3094,284.4814,286.629658333333
1863,284.5884,284.6348,285.425,286.168,287.1133,287.8499,288.3577,288.4606,287.6504,286.5081,285.3205,284.8532,286.410825
1864,284.7932,285.1608,285.4964,286.3599,287.2501,288.0272,288.4304,288.4018,287.6605,286.6006,285.4912,284.9612,286.552775
1865,284.918,285.218,285.7122,286.474,287.5021,288.1112,288.5947,288.4396,287.7097,286.7315,285.6943,284.924,286.669108333333
1866,284.6075,284.8505,285.3382,286.2674,287.3994,287.979,288.3952,288.2896,287.7246,286.6562,285.2467,284.7816,286.461325
1867,284.4832,284.9189,285.4861,286.36,287.1974,287.9864,288.4846,288.5132,287.7272,286.6869,285.576,284.9797,286.5333
1868,284.9175,284.9616,285.6789,286.4956,287.4337,288.1659,288.4802,288.3791,287.8513,286.795,285.7326,285.0632,286.662883333333
1869,285.0083,285.2126,286.0488,286.8593,287.4955,288.1593,288.5879,288.3875,287.6433,286.8257,285.6479,284.9661,286.73685
1870,284.8857,284.9557,285.5824,286.5811,287.293,287.9513,288.339,288.4367,287.89,286.7634,285.6461,285.1443,286.622391666667
1871,285.0659,285.433,285.9244,286.7462,287.5906,288.1613,288.635,288.6107,287.9015,286.8458,285.6015,284.9517,286.788966666667
1872,284.822,285.3548,285.7506,286.4552,287.3349,288.0193,288.5552,288.581,287.8604,286.9342,285.687,284.957,286.692633333333
1873,284.8249,285.1319,285.9545,286.6769,287.5375,288.1989,288.7324,288.7155,287.9166,286.9272,285.7253,284.8369,286.764875
1874,284.7364,285.1281,285.834,286.6627,287.5905,288.2448,288.7228,288.6871,287.9091,286.869,285.8594,285.1804,286.785358333333
1875,285.1425,285.3869,286.102,286.7263,287.6215,288.4208,288.7832,288.6116,288.1386,287.015,285.929,285.3935,286.939241666667
1876,285.1387,285.5371,286.1512,286.8195,287.7628,288.4082,288.7495,288.5389,287.8987,286.8918,285.6787,284.8774,286.871041666667
1877,284.8587,285.1519,285.4317,286.1766,287.1714,287.9303,288.4618,288.4752,287.7048,286.7503,285.5525,285.0622,286.560616666667
