year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1861,284.6279,284.873,285.6638,286.3599,287.3772,288.1609,288.4617,288.148,287.4369,286.2643,285.2299,284.3984,286.416825
1862,284.2982,284.6592,285.5839,286.4875,287.3932,288.0381,288.3551,288.1505,287.3881,286.3608,285.1759,284.5812,286.372641666667
1863,284.4306,284.8626,285.6877,286.529,287.4595,288.2004,288.4109,288.0874,287.3436,286.2055,285.1351,284.4598,286.401008333333
1864,284.4552,284.6776,285.4664,286.2969,287.2724,287.8766,288.2688,288.0669,287.2062,286.0146,284.9551,284.3739,286.244216666667
1865,284.317,284.6671,285.4002,286.0798,287.0597,287.7809,288.1624,287.9831,287.1412,285.9396,284.8919,284.4739,286.158066666667
1866,284.295,284.5598,285.5101,286.3396,287.4031,288.1611,288.3712,288.1097,287.3119,286.33,285.1762,284.5917,286.346616666667
1867,284.563,284.7681,285.65,286.4948,287.5532,288.2817,288.3954,288.1852,287.4467,286.4878,285.3495,284.8025,286.498158333333
1868,284.653,284.9743,285.5818,286.5093,287.5579,288.3322,288.4078,288.1251,287.3898,286.3043,285.1663,284.7451,286.478908333333
1869,284.7148,285.0404,285.7289,286.6758,287.4955,288.2672,288.3748,288.1802,287.4994,286.2005,285.1196,284.4612,286.479858333333
1870,284.2438,284.793,285.5258,286.3486,287.4653,288.2642,288.3507,288.1654,287.425,286.0795,285.1256,284.5698,286.363058333333
1871,284.5295,284.8911,285.5306,286.4991,287.4166,288.1133,288.322,288.3078,287.3069,286.2117,285.024,284.5624,286.392916666667
1872,284.2491,284.6398,285.4606,286.4176,287.5984,288.2186,288.5156,288.2245,287.4204,286.2451,285.1735,284.7275,286.407558333333
1873,284.8328,284.9179,285.6284,286.4656,287.4976,288.2137,288.4681,288.2208,287.4422,286.3375,285.3448,284.7605,286.510825
1874,284.5661,284.789,285.4229,286.4803,287.5049,288.1523,288.3925,288.2075,287.4878,286.3168,285.1985,284.4881,286.417225
1875,284.4981,284.7454,285.5794,286.4477,287.3915,288.0966,288.4406,288.2195,287.5578,286.3619,285.3248,284.7158,286.448258333333
1876,284.5652,284.9563,285.6274,286.645,287.5122,288.3025,288.4882,288.2574,287.5605,286.4176,285.3083,284.6157,286.521358333333
1877,284.8624,285.2954,285.7814,286.72,287.781,288.4688,288.6059,288.362,287.5654,286.4415,285.2287,284.6722,286.648725
1878,284.556,285.0371,285.7351,286.5961,287.5155,288.299,288.4759,288.1658,287.3708,286.1807,285.2324,284.7603,286.493725
1879,284.9094,285.0869,285.6155,286.5371,287.7398,288.3462,288.7036,288.288,287.4976,286.3017,285.387,284.7021,286.592908333333
1880,284.8673,285.1773,285.7462,286.7418,287.7283,288.3109,288.5587,288.2915,287.4241,286.2703,285.1623,284.6802,286.579908333333
1881,284.5999,284.7516,285.7606,286.6036,287.5595,288.059,288.3457,288.2527,287.6554,286.453,285.4372,284.9064,286.53205
1882,285.0286,285.3589,286.0028,286.8246,287.7609,288.4543,288.6161,288.5498,287.5815,286.4854,285.5925,285.0207,286.773008333333
1883,284.8694,285.1995,285.9008,286.7183,287.7356,288.3364,288.6451,288.3257,287.5348,286.2309,285.2056,284.6805,286.615216666667
1884,284.2285,284.7589,285.4367,286.27,287.0876,287.7233,287.864,287.8178,286.9437,285.6693,284.501,284.0273,286.027341666667
1885,283.8913,284.1123,284.9825,285.9148,286.9408,287.5581,288.0256,287.8902,286.9269,285.8305,284.8923,284.2142,285.931625
1886,284.2432,284.7076,285.2239,286.0529,287.0955,287.8797,288.1919,288.0435,287.294,286.0445,284.9377,284.296,286.167533333333
