year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1861,285.0918,285.4204,286.1322,286.772,287.7463,288.4653,288.7438,288.4459,287.6117,286.4774,285.5452,285.1496,286.800133333333
1862,285.1796,285.73,286.2131,286.9813,287.7624,288.5367,288.8513,288.5769,287.7204,286.6095,285.4908,285.2041,286.904675
1863,285.2206,285.6839,286.4846,287.1017,287.9991,288.5745,288.8345,288.6146,287.6998,286.492,285.4298,284.8595,286.916216666667
1864,285.1602,285.5147,286.0558,286.9739,287.8116,288.4279,288.7958,288.309,287.6454,286.5253,285.4626,285.0319,286.809508333333
1865,285.1658,285.5065,286.2099,287.0389,287.744,288.4684,288.8479,288.516,287.7317,286.5718,285.4677,285.315,286.881966666667
1866,285.4627,285.8673,286.5392,287.2673,287.9579,288.647,288.8783,288.5807,287.8215,286.6527,285.5981,285.2125,287.040433333333
1867,285.3981,285.6847,286.3279,287.2706,288.0908,288.7788,288.9072,288.4987,287.7619,286.6383,285.6143,285.1067,287.0065
1868,285.1235,285.5188,286.325,286.9453,287.7486,288.5109,288.8582,288.5531,287.7964,286.656,285.708,285.1001,286.903658333333
1869,285.2189,285.8119,286.2377,287.1573,287.9806,288.6989,288.8325,288.712,287.8962,286.8911,285.8433,285.2232,287.041966666667
1870,285.5137,285.6059,286.1941,287.0598,287.9132,288.6967,289.0453,288.751,287.9451,286.9307,285.9029,285.4011,287.079958333333
1871,285.5034,285.7646,286.3653,287.2416,288.1364,288.6742,288.8708,288.5494,287.8687,286.6624,285.57,285.1608,287.030633333333
1872,285.2132,285.4168,286.0624,286.8795,287.7356,288.3593,288.6274,288.5428,287.8136,286.5937,285.569,285.154,286.830608333333
1873,285.2137,285.7169,286.4254,287.109,287.9174,288.6038,288.7631,288.5326,287.7037,286.797,285.7117,285.2858,286.981675
1874,285.4771,285.8003,286.3144,287.2217,287.9353,288.6548,288.9144,288.6233,287.8546,286.7966,285.8477,285.1967,287.053075
1875,285.2485,285.7511,286.5886,287.2498,288.239,288.9385,288.8339,288.5822,287.8649,286.6716,285.6608,285.0047,287.0528
1876,285.053,285.254,285.9145,286.7557,287.7313,288.4109,288.685,288.619,287.7584,286.6449,285.4955,284.9098,286.769333333333
1877,285.1475,285.4146,286.1506,287.0782,287.7413,288.3708,288.5475,288.4861,287.7697,286.5807,285.5103,285.0106,286.817325
1878,285.0205,285.3042,286.0284,286.822,287.5534,288.434,288.6978,288.4298,287.5898,286.417,285.2614,284.7079,286.68885
1879,285.0485,285.3862,286.1049,286.8051,287.8553,288.6171,288.8701,288.629,287.8019,286.5785,285.4865,285.1495,286.86105
1880,285.3652,285.4113,286.0709,286.9056,287.9447,288.5508,288.883,288.5851,287.8241,286.6047,285.5074,285.0096,286.888533333333
