year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,286.1997,286.4999,287.2819,288.2258,288.8918,289.4649,289.5814,289.385,288.7779,287.6241,286.7267,286.1184,287.898125
1852,285.9629,286.4875,287.158,287.982,288.782,289.3423,289.5251,289.2482,288.6662,287.5913,286.6164,286.0452,287.783925
1853,286.0515,286.293,287.0198,288.0021,288.8161,289.3513,289.6829,289.3204,288.6999,287.7697,286.7999,286.3203,287.843908333333
1854,286.1363,286.5878,287.2077,288.1079,288.9216,289.3468,289.7178,289.4294,288.7852,287.7224,286.6258,286.1158,287.892041666667
1855,286.0692,286.5727,287.2794,288.1769,289.0103,289.416,289.6743,289.5388,288.832,287.7179,286.7336,286.2002,287.935108333333
1856,286.1728,286.434,287.2977,288.134,288.9158,289.3766,289.5157,289.464,288.7054,287.6324,286.6191,286.0667,287.861183333333
1857,286.0016,286.4476,287.2087,287.9625,288.7139,289.3215,289.6259,289.3482,288.5969,287.4167,286.4172,285.9139,287.747883333333
1858,285.9846,286.2852,287.0635,287.9742,288.6268,289.1812,289.4508,289.3008,288.6512,287.5889,286.6313,286.0866,287.735425
1859,285.8838,286.2952,286.9833,288.0369,288.9061,289.3631,289.6969,289.518,288.7844,287.8422,286.7894,286.3142,287.867791666667
1860,286.213,286.4245,287.2861,288.0537,288.9237,289.3666,289.6543,289.425,288.7996,287.8013,286.7032,286.092,287.89525
1861,286.0872,286.522,287.1774,288.0389,288.7602,289.4634,289.6458,289.4367,288.7271,287.7949,286.8857,286.2496,287.899075
1862,286.0499,286.5636,287.557,288.318,289.0536,289.6516,289.8286,289.6257,288.8555,287.859,286.8548,286.2397,288.038083333333
1863,286.1638,286.4866,287.2384,288.1325,288.848,289.3687,289.6733,289.4476,288.8073,287.8145,286.7087,286.1461,287.902958333333
1864,285.9342,286.3841,287.2107,288.0923,288.9242,289.457,289.7499,289.5236,288.8365,287.7326,286.6879,286.2889,287.901825
1865,286.2474,286.4043,287.364,288.21,288.9286,289.4622,289.7245,289.501,288.8607,287.7907,286.8761,286.1981,287.963966666667
1866,286.3139,286.7463,287.4999,288.328,289.0726,289.6337,289.7971,289.5813,288.8893,288.0118,286.8564,286.2903,288.08505
1867,286.3497,286.7287,287.2773,288.1764,288.9384,289.5795,289.7443,289.5564,288.8313,287.8153,286.9555,286.335,288.023983333333
1868,286.3232,286.6478,287.2205,288.2008,289.0284,289.5184,289.734,289.6093,288.9495,287.848,286.8358,286.2264,288.011841666667
1869,286.324,286.6541,287.484,288.1404,289.0449,289.6214,289.7953,289.5745,288.841,287.811,286.7483,286.2517,288.024216666667
1870,286.2658,286.6323,287.3677,288.1359,288.9402,289.5576,289.7449,289.5577,288.8968,287.8479,286.8105,286.2485,288.000483333333
1871,286.2957,286.761,287.4123,288.1253,288.9613,289.455,289.7743,289.5136,288.8525,287.8709,286.8242,286.4114,288.021458333333
1872,286.4177,286.7095,287.3459,288.1152,288.947,289.4837,289.7217,289.5902,288.7766,287.6937,286.7546,286.2625,287.984858333333
1873,286.1407,286.5212,287.3028,288.1414,288.9038,289.5518,289.759,289.5724,288.7421,287.7362,286.7818,286.1818,287.944583333333
1874,286.2237,286.4943,287.261,288.109,288.8246,289.4676,289.7368,289.6328,288.9048,287.7437,286.8247,286.2946,287.9598
1875,286.3372,286.5507,287.3479,288.1118,288.916,289.5211,289.7506,289.5022,288.8719,287.9261,286.8869,286.2599,287.998525
1876,286.0969,286.6003,287.1978,288.2292,289.0542,289.5709,289.7301,289.6084,288.8736,287.8315,286.7985,286.1401,287.977625
1877,286.0415,286.5894,287.3093,288.1251,288.8519,289.5146,289.8618,289.5707,288.833,287.8193,286.8342,286.1798,287.960883333333
1878,286.1848,286.6074,287.2138,288.1976,288.9567,289.4699,289.7578,289.5193,288.8629,287.7369,286.7056,286.1441,287.9464
1879,286.3003,286.5431,287.2769,288.0731,288.9497,289.4966,289.8033,289.5071,288.8164,287.8316,286.7456,286.169,287.959391666667
1880,286.2265,286.5653,287.277,288.2458,288.8822,289.4826,289.761,289.5141,288.862,287.77,286.7369,286.1194,287.953566666667
1881,286.1009,286.5555,287.1736,288.0654,288.8578,289.6126,289.7844,289.4945,288.8938,287.782,286.7218,286.3546,287.949741666667
1882,286.3238,286.703,287.432,288.2668,288.9847,289.6274,289.8028,289.56,288.8724,287.7702,286.8067,286.16,288.025816666667
1883,286.3333,286.5931,287.2238,288.1806,288.975,289.5185,289.7537,289.5119,288.8709,287.8503,286.7167,285.9529,287.956725
1884,285.9599,286.3202,287.0003,287.8622,288.6179,289.0302,289.4272,289.2701,288.4259,287.3332,286.3391,285.9268,287.626083333333
1885,285.9082,286.1174,286.8678,287.7152,288.5895,289.247,289.4929,289.2997,288.6519,287.4897,286.5045,285.8144,287.641516666667
1886,285.9759,286.3717,287.1406,287.9705,288.8638,289.3719,289.6326,289.4102,288.5676,287.5517,286.5644,285.9796,287.783375
1887,285.9687,286.2939,287.0716,287.8552,288.7,289.325,289.5272,289.2383,288.6185,287.4763,286.4359,285.9822,287.707733333333
1888,285.8808,286.2189,286.941,287.9135,288.6999,289.2875,289.5786,289.3291,288.6257,287.6626,286.5882,285.9237,287.720791666667
1889,285.9225,286.3138,287.0687,287.8828,288.8271,289.3409,289.522,289.4377,288.6834,287.7166,286.5677,286.1647,287.787325
1890,286.1482,286.4412,287.2043,288.1542,288.8167,289.36,289.5252,289.4217,288.7497,287.6405,286.7393,285.958,287.846583333333
1891,286.1909,286.667,287.3174,288.0549,288.9065,289.3451,289.5477,289.2956,288.6366,287.6544,286.5536,285.9352,287.842075
1892,286.0407,286.3294,287.066,287.9632,288.701,289.2642,289.4363,289.2775,288.6232,287.5204,286.4586,286.0129,287.72445
1893,285.9444,286.343,287.0743,288.0302,288.7937,289.3492,289.5295,289.3426,288.623,287.7418,286.8056,286.1001,287.80645
1894,286.0901,286.6123,287.2956,288.12,288.7804,289.4452,289.6615,289.5099,288.8,287.6999,286.4848,286.212,287.892641666667
1895,286.1668,286.5847,287.1983,288.2368,288.8918,289.3918,289.729,289.4648,288.8336,287.6457,286.6628,285.9129,287.89325
1896,286.0233,286.3296,287.2041,288.0014,288.8558,289.3687,289.6105,289.4301,288.7777,287.6612,286.6838,286.0397,287.832158333333
1897,285.9529,286.4667,287.2251,288.1155,288.9009,289.4995,289.7405,289.5056,288.6436,287.6481,286.7125,286.1976,287.884041666667
1898,286.1254,286.2867,287.3237,288.2104,289.0104,289.5112,289.7039,289.4983,288.8106,287.8208,286.8243,286.2379,287.946966666667
1899,286.1295,286.4868,287.2595,288.2079,288.9056,289.5201,289.778,289.5298,288.8071,287.8434,286.7144,286.1507,287.9444
1900,286.1255,286.4177,287.1642,288.1258,288.9798,289.4898,289.707,289.5027,288.8649,287.6605,286.7781,286.2732,287.9241
1901,286.2351,286.5395,287.3414,288.1683,288.9544,289.6348,289.8585,289.5287,288.9525,287.9674,286.9354,286.3509,288.038908333333
1902,286.3396,286.7129,287.3749,288.2502,288.9771,289.6155,289.8061,289.5951,288.947,287.8556,286.7237,286.2902,288.040658333333
1903,286.2003,286.4894,287.0762,287.9949,288.7161,289.3256,289.5196,289.3705,288.5781,287.6209,286.5938,286.002,287.790616666667
1904,285.9617,286.2359,287.0791,287.856,288.6576,289.2086,289.62,289.4024,288.6946,287.6074,286.6631,286.2144,287.766733333333
1905,286.0084,286.2879,287.1343,288.1856,288.9742,289.389,289.7126,289.4452,288.7525,287.6548,286.6985,286.3062,287.8791
1906,286.1036,286.7395,287.4915,288.1698,288.8939,289.4791,289.8193,289.6177,288.821,287.7775,286.7635,286.2449,287.993441666667
1907,286.06,286.5282,287.1926,288.052,288.7849,289.3473,289.6315,289.4724,288.8264,287.7764,286.6075,286.1342,287.867783333333
1908,286.0963,286.5668,287.3073,288.0501,288.9031,289.399,289.7028,289.5204,288.7463,287.878,286.8348,286.3452,287.945841666667
1909,286.1512,286.6248,287.5641,288.1518,288.8656,289.4335,289.7419,289.4885,288.7294,287.795,286.7894,286.0967,287.952658333333
1910,286.101,286.5175,287.297,288.1252,288.919,289.4065,289.7218,289.5118,288.7846,287.7305,286.7276,286.1961,287.919883333333
1911,286.0828,286.4978,287.2139,288.1249,289.0723,289.5155,289.7773,289.6384,288.8664,287.7692,286.8119,286.2935,287.971991666667
1912,286.4247,286.9145,287.4629,288.2374,289.0078,289.5854,289.7419,289.4773,288.7924,287.7924,286.6046,286.0396,288.006741666667
1913,285.9511,286.3523,287.105,288.0746,288.8906,289.2984,289.5556,289.469,288.599,287.5503,286.5641,286.0424,287.7877
1914,286.0951,286.4964,287.1705,288.2274,288.9962,289.4146,289.734,289.4921,288.7665,287.7815,286.6392,286.1783,287.915983333333
1915,286.2174,286.572,287.3332,288.1646,288.9575,289.5443,289.7034,289.5747,288.7713,287.6735,286.7359,286.1841,287.952658333333
1916,286.248,286.6042,287.3216,288.2447,288.8966,289.4106,289.7838,289.5123,288.9488,287.8156,286.8506,286.3672,288.000333333333
1917,286.3457,286.6975,287.4303,288.2193,289.0065,289.6049,289.7882,289.6092,288.8896,287.7278,286.8112,286.3139,288.037008333333
1918,286.214,286.584,287.4636,288.256,289.0999,289.5344,289.8216,289.6542,288.9382,287.8769,286.9632,286.2995,288.058791666667
1919,286.294,286.6473,287.332,288.3274,288.989,289.5476,289.9469,289.6676,288.9584,287.8867,286.9573,286.3958,288.079166666667
1920,286.436,286.6139,287.4131,288.316,289.0335,289.6153,289.8384,289.6201,288.9194,287.8199,286.9868,286.2163,288.069058333333
1921,286.1477,286.5847,287.3921,288.3238,289.071,289.615,289.8002,289.6371,288.9203,287.9173,286.8933,286.2476,288.045841666667
