year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,286.3408,286.527,287.3966,288.082,288.9168,289.6415,289.8037,289.5728,288.9581,287.8849,286.8846,286.3284,288.0281
1851,286.347,286.6875,287.257,288.2671,289.006,289.5605,289.7868,289.565,288.9425,287.9813,286.9636,286.5149,288.073266666667
1852,286.433,286.8524,287.3929,288.3294,289.0846,289.6176,289.8278,289.5927,288.8504,287.8377,286.8763,286.2351,288.077491666667
1853,286.1465,286.5306,287.3284,288.1194,288.9037,289.4434,289.7715,289.6429,288.8729,287.9072,286.9785,286.379,288.002
1854,286.1559,286.7844,287.4495,288.2544,289.2402,289.7513,290.0228,289.7906,289.0624,288.2549,287.0195,286.5332,288.193258333333
1855,286.5622,286.9648,287.5642,288.4665,289.1136,289.761,289.9436,289.7998,289.1128,288.1192,286.9661,286.5237,288.241458333333
1856,286.538,286.7664,287.4136,288.2325,289.1099,289.7247,289.8917,289.7951,289.0353,287.8051,286.9019,286.2688,288.123583333333
1857,286.345,286.7545,287.1584,288.1747,288.9074,289.5038,289.8907,289.634,288.9671,287.8344,286.9283,286.3681,288.038866666667
1858,286.2225,286.6322,287.3093,288.108,288.8879,289.522,289.7938,289.6075,288.8979,287.8448,286.7907,286.1497,287.980525
1859,286.1266,286.5621,287.2648,288.2144,288.9371,289.5201,289.7483,289.5879,288.9016,287.8476,286.7847,286.2189,287.976175
1860,286.3331,286.6745,287.3214,288.375,289.1394,289.7452,290.0177,289.8125,289.1201,288.2608,287.1023,286.7233,288.218775
1861,286.4684,286.9936,287.7205,288.5206,289.1711,289.7171,289.9913,289.7705,289.0436,288.0613,286.966,286.3106,288.227883333333
1862,286.4193,286.7166,287.515,288.3279,289.0565,289.5404,289.8796,289.6928,288.9523,287.9909,286.996,286.3136,288.116741666667
1863,286.2905,286.6934,287.3707,288.2218,289.0555,289.7313,289.9361,289.839,289.1638,288.1559,287.1201,286.7532,288.194275
1864,286.4532,286.9681,287.683,288.6339,289.3855,289.8607,290.1294,289.8297,289.1582,288.2583,287.133,286.5616,288.337883333333
1865,286.7125,287.1773,287.738,288.5376,289.2856,289.9304,290.0854,289.8114,289.2723,288.1489,287.1157,286.5226,288.361475
1866,286.4297,286.9128,287.694,288.5313,289.2289,289.8444,290.0609,289.7564,289.0488,288.1147,287.2289,286.548,288.283233333333
1867,286.4437,286.9539,287.5796,288.5488,289.2875,289.7536,290.0486,289.8464,289.1865,288.1464,287.1658,286.6807,288.303458333333
1868,286.6359,286.9789,287.6955,288.5554,289.238,289.839,290.085,289.9675,289.3159,288.2298,287.2575,286.5507,288.362425
1869,286.5233,287.0044,287.6882,288.586,289.331,289.8321,290.04,289.889,289.2778,288.3093,287.2958,286.6245,288.366783333333
