year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,285.3371,285.5851,286.5477,287.4362,288.2293,288.875,289.2117,289.1935,288.5454,287.4931,286.2657,285.6479,287.363975
1851,285.4984,285.855,286.5617,287.4535,288.4185,288.9626,289.2752,289.207,288.634,287.4644,286.3476,285.3102,287.415675
1852,285.3725,285.8552,286.5294,287.5354,288.5095,288.7658,289.1631,289.0784,288.5155,287.5649,286.2537,285.4934,287.3864
1853,285.3075,285.7607,286.7109,287.6834,288.457,289.0555,289.3322,289.3576,288.6952,287.6007,286.5321,285.8547,287.528958333333
1854,285.6159,286.0786,286.7723,287.692,288.3954,289.1046,289.3375,289.2563,288.6837,287.497,286.4576,285.8893,287.565016666667
1855,285.4613,286.1204,286.8219,287.7934,288.5991,289.0746,289.2952,289.1855,288.668,287.4807,286.2881,285.6812,287.539116666667
1856,285.3856,285.7946,286.6731,287.4713,288.3395,288.8828,289.1368,289.0547,288.4729,287.3099,286.204,285.4958,287.35175
1857,285.203,285.7659,286.6249,287.555,288.3008,288.8664,289.0603,288.9498,288.2917,287.1812,285.9924,285.278,287.255783333333
1858,285.2663,285.8251,286.5119,287.4919,288.2563,288.787,289.1083,289.0616,288.4461,287.4291,286.2325,285.5395,287.329633333333
1859,285.4981,285.6753,286.5306,287.4561,288.4367,288.9593,289.2496,289.008,288.3601,287.3655,286.3364,285.4389,287.35955
1860,285.3456,285.6703,286.4482,287.4695,288.2592,288.8122,289.2498,289.1428,288.5791,287.4897,286.3797,285.7663,287.384366666667
1861,285.6509,285.7552,286.5677,287.6126,288.618,289.0248,289.2937,289.2427,288.5614,287.472,286.2877,285.5031,287.465816666667
1862,285.3861,285.7542,286.7649,287.6771,288.5555,289.0769,289.3272,289.2552,288.5828,287.3822,286.2818,285.6823,287.477183333333
1863,285.4026,286.0026,286.772,287.608,288.4119,288.8401,289.1133,289.1928,288.494,287.4402,286.2778,285.3954,287.412558333333
1864,285.4098,285.8523,286.6257,287.3975,288.3269,288.8327,289.109,289.2215,288.4663,287.3928,286.2723,285.502,287.3674
1865,285.2492,285.7623,286.4753,287.5874,288.5212,288.982,289.2933,289.2752,288.5815,287.5832,286.3457,285.6179,287.439516666667
1866,285.505,285.9149,286.6984,287.8047,288.5652,289.1418,289.3673,289.2596,288.6131,287.429,286.312,285.5003,287.509275
1867,285.483,285.9331,286.5494,287.6247,288.5186,289.111,289.3406,289.2231,288.6508,287.6671,286.3878,285.6136,287.508566666667
1868,285.373,285.7409,286.6875,287.6493,288.4005,288.9341,289.1628,289.1406,288.6129,287.5078,286.2622,285.688,287.429966666667
1869,285.6234,285.9618,286.8557,287.9304,288.5644,289.0826,289.2477,289.1504,288.4852,287.5298,286.4775,285.7099,287.551566666667
1870,285.5152,285.8936,286.6878,287.6966,288.5375,289.0392,289.4288,289.249,288.6546,287.6896,286.3612,285.5626,287.526308333333
1871,285.3629,285.8836,286.506,287.6137,288.5518,289.0468,289.3161,289.393,288.5745,287.4454,286.3777,285.5736,287.470425
1872,285.5595,285.8132,286.6829,287.5303,288.3794,289.0077,289.2418,289.189,288.5967,287.5721,286.393,285.644,287.467466666667
1873,285.4892,285.8536,286.6112,287.5847,288.4355,289.0084,289.2084,289.0701,288.5175,287.4916,286.3232,285.5302,287.426966666667
1874,285.4026,285.5439,286.4775,287.5558,288.3869,288.9913,289.3077,289.1722,288.5287,287.3721,286.2195,285.4191,287.364775
1875,285.4721,285.9672,286.7573,287.7979,288.5627,288.9754,289.2698,289.1606,288.5117,287.4362,286.29,285.4956,287.474708333333
1876,285.3351,285.839,286.6554,287.4518,288.4234,288.9268,289.2488,289.1693,288.4962,287.5275,286.3473,285.5892,287.417483333333
1877,285.6373,285.9244,286.8446,287.7442,288.5796,289.132,289.3692,289.2478,288.5725,287.4461,286.2084,285.4772,287.515275
1878,285.2871,285.9561,286.6888,287.5109,288.3599,289.0577,289.3756,289.1894,288.7012,287.5069,286.399,285.6755,287.475675
1879,285.5411,286.0232,286.5968,287.5794,288.4963,288.9072,289.257,289.1673,288.553,287.5192,286.3664,285.8389,287.48715
1880,285.4819,285.8632,286.52,287.5056,288.475,289.0833,289.4017,289.3156,288.5623,287.5098,286.4971,285.6735,287.49075
1881,285.3962,285.7497,286.6868,287.6106,288.3825,288.953,289.2659,289.1622,288.6324,287.516,286.4732,285.6958,287.460358333333
1882,285.5444,286.0208,286.8721,287.9084,288.5991,289.0637,289.3938,289.2998,288.5678,287.5608,286.4852,285.8119,287.593983333333
1883,285.4864,285.9508,286.8359,287.7942,288.54,288.9796,289.3611,289.2675,288.6969,287.5647,286.3507,285.5688,287.53305
1884,285.5527,285.6632,286.3583,287.3848,288.2082,288.7461,288.9947,288.8111,288.2592,287.1565,286.1267,285.1621,287.201966666667
1885,285.0209,285.6371,286.4139,287.2853,288.0978,288.6276,289.0087,288.9711,288.3284,287.1814,285.9597,285.1965,287.144033333333
1886,285.2967,285.6546,286.4424,287.4633,288.3509,288.8893,289.1212,289.0078,288.2651,287.1995,286.0333,285.2418,287.247158333333
1887,285.0776,285.5083,286.3161,287.349,288.1826,288.6827,289.0465,288.8952,288.243,287.2617,286.1231,285.3089,287.166225
1888,285.2705,285.5893,286.4417,287.3784,288.2977,288.7912,289.1339,288.9723,288.3898,287.4074,286.1811,285.5612,287.284541666667
1889,285.3855,285.8931,286.6475,287.6369,288.4668,288.8979,289.214,289.1781,288.4347,287.4335,286.2409,285.5244,287.412775
1890,285.3335,285.7191,286.5254,287.5359,288.2307,288.7427,289.2041,289.0737,288.3546,287.4138,286.1413,285.6259,287.325058333333
1891,285.5331,285.8376,286.6518,287.7363,288.4991,288.9861,289.3269,289.234,288.5955,287.4559,286.2905,285.6638,287.484216666667
1892,285.5579,285.8761,286.8181,287.7227,288.4932,289.0483,289.2786,289.213,288.6043,287.4955,286.3618,285.683,287.512708333333
1893,285.4344,285.8225,286.719,287.5709,288.546,289.0129,289.3099,289.215,288.5324,287.5732,286.3594,285.6384,287.477833333333
1894,285.6221,285.9816,286.8534,287.8164,288.6282,289.0669,289.3736,289.2242,288.736,287.547,286.3916,285.806,287.58725
1895,285.6117,285.9694,286.6642,287.7734,288.5681,289.0148,289.3765,289.3285,288.6421,287.646,286.3744,285.6775,287.553883333333
1896,285.4229,285.8467,286.6143,287.5302,288.4183,288.9452,289.2734,289.281,288.6819,287.722,286.566,285.6872,287.499091666667
1897,285.6692,286.0848,286.8658,287.8246,288.7198,289.2061,289.4526,289.2817,288.6538,287.7269,286.5766,285.6577,287.6433
1898,285.6615,286.0421,286.7166,287.8727,288.5989,288.9749,289.3171,289.2372,288.6682,287.5953,286.3483,285.5156,287.5457
1899,285.5786,285.9702,286.8641,287.6767,288.5305,289.0442,289.435,289.2814,288.6186,287.7527,286.3559,285.7467,287.571216666667
1900,285.5535,286.0487,286.7225,287.7404,288.5316,289.1018,289.4223,289.2223,288.5381,287.4839,286.4405,285.5751,287.531725
1901,285.7329,285.8247,286.6654,287.6446,288.5242,288.9978,289.4523,289.2638,288.7053,287.6212,286.45,285.8248,287.558916666667
1902,285.6313,285.9847,286.7111,287.7629,288.4891,289.0442,289.3603,289.2831,288.5711,287.6347,286.3103,285.69,287.5394
1903,285.4139,285.8649,286.6297,287.6013,288.4247,288.8824,289.1863,289.1435,288.5281,287.473,286.0992,285.3971,287.387008333333
1904,285.3897,285.9358,286.5807,287.4966,288.3213,288.9094,289.1844,289.0503,288.5226,287.5436,286.3,285.5894,287.401983333333
1905,285.3493,285.9081,286.6158,287.555,288.384,289.0039,289.2885,289.1552,288.5448,287.5631,286.3752,285.5879,287.444233333333
1906,285.4243,285.8886,286.7974,287.6423,288.4646,289.0411,289.4575,289.3089,288.7956,287.6413,286.4569,285.5649,287.540283333333
1907,285.6497,286.1064,286.8482,287.7874,288.6343,289.1029,289.2631,289.1611,288.5236,287.4349,286.2547,285.4081,287.514533333333
1908,285.3634,285.6118,286.6164,287.6457,288.3418,288.8318,289.1607,289.087,288.592,287.4774,286.1779,285.5904,287.374691666667
1909,285.3732,286.1883,286.7802,287.8137,288.6247,289.1242,289.4465,289.3383,288.74,287.7074,286.486,286.0002,287.635225
1910,285.7365,286.0751,286.8736,287.8064,288.5701,289.0653,289.3718,289.216,288.7424,287.6011,286.522,285.6981,287.606533333333
1911,285.7062,285.9204,286.8686,287.7037,288.5381,289.0204,289.3022,289.28,288.665,287.6501,286.5309,285.75,287.577966666667
1912,285.7044,286.0351,286.7836,287.8279,288.7481,289.1287,289.351,289.2878,288.7025,287.5678,286.4867,285.6736,287.6081
