year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,285.8123,285.9281,286.9618,287.899,288.6975,289.3843,289.657,289.4908,288.8932,287.8392,286.5864,285.9411,287.757558333333
1852,285.771,286.1821,286.9275,287.947,288.7247,289.2288,289.4786,289.333,288.7298,287.7493,286.6114,285.7807,287.705325
1853,285.5424,285.7204,286.6439,287.6358,288.6262,289.0975,289.4664,289.2549,288.7291,287.6767,286.4582,285.5668,287.534858333333
1854,285.4991,286.0269,286.6683,287.6833,288.6464,289.0979,289.4429,289.4239,288.8169,287.6958,286.6005,285.8013,287.616933333333
1855,285.6404,286.0128,286.6968,287.8293,288.621,289.3914,289.7099,289.4441,288.8486,287.7891,286.5643,285.7658,287.692791666667
1856,285.7205,285.9301,286.658,287.6713,288.5567,289.0063,289.2664,289.1667,288.5642,287.5194,286.4085,285.5915,287.504966666667
1857,285.2768,285.8498,286.4464,287.5463,288.3216,288.7862,289.0157,289.0627,288.475,287.4089,286.3216,285.539,287.3375
1858,285.3809,285.7259,286.4862,287.4918,288.3646,288.9003,289.2152,289.072,288.6016,287.4805,286.3257,285.4752,287.376658333333
1859,285.3461,285.8374,286.4913,287.519,288.4246,288.9913,289.2935,289.2622,288.6642,287.6816,286.511,285.7957,287.484825
1860,285.7162,285.9591,286.9003,287.6623,288.5611,289.1567,289.3997,289.3684,288.7302,287.6444,286.4709,285.605,287.597858333333
1861,285.4052,285.8299,286.5164,287.4915,288.3819,288.9242,289.2822,289.2386,288.7197,287.5516,286.3787,285.6257,287.445466666667
1862,285.4597,285.7349,286.8273,287.8021,288.6067,289.1417,289.3937,289.3332,288.6882,287.4959,286.3719,285.6307,287.5405
1863,285.3887,285.8898,286.5435,287.6457,288.3637,288.8463,289.2392,289.2838,288.708,287.6751,286.5082,285.8441,287.494675
1864,285.7621,286.0407,286.7794,287.7557,288.697,289.2118,289.4659,289.33,288.7703,287.7294,286.4363,285.869,287.653966666667
1865,285.5739,285.8856,286.8257,287.786,288.6358,289.1526,289.4207,289.3252,288.6361,287.7562,286.5822,285.8492,287.6191
1866,285.4317,285.9806,286.7764,287.8209,288.7605,289.3003,289.489,289.4167,288.7791,287.6453,286.3064,285.8507,287.6298
1867,285.5031,285.8072,286.5752,287.5523,288.5061,289.0525,289.3033,289.2598,288.6574,287.6464,286.4814,285.8904,287.519591666667
1868,285.7381,286.0782,286.8432,287.7554,288.6373,289.109,289.3639,289.2064,288.6172,287.6231,286.567,285.8653,287.617008333333
1869,285.6385,286.0276,286.7636,287.6925,288.5665,289.1224,289.274,289.0768,288.4619,287.4496,286.3143,285.5793,287.49725
1870,285.354,285.736,286.4881,287.5024,288.3844,288.8848,289.2676,289.0631,288.4489,287.4785,286.3631,285.6757,287.387216666667
1871,285.4987,285.8323,286.5011,287.4612,288.2197,288.8883,289.2919,289.2857,288.7252,287.6426,286.5197,285.8773,287.478641666667
1872,285.7473,285.9875,286.9532,287.8969,288.681,289.3014,289.6535,289.4655,288.7672,287.7649,286.6065,285.6948,287.709975
1873,285.4877,285.8329,286.7395,287.6177,288.6121,289.1729,289.5324,289.3686,288.7475,287.6296,286.4278,285.8761,287.587066666667
1874,285.6267,285.8849,286.6752,287.6854,288.5371,289.0459,289.5272,289.3415,288.8249,287.7357,286.5117,285.8998,287.608
1875,285.813,286.1905,286.9421,287.899,288.7366,289.1918,289.4938,289.295,288.681,287.5463,286.2108,285.5144,287.626191666667
1876,285.2367,285.5673,286.5164,287.5327,288.4287,289.0478,289.3105,289.1702,288.5737,287.5178,286.2291,285.5763,287.392266666667
1877,285.4009,285.9307,286.6413,287.8,288.5835,289.1205,289.5354,289.3898,288.6522,287.6704,286.5284,285.9235,287.59805
1878,285.7754,286.1492,286.8823,287.989,288.8325,289.2698,289.427,289.3868,288.739,287.6704,286.6905,285.8379,287.720816666667
1879,285.4571,285.938,286.8457,287.8233,288.5941,289.0897,289.387,289.321,288.7229,287.7587,286.4423,285.8227,287.600208333333
1880,285.5545,285.8755,286.7213,287.7674,288.4818,289.026,289.4473,289.3543,288.653,287.6661,286.5258,285.9447,287.584808333333
1881,285.8235,286.2885,286.8521,287.7876,288.6512,289.1797,289.4018,289.3653,288.8163,287.645,286.5374,285.7733,287.676808333333
1882,285.6145,285.9877,286.752,287.7057,288.5664,289.0415,289.3607,289.3009,288.5955,287.6528,286.5415,285.7543,287.572791666667
1883,285.7504,285.9777,286.8369,287.6538,288.4828,289.1352,289.4406,289.333,288.7149,287.5041,286.4485,285.6194,287.574775
1884,285.382,285.7933,286.6394,287.6193,288.2342,288.7521,289.047,289.0368,288.3649,287.153,285.9492,285.3645,287.277975
1885,284.9621,285.4871,286.1299,287.1499,288.0918,288.6572,289.0797,289.0713,288.4739,287.4986,286.1277,285.3966,287.17715
1886,285.4167,285.7912,286.5554,287.6137,288.4953,289.0211,289.4423,289.4092,288.787,287.5903,286.3636,285.4841,287.497491666667
1887,285.325,285.9667,286.6753,287.7477,288.6034,289.0909,289.3803,289.1653,288.6126,287.5649,286.3164,285.5538,287.500191666667
1888,285.4119,285.8898,286.6046,287.5938,288.6101,289.0794,289.4034,289.2064,288.6486,287.4901,286.364,285.5573,287.488283333333
1889,285.3755,285.9648,286.4716,287.5505,288.3773,288.8584,289.1819,289.1635,288.6767,287.5588,286.4035,285.694,287.439708333333
1890,285.3959,285.9356,286.6776,287.7659,288.4871,289.0695,289.4014,289.2924,288.7305,287.5797,286.5348,285.7692,287.5533
1891,285.5672,286.1916,286.7406,287.79,288.5814,289.0621,289.3444,289.2348,288.6605,287.4882,286.3784,285.5909,287.552508333333
1892,285.4148,285.8395,286.6664,287.679,288.5198,289.0376,289.3938,289.2242,288.6608,287.5569,286.4211,285.5447,287.49655
1893,285.4811,285.922,286.6052,287.6768,288.527,289.1731,289.3085,289.2545,288.6541,287.5186,286.4083,285.6199,287.512425
1894,285.4808,285.6988,286.4684,287.4212,288.3182,288.9589,289.3047,289.3392,288.7622,287.6625,286.512,285.7536,287.473375
1895,285.6891,286.0161,286.7989,287.9181,288.7013,289.2517,289.5571,289.4528,288.8531,287.6675,286.6606,285.7894,287.696308333333
1896,285.6201,285.9082,286.719,287.6937,288.6614,289.1037,289.3887,289.2862,288.6468,287.5891,286.3424,285.6407,287.55
1897,285.3931,285.7239,286.6693,287.5996,288.567,289.0622,289.4141,289.4109,288.7856,287.7141,286.4931,285.677,287.542491666667
1898,285.432,285.8083,286.6935,287.7049,288.5113,289.1221,289.4792,289.3472,288.6597,287.6465,286.3261,285.6555,287.532191666667
1899,285.5467,285.8635,286.4532,287.6818,288.3685,289.0426,289.4867,289.3146,288.7787,287.6837,286.523,285.7418,287.5404
1900,285.5417,286.0871,286.783,287.6903,288.6233,289.2475,289.5236,289.4234,288.7797,287.6065,286.307,285.5399,287.596083333333
1901,285.3418,285.7187,286.3854,287.5392,288.5131,289.1442,289.45,289.3483,288.6644,287.6722,286.5699,285.73,287.506433333333
1902,285.5587,285.8738,286.6789,287.7251,288.7338,289.0988,289.417,289.3786,288.6642,287.5732,286.4912,285.6081,287.566783333333
1903,285.2983,285.5431,286.3697,287.3721,288.2914,288.8241,289.043,289.0145,288.3048,287.1429,286.0405,285.3905,287.219575
1904,285.0595,285.5812,286.4601,287.4083,288.2279,288.7272,289.0293,288.9907,288.4473,287.3417,286.3235,285.6453,287.270166666667
1905,285.3567,285.8432,286.5013,287.4964,288.4737,288.9619,289.245,289.1121,288.5787,287.4238,286.2354,285.2814,287.3758
1906,285.189,285.6156,286.271,287.518,288.3445,288.906,289.228,289.1887,288.5568,287.5012,286.4129,285.7056,287.369775
1907,285.555,285.9745,286.7003,287.7008,288.5695,288.9688,289.3438,289.3938,288.7133,287.6676,286.4734,285.6612,287.560166666667
