year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,285.4257,285.6756,286.5867,287.6559,288.4731,289.0115,289.4016,289.2787,288.5484,287.4959,286.3338,285.7252,287.467675
1851,285.3873,285.9693,286.6075,287.6812,288.4315,288.9341,289.3162,289.1838,288.5631,287.5335,286.4287,285.6797,287.476325
1852,285.4788,285.8091,286.6955,287.6807,288.5282,288.9647,289.2509,289.2358,288.5179,287.4858,286.2771,285.4082,287.444391666667
1853,285.506,285.9595,286.5561,287.56,288.4821,288.9491,289.2706,289.1852,288.5475,287.4828,286.3965,285.5349,287.452525
1854,285.4694,285.8801,286.4939,287.4776,288.2708,288.8976,289.2212,289.1382,288.4533,287.5392,286.3446,285.527,287.392741666667
1855,285.3412,285.7344,286.5951,287.7057,288.49,288.9133,289.2733,289.0572,288.5504,287.5021,286.4605,285.567,287.432516666667
1856,285.3547,285.8062,286.6022,287.3748,288.333,288.8006,289.0253,288.9689,288.33,287.3919,286.1218,285.4198,287.2941
1857,285.449,285.7198,286.577,287.4103,288.1875,288.7534,289.0731,288.8447,288.2676,287.0576,285.9758,285.259,287.214566666667
1858,285.1624,285.5921,286.4366,287.5443,288.3687,288.8731,289.1881,289.0272,288.2776,287.236,286.1013,285.2542,287.255133333333
1859,285.178,285.4357,286.4591,287.3828,288.298,288.8249,289.1127,289.0415,288.3985,287.4316,286.2318,285.4583,287.271075
1860,285.395,285.8227,286.5962,287.7294,288.4337,288.8411,289.2604,289.1392,288.5771,287.5585,286.3129,285.6365,287.441891666667
1861,285.3904,285.7694,286.6444,287.6657,288.4918,288.8142,289.1785,289.1153,288.551,287.5125,286.4101,285.5556,287.424908333333
1862,285.295,285.7775,286.8035,287.6845,288.6696,289.0188,289.2605,289.1213,288.3842,287.5451,286.3176,285.6427,287.460025
1863,285.5964,285.8364,286.5913,287.6589,288.4585,288.881,289.1479,289.0708,288.555,287.4461,286.2863,285.6385,287.430591666667
1864,285.4029,285.8199,286.6549,287.4711,288.4776,289.0534,289.2786,289.1393,288.5207,287.5672,286.5009,285.6006,287.457258333333
1865,285.2748,285.5316,286.4838,287.5732,288.3509,288.9509,289.2602,289.1899,288.6428,287.4939,286.4757,285.8758,287.425291666667
1866,285.5986,286.0903,286.9186,287.9109,288.7043,289.1648,289.4876,289.2449,288.7043,287.749,286.3521,285.5505,287.622991666667
1867,285.403,285.7397,286.5919,287.6579,288.5127,289.1368,289.3617,289.2027,288.6433,287.5618,286.3094,285.5373,287.471516666667
1868,285.4285,285.9069,286.6229,287.6201,288.3727,288.9084,289.2245,289.111,288.6562,287.5524,286.1653,285.5827,287.4293
1869,285.5194,285.8225,286.7347,287.699,288.5279,289.0377,289.2927,289.1366,288.5292,287.4768,286.3768,285.6937,287.48725
1870,285.5036,285.782,286.7234,287.6959,288.5816,289.0293,289.2874,289.1036,288.4155,287.426,286.3632,285.6235,287.46125
1871,285.4583,285.8837,286.6594,287.6022,288.406,288.9068,289.199,289.1328,288.6088,287.5981,286.3347,285.7166,287.458866666667
1872,285.3414,285.7086,286.4606,287.4074,288.3258,288.8689,289.1272,289.2834,288.6911,287.6369,286.5194,285.944,287.442891666667
1873,285.5412,286.0363,286.8579,287.7075,288.575,289.1678,289.4818,289.3863,288.6062,287.564,286.3774,285.6236,287.577083333333
1874,285.4507,285.8132,286.6938,287.5201,288.4876,288.9565,289.3324,289.2248,288.6293,287.6011,286.3891,285.6736,287.481016666667
1875,285.4436,285.8189,286.7063,287.612,288.5364,289.0077,289.376,289.2622,288.7638,287.6591,286.5654,285.7885,287.544991666667
