year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1860,285.0907,285.3797,286.0871,286.9755,288.0457,288.9874,289.1851,288.948,288.0408,287.1201,286.0628,285.0632,287.082175
1861,285.107,285.2627,285.9547,287.0117,287.9856,288.9934,289.1877,288.9102,288.0893,287.174,286.1303,285.0639,287.072541666667
1862,284.9409,285.1798,286.0406,287.0669,288.1276,289.092,289.2141,289.0241,288.376,287.2878,286.1407,285.1267,287.134766666667
1863,285.0211,285.3382,286.1657,287.0772,288.2332,289.0844,289.4254,289.0944,288.3796,287.4166,286.1309,285.2946,287.221775
1864,285.1934,285.2002,286.0419,286.9553,288.0898,288.9821,289.2368,288.997,288.4041,287.2572,286.2029,285.1727,287.14445
1865,284.9224,285.157,286.065,287.4114,288.3735,289.0571,289.3558,289.1156,288.3401,287.3123,286.4123,285.3123,287.236233333333
1866,285.0755,285.3297,286.0688,287.2167,288.3885,289.1173,289.2198,288.9762,288.3842,287.2982,286.2095,285.2364,287.210066666667
1867,285.0294,285.3736,286.0787,287.2425,288.1467,289.0694,289.3248,289.0137,288.225,287.2028,286.0637,285.3361,287.175533333333
1868,284.9829,285.1795,286.0274,287.2912,288.3174,289.0278,289.3146,289.0324,288.274,287.215,285.9879,285.1333,287.148616666667
1869,284.934,285.2823,285.9692,287.1146,288.238,289.182,289.312,289.0271,288.2147,287.1483,286.1981,285.2257,287.153833333333
1870,284.9608,285.2262,285.8646,287.0269,288.1748,289.0229,289.0999,288.9344,288.27,287.3534,286.2403,285.3537,287.127325
1871,284.9505,285.4254,286.0988,287.215,288.188,288.9551,289.2308,289.1446,288.2685,287.3236,286.1997,285.2539,287.187825
1872,284.9041,285.3415,286.0244,287.2391,288.3546,288.9884,289.3304,289.1295,288.4422,287.3895,286.1206,285.2776,287.211825
1873,285.1865,285.4219,286.1874,287.1039,288.3266,289.0199,289.1909,288.9742,288.3524,287.4114,286.2142,285.1905,287.214983333333
1874,284.8962,285.4098,286.1827,287.1909,288.3355,289.0164,289.2575,288.9562,288.1807,287.0365,285.9434,285.1686,287.1312
1875,284.8647,285.2576,285.9011,287.0322,288.2793,289.0444,289.18,288.9823,288.2472,287.2052,285.9172,285.0678,287.081583333333
