year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1859,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,284.7209,-892.848258333333
1860,284.5832,284.646,285.5835,286.5201,287.7273,288.6284,288.8844,288.6743,287.9983,286.9296,285.5558,284.5675,286.691533333333
1861,284.3672,284.8176,285.6765,286.8405,287.8989,288.774,288.9472,288.7742,287.9332,286.8414,285.5871,284.8564,286.776183333333
1862,284.6227,284.8869,285.6211,286.5322,287.7666,288.7555,288.8538,288.6784,287.9288,286.7182,285.6261,284.6602,286.720875
1863,284.2337,284.8694,285.3657,286.4708,287.7386,288.6112,288.909,288.6162,287.7947,286.6927,285.4728,284.5698,286.61205
1864,284.1877,284.7433,285.5061,286.3435,287.6652,288.6499,288.9555,288.5347,287.7667,286.6522,285.4601,284.6586,286.593625
1865,284.3411,284.6273,285.5584,286.9317,287.9672,288.7692,288.9513,288.6315,287.7909,286.5786,285.5072,284.6447,286.691591666667
1866,284.2232,284.5423,285.2178,286.3972,287.5363,288.5097,288.7675,288.5274,287.612,286.5925,285.2645,284.2845,286.456241666667
1867,284.3253,284.4539,285.066,286.4996,287.6046,288.5701,288.8233,288.6654,287.7358,286.5703,285.3925,284.4852,286.516
1868,284.494,284.651,285.4337,286.6334,287.8578,288.7882,288.9865,288.5672,287.7493,286.5819,285.5304,284.587,286.655033333333
1869,284.0989,284.4568,285.4616,286.4774,287.5945,288.6251,288.9621,288.6122,287.9436,286.7478,285.5633,284.6826,286.602158333333
1870,284.4922,284.7981,285.4406,286.6344,287.7453,288.9685,288.9654,288.7431,287.9012,286.7923,285.7052,284.7603,286.74555
1871,284.4076,284.9187,285.6551,286.9384,287.8678,288.8378,289.149,288.8169,288.0763,286.7188,285.333,284.5837,286.775258333333
1872,284.3453,284.6577,285.5309,286.3963,287.656,288.6494,288.8785,288.6304,287.7539,286.7511,285.3955,284.5237,286.597391666667
1873,284.3899,284.7776,285.5526,286.6341,287.8055,288.6996,288.981,288.8416,287.9787,286.8955,285.8206,284.6984,286.756258333333
1874,284.5749,284.9135,285.7812,286.8117,287.783,288.797,289.118,288.7735,287.9236,286.7324,285.4183,284.5255,286.762716666667
1875,284.141,284.6572,285.412,286.4645,287.5887,288.5226,288.768,288.5578,287.7653,286.6183,285.3138,284.2903,286.508291666667
1876,284.2114,284.6105,285.3351,286.302,287.6334,288.5115,288.5792,288.3786,287.6345,286.6727,285.4019,284.4777,286.479041666667
1877,284.1519,284.5765,285.2661,286.3037,287.5714,288.4532,288.5653,288.4216,287.4882,286.495,285.2218,284.3644,286.406591666667
1878,284.0926,284.5295,285.3291,286.4924,287.719,288.6087,288.7109,288.4604,287.6861,286.6721,285.406,284.5061,286.517741666667
1879,284.3444,284.6247,285.4946,286.5313,287.857,288.7876,288.9345,288.5671,287.6742,286.6036,285.4313,284.7575,286.633983333333
1880,284.2711,284.6146,285.18,286.4435,287.5455,288.4575,288.7868,288.3842,287.5757,286.4652,285.2966,284.3789,286.449966666667
1881,284.0892,284.6151,285.3765,286.3622,287.5992,288.6707,288.8643,288.4749,287.7383,286.7287,285.3075,284.5184,286.52875
1882,284.3909,284.8069,285.4333,286.6032,287.6991,288.5634,288.7621,288.471,287.7252,286.5548,285.3367,284.4683,286.567908333333
1883,284.0239,284.4312,285.3127,286.4297,287.6149,288.4009,288.6691,288.4187,287.6699,286.5343,285.2466,284.3006,286.421041666667
1884,284.0629,284.4424,285.0793,286.2896,287.4822,288.4613,288.595,288.2097,287.3508,286.2931,285.2234,284.3476,286.319775
1885,284.1936,284.4512,285.3186,286.4252,287.3956,288.2536,288.4353,288.2312,287.3953,286.2185,285.151,284.332,286.316758333333
1886,284.18,284.755,285.3402,286.2816,287.4271,288.2661,288.5934,288.1767,287.4481,286.1654,285.0461,284.1573,286.31975
1887,283.8763,284.0906,284.9668,286.104,287.2295,288.2642,288.5583,288.308,287.4593,286.357,285.0621,284.3089,286.215416666667
1888,284.1489,284.6873,285.3047,286.2024,287.5235,288.5188,288.6052,288.45,287.52,286.3069,285.1507,284.1826,286.383416666667
1889,283.7853,284.1241,284.9177,286.0166,287.3216,288.318,288.5549,288.3387,287.5393,286.4596,285.2354,284.2396,286.237566666667
1890,284.0975,284.3631,285.2641,286.3491,287.3259,288.3177,288.4778,288.2981,287.394,286.1052,284.9492,284.0368,286.248208333333
1891,283.9585,284.0294,284.8771,286.0401,287.1293,288.2604,288.5408,288.285,287.4495,286.306,285.1349,284.2732,286.19035
1892,284.1663,284.3856,285.2303,286.4008,287.4853,288.4371,288.7651,288.533,287.7024,286.4586,285.182,284.5455,286.441
1893,284.3541,284.6094,285.365,286.4619,287.6294,288.593,288.7936,288.7397,287.7249,286.5395,285.36,284.4106,286.548425
1894,284.2862,284.5731,285.5757,286.5164,287.6823,288.6496,288.7889,288.6727,287.7671,286.6805,285.3359,284.3755,286.575325
1895,284.4787,284.6846,285.3092,286.5897,287.8631,288.7264,288.8021,288.6029,287.6689,286.4733,285.4687,284.4532,286.5934
1896,284.0058,284.2454,285.0455,286.348,287.5961,288.5736,288.8687,288.5725,287.7516,286.7199,285.4587,284.4886,286.472866666667
1897,284.2032,284.472,285.3332,286.3528,287.4688,288.5005,288.7991,288.4356,287.6309,286.5566,285.5307,284.42,286.475283333333
1898,284.2396,284.599,285.4554,286.4899,287.6417,288.4625,288.7096,288.4739,287.6536,286.3596,285.1844,284.1659,286.452925
1899,284.0595,284.4457,285.1074,286.2366,287.6327,288.4176,288.8828,288.4078,287.6693,286.4993,285.3515,284.4721,286.431858333333
1900,284.1819,284.4738,285.2574,286.3647,287.6553,288.5726,288.7346,288.4046,287.6821,286.5719,285.5652,284.616,286.506675
1901,284.4711,284.7378,285.4991,286.6439,287.703,288.6704,288.7833,288.6336,287.873,286.7874,285.5099,284.6138,286.660525
1902,284.377,284.6463,285.3181,286.4326,287.612,288.5421,288.7957,288.4701,287.8169,286.6599,285.3327,284.4622,286.5388
1903,284.1349,284.4908,285.2892,286.2361,287.3717,288.2304,288.5574,288.2042,287.4439,286.3889,285.1734,284.4209,286.328483333333
1904,284.3081,284.651,285.2184,286.3248,287.3412,288.4206,288.7401,288.5341,287.6582,286.5212,285.3995,284.5951,286.476025
1905,284.4193,284.8423,285.4398,286.5233,287.7768,288.7178,288.8539,288.5185,287.7947,286.5999,285.4878,284.611,286.632091666667
1906,284.4532,284.5863,285.2065,286.2213,287.5842,288.5674,288.8347,288.569,287.8192,286.6742,285.7448,284.5433,286.567008333333
1907,284.4624,284.7794,285.6128,286.7161,287.817,288.5977,288.9142,288.5301,287.6699,286.6007,285.2655,284.4198,286.615466666667
1908,284.2177,284.3076,285.0699,286.4118,287.4698,288.526,288.6085,288.3111,287.5789,286.4824,285.2146,284.3642,286.380208333333
1909,284.3034,284.5113,285.1224,286.2633,287.3669,288.4113,288.5438,288.2758,287.6631,286.4568,285.2181,284.366,286.375183333333
1910,284.3206,284.4589,285.3303,286.5254,287.5512,288.4561,288.6111,288.4073,287.543,286.533,285.375,284.3022,286.451175
1911,284.2035,284.3741,285.2179,286.2039,287.4453,288.3967,288.6208,288.4487,287.67,286.5383,285.2237,284.3794,286.393525
1912,284.1673,284.4242,285.2323,286.2859,287.4668,288.4515,288.6422,288.4681,287.443,286.1096,285.077,284.2886,286.338041666667
