year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1860,284.8307,285.037,285.7002,286.9363,287.997,288.9655,289.2939,288.9579,288.0846,287.0437,285.8503,284.8626,286.963308333333
1861,284.8946,285.1204,285.5844,286.9613,288.1245,289.0753,289.2141,289.0073,288.238,287.2453,285.9553,285.0206,287.036758333333
1862,284.822,285.148,286.0156,287.0189,288.1798,288.9871,289.2794,288.963,288.2921,287.1593,286.2027,285.2128,287.106725
1863,284.8153,285.293,285.9711,287.1073,288.2954,289.0434,289.1958,288.9934,288.229,287.2067,285.9186,284.9878,287.088066666667
1864,284.9018,284.9931,285.6764,286.9042,288.094,288.9521,289.0933,288.8978,288.0784,286.9061,286.0236,284.9671,286.957325
1865,284.7498,285.0505,285.8702,286.7505,287.856,288.7154,288.829,288.653,287.9195,286.8205,285.6309,284.8579,286.8086
1866,284.8031,285.0853,285.6805,286.8197,288.0967,288.8258,288.9364,288.6507,287.8723,286.8566,285.7575,284.8552,286.853316666667
1867,284.5709,284.8925,285.6477,286.7219,287.8726,288.6899,288.9245,288.7806,287.8731,287.0114,285.779,284.9603,286.810366666667
1868,284.4507,284.6167,285.4754,286.6547,287.7102,288.6085,288.8465,288.5963,287.7962,286.686,285.6526,284.7374,286.6526
1869,284.4912,284.8593,285.6343,286.5708,287.7957,288.7719,288.8784,288.5967,287.9395,286.8585,285.6382,284.9323,286.747233333333
1870,284.7491,284.9029,285.557,286.6212,287.7354,288.676,288.8981,288.7308,287.9213,287.0433,285.786,284.7793,286.783366666667
1871,284.5392,284.8093,285.803,287.0134,288.0511,288.8944,289.1939,288.8091,287.9031,286.9892,285.7914,284.9661,286.896933333333
1872,284.5509,284.9464,285.8597,286.8589,288.0142,288.9191,289.0234,288.7777,288.1263,287.137,285.8853,284.8288,286.910641666667
1873,284.6826,285.0436,285.7461,286.8619,287.7883,288.662,288.8503,288.7797,287.8645,286.9816,285.7795,284.8904,286.827541666667
1874,284.6212,285.0042,285.6634,286.6866,287.8428,288.7783,288.9766,288.7899,287.9174,286.8671,285.8186,284.7303,286.808033333333
1875,284.5443,285.1346,285.6774,286.8221,287.8754,288.8998,289.0425,288.7227,288.0202,286.7823,285.7382,284.6432,286.825225
