year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1859,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,284.9166,-892.83195
1860,284.5294,284.9464,285.8675,286.8242,287.7321,288.5763,288.8923,288.75,288.0835,287.0434,285.6449,284.8247,286.809558333333
1861,284.6319,285.0472,285.8028,286.8679,287.8321,288.9234,289.087,288.8034,288.0667,287.0253,285.8745,285.054,286.918016666667
1862,284.5368,284.8217,285.6295,286.626,287.8645,288.7103,288.8017,288.5671,287.8582,286.8329,285.5186,284.679,286.703858333333
1863,284.458,284.8785,285.496,286.6336,287.8955,288.7134,288.9243,288.616,287.8341,286.7844,285.5664,284.537,286.694766666667
1864,284.39,284.5977,285.4191,286.3941,287.7714,288.638,288.6556,288.3952,287.8107,286.797,285.5464,284.7797,286.599575
1865,284.4648,284.7538,285.5349,286.6024,287.6601,288.5271,288.7375,288.5157,287.6525,286.6225,285.4882,284.6017,286.596766666667
1866,284.1647,284.6249,285.3145,286.4527,287.6269,288.5615,288.8185,288.4806,287.8425,286.7998,285.7123,284.749,286.595658333333
1867,284.469,284.5883,285.4829,286.4496,287.6637,288.6788,288.8438,288.5741,287.8151,286.942,285.6681,284.7606,286.661333333333
1868,284.5691,284.8435,285.6387,286.6023,287.9431,288.6771,288.8084,288.643,287.9873,287.0764,286.04,284.8847,286.809466666667
1869,284.6229,285.2556,285.808,286.9887,288.0964,288.7648,289.0228,288.7193,287.916,286.8148,285.6416,284.6418,286.857725
1870,284.2368,284.7548,285.4283,286.5309,287.7801,288.733,288.9371,288.7035,287.9391,286.8802,285.6809,284.6436,286.687358333333
1871,284.4857,284.8153,285.6827,286.7175,288.0489,288.6829,288.8813,288.8179,287.9399,286.782,285.6263,284.8237,286.775341666667
1872,284.3436,284.8751,285.6518,286.7329,288.0129,288.9382,289.0862,288.9042,288.054,286.9793,285.7403,284.7672,286.840475
1873,284.7099,284.9651,285.5062,286.6749,287.7083,288.7529,288.9471,288.6557,287.8616,286.7669,285.6036,284.7837,286.744658333333
1874,284.2395,284.6741,285.6462,286.7198,287.7796,288.6241,288.9483,288.6595,287.9379,286.8525,285.6631,284.684,286.702383333333
1875,284.4927,284.8174,285.4514,286.7906,287.8444,288.6965,288.8861,288.6581,287.9443,286.994,285.8329,284.9096,286.7765
1876,284.7112,284.8083,285.475,286.8811,287.9881,288.808,288.9746,288.7246,288.083,287.0025,286.058,285.194,286.892366666667
1877,284.7747,285.1562,285.9467,286.933,288.2712,288.8635,289.0596,288.7355,288.0882,287.0129,285.9277,284.8793,286.970708333333
1878,284.697,285.0764,285.7308,286.8311,287.8027,288.7339,288.9058,288.7163,287.9606,286.8288,285.6084,284.7292,286.80175
1879,284.3784,284.4878,285.6272,286.6172,287.8133,288.6242,288.843,288.4747,287.6939,286.5496,285.4572,284.5726,286.594925
1880,284.3135,284.5563,285.4135,286.6569,287.7392,288.5494,288.8836,288.5358,287.8096,286.7051,285.4722,284.574,286.600758333333
1881,284.3701,284.7152,285.508,286.6455,287.8041,288.8692,288.9039,288.8394,287.9968,286.9951,285.9152,284.7711,286.7778
1882,284.5002,284.9939,285.7777,286.9292,288.1993,289.0342,289.1541,289.0029,288.1371,287.0614,285.9306,285.062,286.981883333333
1883,284.8777,285.2046,285.7503,286.8847,287.904,288.7328,289.0529,288.7144,288.1176,286.8897,285.546,284.8011,286.872983333333
1884,284.4812,284.6302,285.2837,286.5959,287.5778,288.528,288.6631,288.4424,287.6666,286.6943,285.6074,284.6143,286.565408333333
1885,284.4836,284.7413,285.5334,286.5003,287.6162,288.5874,288.7696,288.554,287.7818,286.8326,285.5497,284.6699,286.634983333333
1886,284.4085,284.6835,285.5024,286.6414,287.7474,288.5733,288.8512,288.6659,287.8174,286.5639,285.5141,284.4933,286.621858333333
1887,284.1975,284.5351,285.1814,286.1845,287.5327,288.5158,288.5635,288.3362,287.612,286.5383,285.4093,284.4114,286.418141666667
1888,284.422,284.7232,285.3079,286.5899,287.7322,288.5674,288.7751,288.6705,287.9138,286.7146,285.5211,284.6341,286.630983333333
1889,284.5468,284.7823,285.6295,286.5802,287.7747,288.6307,288.7422,288.403,287.934,286.9246,285.8441,284.833,286.718758333333
1890,284.7374,284.7943,285.6498,286.6441,287.8336,288.7352,288.836,288.6588,287.992,286.9364,285.7614,284.9648,286.795316666667
1891,284.5448,284.9935,285.8065,286.873,287.8064,288.7713,288.9293,288.6166,287.8477,286.8748,285.6425,284.6936,286.783333333333
1892,284.5441,284.748,285.4113,286.4775,287.7733,288.7173,288.6758,288.4675,287.6879,286.7397,285.5927,284.6566,286.624308333333
1893,284.172,284.761,285.4626,286.4481,287.5801,288.254,288.5269,288.2963,287.5506,286.5992,285.3883,284.4026,286.453475
1894,284.2113,284.3802,285.123,286.2796,287.4756,288.491,288.7705,288.4782,287.6725,286.66,285.5553,284.6408,286.478166666667
1895,284.2242,284.6982,285.4077,286.4494,287.5487,288.4411,288.6963,288.489,287.9178,286.8459,285.8007,284.739,286.604833333333
1896,284.6416,284.8885,285.7224,286.7181,287.9698,288.7641,289.0205,288.7584,287.9864,286.8944,285.7599,284.884,286.834008333333
1897,284.607,285.0464,285.8434,286.924,287.8693,288.7349,288.8347,288.6847,287.7026,286.63,285.5542,284.5092,286.745033333333
1898,284.4562,284.6535,285.4601,286.5559,287.5585,288.577,288.82,288.5262,287.8519,286.8796,285.5398,284.7252,286.633658333333
1899,284.56,284.8873,285.3358,286.5703,287.7744,288.6998,288.9243,288.7174,287.9543,286.9609,285.6517,284.7807,286.734741666667
1900,284.5294,284.8192,285.5166,286.5973,287.804,288.6348,288.8387,288.6848,287.7801,286.7653,285.5921,284.8415,286.700316666667
1901,284.6872,284.9167,285.7264,286.6639,287.8082,288.6878,289.0374,288.7449,287.94,286.9073,285.6546,284.7269,286.791775
1902,284.3805,284.7437,285.7078,286.6027,287.9331,288.7127,289.1525,288.5634,287.9205,286.8884,285.8271,284.842,286.772866666667
1903,284.785,284.9883,285.6005,286.5795,287.7183,288.5627,288.8806,288.6266,287.7713,286.6403,285.5611,284.58,286.691183333333
1904,284.3217,284.6859,285.5112,286.7278,287.8099,288.6589,288.7829,288.6808,287.8544,286.7581,285.7477,284.7875,286.6939
1905,284.5265,284.8282,285.7136,286.8748,288.0461,288.7206,289.0619,288.7365,287.9927,286.9168,285.8179,284.7579,286.832791666667
1906,284.5584,284.8038,285.7941,286.7999,287.9022,288.8093,288.9748,288.8991,287.9151,286.9351,285.7651,284.7429,286.824983333333
1907,284.5621,284.978,285.8039,286.7227,287.8684,288.7007,288.9135,288.6596,287.8973,286.8237,285.6531,284.712,286.774583333333
1908,284.5362,284.7626,285.4577,286.7208,287.868,288.7272,288.9795,288.6969,287.9125,286.8215,285.5063,284.583,286.71435
1909,284.1047,284.4258,285.285,286.5038,287.7916,288.6793,288.9558,288.6697,287.814,286.6781,285.3936,284.5321,286.569458333333
1910,284.2521,284.4934,285.4039,286.4848,287.6731,288.7346,289.0668,288.6872,287.885,286.9073,285.67,284.6113,286.655791666667
1911,284.4815,284.6029,285.4033,286.6781,287.9241,288.7704,288.8725,288.6787,287.8085,286.5882,285.2575,284.5033,286.63075
1912,284.2767,284.4662,285.2515,286.4353,287.7635,288.6154,288.688,288.3458,287.6568,286.5028,285.2133,284.3948,286.467508333333
1913,284.387,284.5977,285.4335,286.4812,287.6281,288.5504,288.7877,288.7433,287.9662,286.8647,285.6879,284.7657,286.657783333333
1914,284.6374,284.9554,285.6786,286.6663,287.8863,288.7906,289.0739,288.6069,287.8794,286.8559,285.781,284.6447,286.788033333333
1915,284.3117,284.7962,285.5112,286.4867,287.8015,288.6472,288.9932,288.7583,287.951,287.0745,285.8856,284.7163,286.74445
1916,284.3222,284.7698,285.7238,286.6794,287.9777,288.9189,289.1386,288.8311,288.1562,286.9609,285.7483,284.9322,286.846591666667
1917,284.8201,285.3092,286.0569,286.9925,288.0138,288.9005,289.0713,288.8015,288.0677,286.9219,285.7357,284.9333,286.9687
1918,284.7908,284.952,285.6134,286.8379,288.073,288.9973,289.1169,288.9477,288.1726,287.1707,285.9355,284.983,286.9659
1919,284.804,284.9461,285.9074,286.8828,288.0494,288.8126,289.1711,288.8537,288.1318,286.9978,285.8749,284.9872,286.951566666667
1920,284.6737,284.8916,285.7252,286.7863,287.8577,288.7969,289.0959,288.8052,288.1631,287.0984,285.9583,285.0478,286.908341666667
1921,284.6539,284.9464,285.5562,286.809,288.071,288.8737,289.0153,288.7276,287.9384,286.9807,285.7488,284.8186,286.844966666667
1922,284.6268,284.9825,285.5597,286.7778,287.8571,288.7478,288.9911,288.5663,287.8513,286.7826,285.5774,284.7621,286.756875
1923,284.5985,284.6823,285.5233,286.6046,287.8484,288.6696,288.9275,288.6624,287.9652,286.9405,285.8546,285.0056,286.773541666667
1924,284.9581,285.1124,285.8908,286.7605,288.0652,288.8852,289.0779,288.8862,287.9929,287.1156,285.8717,284.8439,286.955033333333
1925,284.6562,284.9257,285.7332,286.7182,287.86,288.8568,289.0921,288.8165,287.8441,286.8509,285.5833,284.9193,286.821358333333
1926,284.6028,285.0107,285.7296,286.6805,287.8176,288.8333,288.9438,288.6225,287.8999,286.5939,285.6993,284.8705,286.775366666667
1927,284.6412,284.7322,285.4966,286.644,287.7629,288.7814,288.903,288.7213,288.0921,286.8685,285.7973,284.844,286.773708333333
1928,284.7508,285.1422,285.6087,286.7703,287.7612,288.6736,288.8514,288.7064,287.999,286.9114,285.7895,284.7462,286.809225
1929,284.2802,284.7948,285.5417,286.5038,287.8242,288.7621,289.0923,288.8104,287.9902,287.1234,285.7987,284.8549,286.781391666667
1930,284.5892,284.8557,285.834,286.8435,287.9595,288.6866,288.8745,288.6571,287.9849,286.8416,285.7361,284.6556,286.793191666667
1931,284.6874,284.991,285.7073,286.7268,287.8695,288.6524,288.9653,288.7793,287.9618,286.9738,285.7108,284.7259,286.812608333333
