year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,282.9613,283.2702,284.0373,285.0878,285.9254,286.6228,287.1056,287.1119,286.312,285.0873,283.9811,283.2055,285.059016666667
1851,283.1771,283.5197,284.3862,285.3594,286.1809,286.9857,287.2683,287.3246,286.4292,285.1731,284.0145,283.1988,285.251458333333
1852,283.4301,283.6787,284.5433,285.3307,286.3036,287.0634,287.4967,287.3018,286.4354,285.2792,284.2161,283.3946,285.3728
1853,283.4158,283.8116,284.5717,285.4301,286.2496,286.9586,287.3442,287.1107,286.3708,284.9744,283.7347,283.1008,285.256083333333
1854,283.108,283.4023,284.2379,285.0689,286.0543,286.8082,287.3894,287.3286,286.3566,285.181,283.9599,283.2566,285.179308333333
1855,283.2335,283.8013,284.5779,285.4028,286.3044,287.0177,287.4323,287.2308,286.2065,285.1696,284.0339,283.2717,285.306866666667
1856,283.0567,283.3728,284.2059,285.0205,285.8249,286.6037,287.0447,286.8718,286.144,284.8535,283.664,283.1541,284.984716666667
1857,282.88,283.0666,284.1494,284.9412,285.861,286.6778,287.0371,286.9623,286.2675,285.0625,283.8612,283.0554,284.985166666667
1858,282.987,283.5362,284.2779,285.3176,286.171,286.84,287.3409,287.254,286.4051,285.2393,283.8811,283.1238,285.197825
1859,283.0316,283.3271,284.0773,285.0995,286.0002,286.7891,287.1153,286.9858,286.2607,284.9289,283.6542,283.078,285.028975
1860,282.8722,283.2556,284.1762,285.2453,286.0692,286.6912,287.0381,287.0891,286.2931,284.8088,283.6512,282.9851,285.014591666667
1861,282.9226,283.1913,283.9451,284.9035,285.849,286.6897,286.9968,286.9861,286.2476,284.8497,283.9114,282.967,284.954983333333
1862,282.9221,283.2139,284.2825,285.1599,286.1092,286.8975,287.2067,287.1978,286.2021,284.9015,283.8302,283.1916,285.092916666667
1863,283.1229,283.424,284.2889,285.1863,286.2138,286.9622,287.3702,287.284,286.3997,285.0896,284.036,283.3596,285.2281
1864,283.4172,283.7679,284.5666,285.5905,286.4795,287.1715,287.6682,287.6013,286.7055,285.4352,284.0291,283.3911,285.4853
1865,283.3116,283.7113,284.4539,285.337,286.181,286.8892,287.2296,287.0718,286.4188,284.9184,283.7172,282.9503,285.182508333333
1866,282.9157,283.3192,284.0917,285.072,286.0581,286.9185,287.3801,287.1754,286.2742,285.1144,284.0686,283.3198,285.142308333333
1867,282.9782,283.4626,284.3203,285.295,286.174,286.9784,287.3498,287.1291,286.3334,285.1795,283.7942,283.1897,285.182016666667
1868,282.9948,283.6365,284.0534,285.0016,286.1251,286.9335,287.3244,287.262,286.4683,285.2162,284.1128,283.1939,285.193541666667
1869,283.4459,283.8953,284.5546,285.4172,286.2692,287.1473,287.4795,287.3789,286.4827,285.1481,283.8774,283.0303,285.343866666667
1870,283.1113,283.518,284.5031,285.4459,286.3655,287.1835,287.5279,287.3173,286.4117,285.028,283.7206,283.046,285.2649
1871,282.9641,283.5137,284.3161,285.2299,286.0837,286.8145,287.2845,287.2336,286.3059,284.8542,283.7291,283.2088,285.128175
1872,283.0621,283.1554,284.0797,285.1656,285.9603,286.7234,287.1889,287.0308,286.2603,284.7054,283.74,283.0102,285.006841666667
1873,282.9901,283.2796,284.1241,285.2139,286.2238,287.0228,287.4227,287.2583,286.401,285.0102,283.9951,283.3398,285.190116666667
1874,282.9533,283.4575,284.1521,285.1371,285.9936,286.8083,287.1656,287.0744,286.2743,284.9163,283.8174,283.2018,285.079308333333
1875,283.0169,283.4957,284.3174,285.357,286.311,287.0149,287.5106,287.5024,286.5474,285.3447,284.1245,283.3904,285.327741666667
1876,283.5007,284.0168,284.5841,285.5623,286.4034,287.1164,287.5567,287.4609,286.569,285.0933,283.8734,283.1342,285.405933333333
1877,283.2757,283.6752,284.4984,285.3665,286.1392,286.9264,287.3024,287.2273,286.3845,285.1898,283.9039,283.3373,285.268883333333
1878,283.1465,283.6658,284.4662,285.4626,286.284,287.0306,287.4798,287.2784,286.3643,285.1997,284.1113,283.0921,285.298441666667
1879,283.2508,283.701,284.4234,285.4097,286.2569,287.0831,287.4128,287.1339,286.1896,285.0333,283.9146,283.1278,285.244741666667
1880,283.1435,283.7003,284.5418,285.4048,286.2973,287.074,287.585,287.4027,286.5081,285.3275,284.167,283.4188,285.3809
1881,283.5308,283.8483,284.8205,285.6812,286.5548,287.3405,287.8486,287.6802,286.9034,285.586,284.4306,283.734,285.663241666667
1882,283.5768,283.9567,284.8776,285.6211,286.518,287.4013,287.7629,287.6863,286.8235,285.4332,284.3669,283.4061,285.6192
1883,283.1653,283.5127,284.3032,285.3033,286.1808,286.9542,287.3469,287.2129,286.3438,285.0211,283.8519,283.1856,285.198475
1884,282.9938,283.4261,284.079,285.086,285.9713,286.6437,286.9737,286.9246,285.9997,284.7161,283.4806,282.7286,284.9186
1885,282.8428,283.1908,283.9482,284.9125,285.7792,286.6481,286.9389,286.9128,286.1666,284.8528,283.7426,283.036,284.914275
1886,282.9977,283.5616,284.0514,285.1386,286.0274,286.7535,287.2235,287.1003,286.2188,285.0595,283.7667,283.0833,285.081858333333
1887,283.074,283.3391,284.2516,285.1254,285.9195,286.7813,287.1687,287.1013,286.2449,285.0261,283.9543,283.1492,285.094616666667
1888,283.0223,283.5254,284.2537,285.2527,286.1172,286.856,287.3759,287.1324,286.3077,284.8582,283.7647,283.019,285.123766666667
1889,283.2262,283.4678,284.2518,285.1257,285.9469,286.7412,287.0615,287.0606,286.2126,285.0181,283.876,283.0786,285.088916666667
1890,283.1575,283.2461,284.185,285.0262,285.924,286.7827,287.1828,287.0484,286.2065,284.7983,283.6836,282.9539,285.01625
1891,282.8145,283.3288,284.1463,285.0081,286.0298,286.8357,287.1959,286.9065,286.2836,284.9797,283.7032,283.0717,285.025316666667
1892,282.6479,283.2786,284.0964,285.1307,285.9746,286.8116,287.3055,287.0729,286.169,284.8896,283.7861,283.1125,285.02295
1893,283.0716,283.4967,284.0898,285.0779,285.9207,286.7521,287.2221,287.1137,286.2728,285.0798,283.8629,283.3557,285.10965
1894,283.3089,283.6787,284.4206,285.4414,286.2339,286.9449,287.3462,287.1861,286.2865,285.1381,283.9779,283.2139,285.264758333333
1895,283.2066,283.6125,284.4251,285.3731,286.2842,287.0151,287.4998,287.3512,286.4505,285.1332,283.9546,283.2051,285.292583333333
1896,283.3463,283.584,284.1096,285.3652,286.2138,287.0771,287.3775,287.2436,286.4337,285.1714,284.1503,283.3468,285.284941666667
1897,283.3112,283.738,284.4057,285.3443,286.0866,286.8187,287.3853,287.2251,286.2424,284.9758,283.7535,282.985,285.1893
1898,283.0088,283.2835,284.2929,285.3556,286.1737,286.8977,287.2381,287.0529,286.3501,285.1405,283.9591,283.1499,285.158566666667
1899,282.9938,283.3311,284.2074,285.3922,286.3368,287.0879,287.4619,287.2334,286.4749,285.1395,284.0441,283.1682,285.239266666667
1900,282.7514,283.4284,284.3084,285.2419,286.1314,286.9205,287.2226,287.2244,286.3837,284.9756,283.7664,283.207,285.130141666667
1901,283.2959,283.5764,284.3123,285.2072,286.1214,287.0154,287.3334,287.2068,286.5059,285.1968,283.9211,283.3169,285.250791666667
1902,283.4761,283.8391,284.6248,285.3513,286.2295,286.9859,287.3005,287.1667,286.3535,284.9991,283.8217,283.0141,285.263525
1903,282.9265,283.3705,284.1358,285.0746,286.0126,286.7823,287.2576,287.2092,286.443,285.0963,283.8064,283.0894,285.10035
1904,283.3974,283.7173,284.477,285.4494,286.0371,286.8747,287.3496,287.2455,286.2789,285.0691,283.7346,283.1399,285.230875
1905,283.0621,283.4948,284.513,285.455,286.2742,286.9581,287.4765,287.206,286.3981,285.2151,283.9662,283.382,285.283425
1906,283.2225,283.751,284.317,285.3354,286.1339,286.8083,287.1891,287.1346,286.3561,285.0792,283.9021,283.0065,285.186308333333
1907,283.2162,283.6116,284.3264,285.4228,286.1621,286.9577,287.3019,287.112,286.2986,285.2045,283.8227,283.2761,285.22605
1908,283.3256,283.7497,284.1733,285.3563,286.2601,286.9498,287.4464,287.3009,286.4172,285.23,284.0596,283.343,285.300991666667
1909,283.3753,283.7326,284.7025,285.5573,286.4454,287.2719,287.6403,287.5148,286.7223,285.2925,284.0995,283.2296,285.465333333333
1910,283.4119,283.7653,284.5066,285.4254,286.1736,286.961,287.4656,287.3404,286.5841,285.3718,284.0464,283.3264,285.364875
1911,283.5058,283.6202,284.4736,285.5088,286.2937,287.1044,287.6602,287.4354,286.6711,285.3743,284.1887,283.4573,285.441125
1912,283.7289,284.2332,284.8656,285.5064,286.4149,287.225,287.6842,287.4835,286.704,285.3813,284.1835,283.3552,285.563808333333
1913,283.2121,283.4467,284.3787,285.5126,286.4273,287.1776,287.454,287.2668,286.3853,285.2296,283.991,283.3328,285.317875
1914,283.2297,283.6316,284.4009,285.3734,286.1738,287.1258,287.5138,287.3237,286.5701,285.2617,284.0174,283.3242,285.328841666667
1915,283.3833,283.8575,284.8352,285.6202,286.5263,287.2965,287.73,287.6395,286.7409,285.4128,284.0313,283.1704,285.520325
1916,283.1335,283.4666,284.3869,285.3147,286.206,286.9546,287.4395,287.2031,286.6024,285.2525,284.1096,283.4278,285.291433333333
1917,283.2321,283.7013,284.4257,285.4563,286.3099,287.2095,287.5886,287.5504,286.5789,285.1663,284.1123,283.3611,285.391033333333
1918,283.353,283.8294,284.5171,285.3889,286.2408,287.1762,287.4745,287.332,286.6427,285.0608,283.8614,283.2119,285.340725
1919,283.2502,283.6695,284.2103,285.2329,286.2241,287.0252,287.3677,287.3144,286.4995,285.1575,284.0416,283.3139,285.275566666667
1920,283.3412,283.8453,284.5019,285.5276,286.3456,287.1838,287.6808,287.4445,286.7118,285.3612,284.1519,283.498,285.466133333333
1921,283.6294,284.1527,284.876,285.7191,286.5782,287.3685,287.7162,287.5982,287.0285,285.7456,284.5046,283.8012,285.726516666667
1922,283.508,284.006,284.8519,285.7978,286.5075,287.358,287.9181,287.592,286.7855,285.4774,284.4398,283.6356,285.656466666667
1923,283.625,284.0792,284.9531,285.7491,286.6713,287.3034,287.7903,287.758,286.8848,285.459,284.3616,283.528,285.680233333333
1924,283.4873,283.9586,284.5786,285.4677,286.3536,287.1756,287.674,287.5791,286.7279,285.5186,284.2566,283.6746,285.537683333333
1925,283.5164,283.9157,284.739,285.7308,286.5082,287.3388,287.7442,287.6717,286.7673,285.4679,284.3131,283.6052,285.609858333333
1926,283.6405,283.9496,284.7642,285.5404,286.5485,287.2537,287.7331,287.5103,286.6046,285.2949,284.1046,283.415,285.52995
1927,283.6272,284.0444,284.5923,285.5738,286.4128,287.3366,287.7255,287.5772,286.7152,285.5342,284.1813,283.4905,285.567583333333
1928,283.4752,283.8126,284.6057,285.5538,286.4664,287.1625,287.5887,287.3969,286.6817,285.4185,284.2017,283.3915,285.4796
1929,283.5576,284.0155,284.6295,285.4759,286.2752,287.1451,287.505,287.4255,286.6026,285.206,284.1357,283.449,285.451883333333
1930,283.5362,283.962,284.6483,285.4603,286.267,287.1357,287.5411,287.5737,286.7173,285.3501,284.3612,283.506,285.504908333333
1931,283.6611,284.0042,284.608,285.4899,286.3669,287.0141,287.4836,287.4654,286.6641,285.3358,284.184,283.3651,285.470183333333
1932,283.6146,283.985,284.8062,285.6867,286.4602,287.2578,287.5227,287.3844,286.5907,285.2838,284.1288,283.5108,285.519308333333
1933,283.2857,283.8378,284.6673,285.6136,286.7061,287.4555,287.8196,287.6841,286.9696,285.7476,284.393,283.6637,285.653633333333
1934,283.7298,284.0791,284.6295,285.6176,286.5274,287.3387,287.5952,287.4871,286.6787,285.3469,284.2672,283.4023,285.558291666667
1935,283.364,283.7795,284.5954,285.4227,286.2858,287.0352,287.4612,287.3439,286.6728,285.393,284.0839,283.4857,285.410258333333
1936,283.5067,283.6834,284.4225,285.5421,286.4678,287.2581,287.8733,287.632,286.8235,285.4518,284.2798,283.7246,285.555466666667
1937,283.6469,283.9866,284.818,285.8284,286.7601,287.6766,287.9874,287.7462,286.8987,285.7159,284.5919,283.8335,285.79085
1938,283.692,284.1034,284.7591,285.7688,286.5965,287.4825,287.9246,287.5966,286.8901,285.6007,284.354,283.7463,285.70955
1939,283.6047,283.9249,284.7961,285.737,286.5721,287.3232,287.7839,287.5605,286.716,285.3348,284.2126,283.5265,285.591025
1940,283.4327,283.7871,284.6402,285.5219,286.3535,287.2174,287.6171,287.6461,286.7704,285.3172,284.2137,283.5768,285.507841666667
1941,283.5305,283.7549,284.5439,285.6256,286.4892,287.2399,287.6743,287.5021,286.8992,285.6543,284.3792,283.4518,285.562075
1942,283.4083,283.9214,284.5932,285.6,286.3769,287.1407,287.4935,287.5456,286.6893,285.4549,284.3214,283.4963,285.503458333333
1943,283.3458,283.8822,284.643,285.497,286.4076,287.1854,287.7422,287.5244,286.7066,285.3065,284.2874,283.6255,285.5128
1944,283.4431,283.875,284.6412,285.4183,286.3376,287.0387,287.5455,287.3554,286.626,285.249,284.021,283.1508,285.3918
1945,283.3595,283.7617,284.6142,285.4932,286.2744,287.1599,287.6095,287.3989,286.6813,285.4072,284.3551,283.671,285.482158333333
1946,283.35,283.9431,284.7722,285.6982,286.5845,287.3422,287.8629,287.6203,286.8194,285.4799,284.289,283.634,285.616308333333
1947,283.6744,284.1745,284.8895,285.7282,286.4885,287.2697,287.7694,287.5747,286.784,285.3775,284.3449,283.6479,285.6436
1948,283.5782,283.9762,284.7919,285.7798,286.5115,287.4776,287.6984,287.6939,286.9078,285.6766,284.3745,283.612,285.6732
1949,283.5658,283.7933,284.7695,285.858,286.614,287.4456,287.7658,287.7807,286.9139,285.6256,284.4568,283.6701,285.688258333333
1950,283.5621,283.9691,284.6529,285.6842,286.513,287.2697,287.7773,287.6656,286.6767,285.592,284.4606,283.7937,285.634741666667
1951,283.6606,283.923,284.7382,285.5538,286.4738,287.3037,287.6409,287.5225,286.8691,285.6046,284.2738,283.6132,285.5981
