year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,,,,,,,,,
,,,,,-1.875,,,-90,90,,,,-0.625
1850,283.0654,283.5154,284.2224,285.2437,286.1422,286.8502,287.2997,287.2141,286.4256,285.167,283.9741,283.2462,285.197166666667
1851,283.175,283.5075,284.3094,285.2184,286.1121,286.9332,287.2962,287.198,286.3845,285.0777,283.9416,283.2312,285.198733333333
1852,283.2618,283.5988,284.4187,285.3152,286.2018,286.986,287.3981,287.2741,286.4639,285.2231,284.0229,283.3285,285.291075
1853,283.3076,283.6134,284.4991,285.3728,286.2483,287.0003,287.378,287.2536,286.4747,285.1205,283.8841,283.1407,285.274425
1854,283.1427,283.6103,284.3956,285.3124,286.2095,286.9419,287.4351,287.3362,286.4476,285.2379,283.9499,283.1982,285.268108333333
1855,283.1542,283.5755,284.4123,285.3497,286.2009,286.9207,287.3737,287.1861,286.2739,285.0594,283.8825,283.1137,285.20855
1856,283.0672,283.4296,284.2575,285.1465,285.9397,286.708,287.1305,286.9913,286.1724,284.8995,283.7949,283.0793,285.051366666667
1857,282.9127,283.3681,284.2289,285.0656,286.0061,286.7753,287.1527,287.0486,286.2052,284.9971,283.7442,282.9938,285.041525
1858,282.9064,283.4494,284.1956,285.2086,286.0801,286.845,287.2367,287.078,286.314,285.0732,283.8771,283.1185,285.115216666667
1859,283.0902,283.3769,284.1681,285.2038,286.0746,286.8601,287.2563,287.1043,286.3306,285.0892,283.7726,283.0612,285.115658333333
1860,283.0201,283.4759,284.2539,285.2557,286.1137,286.8375,287.2279,287.1674,286.3725,284.9867,283.8145,283.1351,285.138408333333
1861,283.0937,283.4849,284.1934,285.1521,286.1433,286.8843,287.2693,287.17,286.3926,284.9767,283.8948,283.0386,285.141141666667
1862,283.0818,283.4743,284.4145,285.3355,286.192,287.0021,287.36,287.1937,286.3465,285.074,283.9142,283.2431,285.219308333333
1863,283.2526,283.5546,284.4516,285.2375,286.1989,286.9633,287.3772,287.234,286.4296,285.1499,283.9854,283.2718,285.258866666667
1864,283.2393,283.6145,284.3922,285.3709,286.2038,286.9488,287.3762,287.3257,286.5023,285.2081,283.9799,283.2826,285.287025
1865,283.2534,283.632,284.3865,285.4109,286.2887,287.091,287.4553,287.331,286.5491,285.1542,283.9809,283.2696,285.316883333333
1866,283.2594,283.6453,284.391,285.3467,286.197,286.9919,287.4421,287.3029,286.4897,285.1962,284.0422,283.2962,285.30005
1867,283.1547,283.5246,284.3504,285.3009,286.1674,286.9059,287.3187,287.1327,286.3661,285.0981,283.7957,283.2441,285.196608333333
1868,283.1034,283.582,284.2534,285.2151,286.2059,286.9894,287.4392,287.2969,286.4945,285.1738,284.0433,283.2526,285.254125
1869,283.1933,283.684,284.4283,285.3611,286.3131,287.1458,287.5242,287.4173,286.5055,285.2718,284.0239,283.3021,285.347533333333
1870,283.1407,283.6451,284.4622,285.3813,286.3249,287.1276,287.4999,287.3445,286.4667,285.1678,283.9472,283.2067,285.30955
1871,283.1492,283.6503,284.4226,285.3444,286.2625,287.0319,287.4673,287.3032,286.5006,285.1804,283.9372,283.3122,285.296816666667
1872,283.1394,283.4931,284.3207,285.3898,286.2133,287.028,287.3817,287.2396,286.4663,285.1147,283.9669,283.2452,285.249891666667
1873,283.2046,283.6385,284.3619,285.3315,286.2569,287.0709,287.4871,287.382,286.5685,285.2374,283.9515,283.314,285.317066666667
1874,283.1562,283.5554,284.3647,285.3661,286.2217,286.9687,287.4606,287.3145,286.544,285.2649,284.0409,283.4727,285.310866666667
1875,283.3199,283.7696,284.5287,285.4902,286.4107,287.1811,287.5745,287.4567,286.6514,285.3708,284.1369,283.4938,285.448691666667
1876,283.3795,283.7795,284.4928,285.5058,286.3741,287.1131,287.5364,287.3664,286.5449,285.2528,283.9897,283.3772,285.392683333333
1877,283.2179,283.6523,284.41,285.3915,286.1885,287.0286,287.4296,287.3071,286.477,285.1868,284.0202,283.3689,285.306533333333
1878,283.3997,283.7355,284.544,285.5482,286.4103,287.1621,287.5539,287.3993,286.5905,285.3201,284.0977,283.2902,285.420958333333
1879,283.3529,283.799,284.4655,285.4232,286.3162,287.1302,287.5254,287.3481,286.5016,285.2237,284.0264,283.2153,285.360625
1880,283.2135,283.6436,284.4135,285.3393,286.27,287.0868,287.4894,287.3487,286.4962,285.2641,284.0676,283.3841,285.334733333333
1881,283.3928,283.7966,284.6367,285.5904,286.4844,287.2412,287.7121,287.58,286.7111,285.4291,284.253,283.542,285.530783333333
1882,283.4439,283.7951,284.5967,285.5536,286.4138,287.2227,287.6384,287.5017,286.6951,285.3853,284.2261,283.3815,285.487825
1883,283.2434,283.7012,284.4828,285.4118,286.2782,287.0416,287.4044,287.2936,286.4378,285.1454,283.9254,283.1769,285.295208333333
