year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.1555,284.5667,285.1792,286.1595,286.9676,287.8032,288.1672,288.1037,287.3047,286.0524,284.7367,283.9376,286.0945
1851,284.0665,284.5269,285.3644,286.1361,286.9115,287.7279,288.0391,287.9636,287.167,285.9987,285.0056,284.1945,286.091816666667
1852,284.092,284.5211,285.1759,286.0656,287.0295,287.7863,288.1334,287.9715,287.2776,286.2014,284.9651,284.2085,286.118991666667
1853,284.3496,284.7267,285.4321,286.4536,287.1736,287.9817,288.3455,288.2134,287.5582,286.3098,285.0908,284.3233,286.329858333333
1854,284.3863,284.8552,285.5922,286.1436,287.1022,287.9035,288.365,288.2163,287.4517,286.1695,285.2722,284.3914,286.320758333333
1855,284.1821,284.5931,285.4536,286.3406,287.1642,287.8589,288.1573,288.075,287.43,286.1277,284.8662,284.1709,286.201633333333
1856,284.1005,284.397,285.0965,286.1412,287.0753,287.7802,288.1288,288.0144,287.3422,286.0298,284.7914,284.0506,286.078991666667
1857,284.0296,284.4964,285.2781,285.9382,286.9318,287.7174,288.0879,287.9046,287.1619,285.8171,284.7928,283.9831,286.011575
1858,284.1973,284.4388,285.2427,286.0511,287.0738,287.868,288.152,288.0008,287.3222,286.0627,284.8048,284.1323,286.112208333333
1859,284.2223,284.4421,285.2719,286.0696,286.9537,287.6488,288.0538,287.9372,287.2213,285.9818,284.8612,284.1501,286.067816666667
1860,284.0005,284.3827,285.1702,286.0442,286.9759,287.9206,288.3135,288.1328,287.4037,286.08,285.0589,284.2466,286.144133333333
1861,284.3596,284.6582,285.3871,286.2679,287.274,288.0344,288.371,288.3139,287.5123,286.2975,284.8905,284.3036,286.305833333333
1862,284.5229,284.6978,285.3709,286.1341,286.9546,287.728,288.0828,287.9691,287.258,286.1252,284.9306,284.1775,286.162625
1863,284.2157,284.6364,285.3345,286.2276,287.1013,287.77,288.1477,288.0623,287.2872,286.0219,284.7631,284.1064,286.139508333333
1864,284.0258,284.4238,285.2195,286.1517,287.1039,287.8216,288.0959,288.127,287.2394,285.9646,284.7697,284.2557,286.099883333333
1865,284.1668,284.4509,285.3655,286.3069,287.1057,287.8908,288.3416,288.2285,287.3515,286.1229,285.0063,284.3354,286.222733333333
1866,284.5074,284.8953,285.5966,286.3023,287.2797,287.9178,288.2918,288.2093,287.4833,286.1572,284.8861,284.1301,286.304741666667
