year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,285.1122,285.1851,285.6149,286.3199,287.3512,288.0935,288.4253,288.1583,287.3336,286.5859,285.9306,285.4872,286.633141666667
1852,285.2755,285.3073,285.6542,286.3036,287.4403,288.2576,288.571,288.2441,287.4232,286.528,285.7715,285.2789,286.671266666667
1853,284.9658,285.0957,285.5237,286.0584,287.1677,288.0068,288.309,288.0867,287.2805,286.4278,285.7174,285.1775,286.48475
1854,284.9985,285.112,285.75,286.3588,287.2567,288.0124,288.3013,287.9481,287.1737,286.2792,285.5852,285.1658,286.495141666667
1855,284.9598,285.0143,285.2899,286.1158,287.3105,287.9948,288.3603,288.0497,287.2628,286.3488,285.7102,285.2475,286.472033333333
1856,285.0106,285.0589,285.6479,286.2729,287.2626,288.0472,288.4316,288.0253,287.179,286.3297,285.8028,285.2601,286.527383333333
1857,284.9844,285.1888,285.6665,286.1645,287.1674,287.9905,288.2608,287.9728,286.9803,286.1501,285.4041,285.1258,286.421333333333
1858,284.9086,285.0806,285.5029,286.1234,287.1003,287.8473,288.4088,288.1243,287.1808,286.3911,285.6806,285.0143,286.446916666667
1859,284.844,284.907,285.4644,286.044,287.1925,287.8225,288.1319,287.9058,286.9915,286.0923,285.3994,285.0772,286.322708333333
1860,284.8683,284.9977,285.3068,286.1166,287.0364,287.8076,288.1631,287.8925,287.1441,286.1834,285.3986,285.0703,286.332116666667
1861,284.85,284.8441,285.2303,286.0485,287.1438,287.8539,288.2572,287.9518,287.1645,286.2908,285.468,284.9473,286.337516666667
1862,284.9022,284.8673,285.3694,285.9236,286.9373,287.8451,288.1441,287.7448,287.1664,286.2996,285.4428,284.9547,286.299775
1863,284.7678,285.1306,285.5347,286.1754,287.1537,287.834,288.2166,287.8789,287.1398,286.2166,285.4467,285.1097,286.383708333333
1864,284.8151,284.9039,285.494,286.1244,287.112,287.6934,288.1828,287.8131,287.1477,286.1613,285.5941,285.1105,286.346025
1865,285.0787,285.0527,285.442,286.1014,287.1135,287.9446,288.3754,287.908,287.1877,286.3659,285.6335,285.0552,286.438216666667
1866,284.8369,284.8867,285.4991,286.1628,287.1731,287.8691,288.2285,287.8811,287.1069,286.2068,285.3407,285.0055,286.349766666667
1867,284.9168,284.9326,285.4243,286.1063,287.0989,287.856,288.1571,287.976,286.9457,286.1368,285.5134,285.0514,286.342941666667
1868,284.9333,284.7541,285.3726,286.1802,287.2,288.0386,288.4367,288.1407,287.2626,286.4422,285.7839,285.3264,286.489275
1869,285.0188,284.9822,285.6299,286.272,287.2733,287.9373,288.3053,287.9867,287.1934,286.2414,285.5593,285.1765,286.464675
1870,285.0744,285.1267,285.6474,285.9741,287.1862,288.0485,288.4683,288.0685,287.1371,286.4028,285.6628,285.4276,286.5187
1871,285.1978,285.1505,285.5413,286.2465,287.3672,288.1087,288.5276,288.2472,287.1724,286.3781,285.6057,285.376,286.576583333333
1872,285.2646,285.164,285.6573,286.1965,287.1506,287.9071,288.3595,288.0142,287.2174,286.3427,285.6214,285.0977,286.499416666667
1873,284.8904,284.9304,285.4669,286.2249,287.4043,288.2451,288.5771,288.2031,287.3001,286.5012,285.6677,285.2481,286.554941666667
1874,284.9547,285.1188,285.5731,286.1969,287.2834,287.9167,288.3628,288.0711,287.2933,286.4565,285.7048,285.3315,286.521966666667
1875,284.9319,284.9884,285.4839,286.1618,287.2367,288.0103,288.3401,288.0094,287.1346,286.2498,285.6345,285.1237,286.442091666667
1876,284.8048,284.9473,285.3709,286.044,287.0384,287.909,288.3798,288.101,287.1467,286.3339,285.6359,285.0817,286.39945
1877,284.8555,285.122,285.6049,286.324,287.2639,288.1088,288.3578,287.9172,287.1345,286.1869,285.557,285.2381,286.47255
1878,284.9143,284.874,285.592,286.1954,287.1129,287.9374,288.2817,288.0218,287.0945,286.2625,285.4595,284.9293,286.389608333333
1879,284.6936,284.7173,285.1635,285.7314,286.9748,287.7384,288.0927,287.8407,287.2889,286.281,285.655,285.132,286.275775
1880,285.1057,285.1077,285.2675,285.994,287.1247,288.0141,288.4182,288.0419,287.226,286.4608,285.7868,285.3093,286.488058333333
1881,285.0745,284.8596,285.4797,286.1623,287.2679,288.098,288.3202,288.2363,287.3562,286.3523,285.5665,285.2423,286.501316666667
1882,284.995,284.9456,285.3755,285.9927,287.1044,287.8512,288.2274,288.0222,287.1076,286.349,285.6276,285.1418,286.395
1883,284.9375,285.1684,285.4969,286.0898,287.1867,287.9774,288.3815,288.1865,287.2975,286.3054,285.5906,284.9989,286.468091666667
1884,284.7255,284.9613,285.2698,285.9543,286.7921,287.6566,287.9576,287.6011,286.8837,286.0039,285.1486,284.6792,286.136141666667
1885,284.5633,284.5719,284.9346,285.6376,286.7331,287.4237,287.8817,287.6176,286.7987,285.9934,285.4231,284.8676,286.037191666667
1886,284.7263,284.7185,285.2419,285.8457,286.8662,287.734,287.9993,287.6826,287.003,286.0069,285.1309,284.7917,286.145583333333
1887,284.774,284.9131,285.2305,285.755,286.9389,287.7323,288.075,287.8835,287.0136,286.2141,285.4412,284.9945,286.247141666667
1888,284.6813,284.8885,285.3313,285.9237,287.0794,287.9068,288.3203,288.0104,287.0484,286.0999,285.2767,284.913,286.289975
1889,284.6353,284.6896,285.2219,285.8798,287.0276,287.8144,288.2233,287.9539,287.0365,285.9675,285.3074,284.852,286.217433333333
1890,284.7127,284.7499,285.2209,286.0339,287.0206,287.7654,288.2317,287.8485,286.8454,286.0893,285.2483,284.92,286.223883333333
1891,284.5327,284.787,285.2987,285.8178,286.774,287.7372,288.1153,287.8677,286.9648,286.128,285.3752,284.8955,286.191158333333
1892,284.7551,284.9318,285.3839,286.114,286.9337,287.561,288.0861,287.8302,286.925,286.2114,285.4739,285.0777,286.27365
1893,284.8235,284.9828,285.1267,285.9301,286.956,287.8538,288.2658,287.8784,286.9434,285.9959,285.3544,284.9006,286.25095
1894,284.741,284.9057,285.4188,286.0439,287.0121,287.8499,288.1743,287.9963,287.1796,286.3089,285.6126,284.9369,286.348333333333
1895,284.8253,285.0482,285.4576,286.0855,287.1703,287.9565,288.3256,288.077,287.0426,286.2216,285.5508,285.1154,286.406366666667
1896,284.8438,285.1049,285.4327,286.0327,287.1947,288.0371,288.321,288.063,287.2445,286.3323,285.4834,285.2103,286.4417
1897,284.9472,284.8047,285.3056,285.9425,287.056,287.9821,288.2296,287.9692,287.0991,286.2199,285.5701,285.1617,286.357308333333
1898,284.877,284.9438,285.4259,286.1884,287.3387,288.0473,288.4894,288.077,287.2708,286.4038,285.6597,285.2168,286.494883333333
1899,284.848,284.8859,285.3465,286.1031,287.177,287.9154,288.2346,287.9294,287.1411,286.3313,285.5279,284.933,286.364433333333
1900,284.7543,284.8946,285.286,285.8604,287.0214,287.8305,288.313,288.1266,287.2326,286.365,285.4558,285.1351,286.356275
1901,284.7705,284.8842,285.3276,286.0223,286.9814,287.7309,288.097,288.0142,287.0339,286.1377,285.5045,285.2174,286.310133333333
1902,285.0028,284.9608,285.3477,285.8826,287.04,287.8534,288.2819,288.0232,287.2146,286.3304,285.5946,284.9485,286.373375
1903,284.7642,284.8863,285.2673,285.9424,286.8273,287.7064,287.9857,287.6647,286.8225,285.9777,285.3602,284.7638,286.164041666667
1904,284.5565,284.6577,285.3891,285.8687,286.8734,287.6971,288.1185,287.8347,286.9018,286.0602,285.4492,285.0639,286.2059
1905,284.7818,284.8231,285.4529,286.0664,287.0449,287.8055,288.1155,287.8315,287.1589,286.3715,285.6193,285.2027,286.356166666667
1906,284.8499,284.9864,285.4246,286.0505,287.0003,287.9716,288.2525,288.0178,287.0427,286.1689,285.3699,285.0962,286.352608333333
1907,284.7252,284.8442,285.3024,286.1213,287.1186,287.8395,288.1998,287.9208,287.0401,286.3054,285.6179,285.1084,286.3453
1908,284.9094,284.7671,285.4294,286.0238,287.1317,287.9768,288.4122,288.0562,287.1661,286.3914,285.5614,285.079,286.408708333333
1909,284.9838,285.0212,285.4663,286.1408,287.0495,287.9239,288.2092,288.038,287.1187,286.226,285.5649,284.8773,286.384966666667
1910,284.7909,285.0054,285.3246,286.0408,287.1054,287.9294,288.2972,287.7884,287.0075,286.2087,285.616,284.9655,286.339983333333
1911,284.9498,284.975,285.2881,285.985,287.1577,288.0003,288.4722,288.0904,287.2646,286.3931,285.7503,285.2575,286.465333333333
1912,284.908,285.1919,285.6294,286.1913,287.3348,288.0171,288.3301,287.8957,287.2259,286.1825,285.5156,285.1222,286.462041666667
