year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.8951,284.8698,285.3501,286.1247,287.1782,287.8994,288.3259,287.9027,287.2838,286.4778,285.6911,285.1994,286.433166666667
1851,285.1352,285.4005,285.5941,286.2952,287.3101,288.1267,288.4467,288.0344,287.2257,286.3275,285.714,285.1944,286.567041666667
1852,284.9472,285.0358,285.783,286.2872,287.2832,288.0628,288.4037,288.0383,287.0794,286.3835,285.633,285.1124,286.504125
1853,285.0052,285.2474,285.4652,286.3066,287.317,288.0042,288.4713,288.2029,287.3541,286.5213,285.7598,285.4217,286.589725
1854,285.0871,285.2385,285.5053,286.2473,287.3634,288.0784,288.3965,288.0883,287.3125,286.3533,285.6859,285.2918,286.554025
1855,285.0266,285.1089,285.4124,286.1223,287.1564,287.9176,288.1766,288.0208,287.2674,286.2928,285.6384,285.0397,286.431658333333
1856,284.8617,285.0612,285.5347,286.2127,287.1963,288.0261,288.2618,288.0871,287.2647,286.1913,285.4127,285.178,286.440691666667
1857,284.9261,285.0887,285.3358,286.0883,287.1457,287.8766,288.0343,287.827,287.0914,286.2806,285.5813,285.0364,286.35935
1858,284.944,285.2078,285.5334,285.9865,287.1773,287.9396,288.3098,287.9634,287.1161,286.2279,285.4858,285.087,286.414883333333
1859,284.9516,284.969,285.4102,285.9818,287.134,287.9974,288.3186,288.0353,287.2692,286.3566,285.6902,285.3956,286.459125
1860,284.8949,285.1469,285.5009,286.3549,287.2932,287.872,288.2489,287.8288,287.0569,286.2116,285.5273,285.1721,286.4257
1861,284.9348,284.9911,285.4961,286.0043,287.1296,287.9573,288.3633,288.1194,287.1414,286.2769,285.4966,284.9533,286.405341666667
1862,284.8918,284.9584,285.4047,286.0199,287.1671,287.8977,288.2615,287.9191,287.2178,286.3385,285.6847,285.1805,286.411808333333
1863,285.0165,285.2711,285.3486,285.8954,287.2301,287.9939,288.2552,288.1051,287.307,286.484,285.7054,285.1782,286.482541666667
1864,284.9103,285.0485,285.5468,286.0773,287.1617,287.761,288.215,288.0247,287.0335,286.1816,285.5746,285.0677,286.383558333333
1865,284.8222,284.965,285.2179,285.8864,286.9969,287.6924,287.9669,287.7697,287.0989,286.0698,285.5916,285.1631,286.270066666667
1866,285.001,285.1342,285.4405,286.1616,287.2967,287.9944,288.3752,288.1312,287.1989,286.4224,285.7003,285.2323,286.507391666667
1867,285.2277,285.1253,285.7056,286.377,287.401,288.0596,288.4059,288.2141,287.2153,286.5355,285.7527,285.3277,286.612283333333
1868,285.0826,285.2685,285.5045,286.4454,287.3246,287.9579,288.3401,288.1684,287.3463,286.4744,285.7048,285.258,286.572958333333
1869,284.9068,284.891,285.3814,286.0322,287.0328,287.868,288.2662,287.8994,287.0595,286.1767,285.4979,285.2065,286.351533333333
1870,284.8609,284.839,285.3463,286.0343,287.0797,288.0427,288.3957,287.9536,287.204,286.2871,285.5107,285.1978,286.395983333333
1871,285.1436,285.144,285.4587,286.1748,287.2177,288.0651,288.2924,288.043,287.341,286.4525,285.8065,285.265,286.533691666667
1872,285.0358,284.9149,285.5371,286.084,287.2437,287.8443,288.1712,287.9387,287.164,286.3743,285.6432,285.1623,286.426125
1873,284.8951,285.037,285.4607,286.18,287.1977,288.0255,288.4422,288.0469,287.3169,286.4986,285.8232,285.2503,286.514508333333
1874,284.9394,285.0552,285.595,286.2589,287.2604,288.1895,288.395,287.9749,287.2533,286.4008,285.5046,285.2589,286.507158333333
1875,284.8334,285.1212,285.5684,286.1396,287.1965,287.9995,288.294,288.1083,287.1307,286.2818,285.4978,285.1037,286.439575
1876,284.9731,284.751,285.3088,285.8644,287.0096,287.8152,288.209,288.0245,287.0692,286.2227,285.6524,285.1238,286.335308333333
1877,285.0085,284.8666,285.4206,286.0852,287.1902,287.9651,288.3184,288.0972,287.1975,286.3221,285.6784,285.2804,286.452516666667
1878,285.1788,285.1278,285.8369,286.3229,287.4997,288.1202,288.4549,288.1573,287.1477,286.3679,285.6159,285.0684,286.574866666667
1879,285.0719,284.9765,285.4948,286.3081,287.236,287.9254,288.3205,287.9653,287.2867,286.3511,285.6984,285.2274,286.488508333333
1880,285.0289,285.1133,285.7244,286.3076,287.1828,287.9678,288.322,288.0093,287.3656,286.3527,285.574,285.2499,286.516525
1881,284.8452,285.0493,285.4998,286.1963,287.3687,288.1614,288.4568,288.1653,287.3952,286.5926,285.9753,285.542,286.603991666667
1882,285.3517,285.5759,285.8934,286.4667,287.5619,288.3594,288.6579,288.3965,287.4724,286.5899,285.7823,285.3954,286.79195
