year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1851,284.8522,285.1183,285.4736,286.369,287.3435,288.1258,288.4026,288.0406,287.1973,286.2635,285.5987,285.3036,286.507391666667
1852,285.0422,285.0944,285.7032,286.1869,287.2046,287.9355,288.4268,287.9271,287.2206,286.4776,285.7083,285.2664,286.516133333333
1853,285.0306,285.2827,285.91,286.5432,287.4514,288.2267,288.3885,288.139,287.3721,286.5431,285.832,285.2072,286.660541666667
1854,285.1881,285.107,285.4933,286.1998,287.282,288.058,288.386,288.1626,287.2107,286.4671,285.6979,285.2653,286.54315
1855,285.101,285.2556,285.7139,286.5096,287.4651,288.2589,288.4527,288.1902,287.3719,286.3595,285.5285,285.0687,286.6063
1856,284.9303,284.9417,285.3888,286.059,287.0417,287.7646,288.0476,287.8845,287.0337,286.1226,285.3471,285.0743,286.302991666667
1857,284.6743,284.7295,285.27,286.0226,286.9725,287.7213,288.0964,287.6943,287.0999,286.1603,285.3766,284.9654,286.231925
1858,284.7651,284.7098,285.2514,285.813,286.9673,287.732,288.0356,287.7795,286.8568,286.0121,285.2701,284.8428,286.169625
1859,284.6131,284.6049,285.1137,285.7785,286.7719,287.5389,288.0374,287.6729,286.9256,286.0916,285.4209,284.9834,286.1294
1860,284.6889,284.8552,285.4971,286.159,287.0835,287.7517,288.0542,287.8083,287.1025,286.2517,285.412,285.0602,286.310358333333
1861,284.9021,284.9704,285.2486,286.135,287.0948,287.9524,288.2462,287.9069,287.0857,286.2275,285.4424,285.2426,286.371216666667
1862,284.9006,284.7824,285.4286,286.2201,287.139,287.746,288.2036,287.9647,287.1011,286.1057,285.6948,285.2651,286.379308333333
1863,284.9139,284.9195,285.3972,286.348,287.2369,287.8937,288.2489,287.9554,287.3104,286.2805,285.5701,285.1142,286.432391666667
1864,284.9279,284.9543,285.4857,286.2176,287.2193,287.9541,288.3878,287.9051,287.1047,286.2443,285.5,285.0904,286.415933333333
1865,284.9599,285.0826,285.6398,286.3442,287.2802,287.904,288.3974,288.0901,287.3243,286.414,285.7126,285.142,286.524258333333
1866,285.1387,285.0896,285.594,286.2813,287.2896,288.1503,288.4803,288.1472,287.3557,286.4611,285.731,285.2393,286.579841666667
1867,284.9326,285.2591,285.4159,286.3217,287.3331,287.9369,288.2437,287.9998,287.2337,286.2867,285.6697,285.3503,286.4986
1868,285.0855,285.0642,285.5475,286.2653,287.3022,287.9844,288.4464,288.134,287.2762,286.3556,285.7647,285.3841,286.550841666667
1869,285.0412,285.1068,285.6226,286.427,287.3441,288.1113,288.4879,288.1827,287.4005,286.5069,285.8044,285.2904,286.610483333333
1870,285.0969,285.2707,285.5619,286.3555,287.2543,288.2692,288.5762,288.3275,287.4404,286.527,285.8542,285.3643,286.658175
1871,285.3501,285.4431,285.827,286.8277,287.6838,288.4787,288.7268,288.3539,287.5205,286.7254,286.0213,285.5668,286.877091666667
1872,285.2962,285.629,285.7586,286.4426,287.5622,288.2413,288.5515,288.2991,287.4032,286.6933,285.8518,285.5379,286.772225
1873,285.3384,285.1337,285.7911,286.5173,287.5073,288.2299,288.4345,288.0724,287.2566,286.325,285.6915,285.2414,286.628258333333
1874,284.9035,285.0676,285.439,286.289,287.3633,288.048,288.1985,288.0479,287.2208,286.3182,285.5401,285.0757,286.4593
1875,285.0004,285.1736,285.5858,286.3697,287.2951,288.0004,288.3349,287.9845,287.2134,286.2312,285.4353,284.9918,286.468008333333
1876,284.7831,284.9293,285.3597,285.8634,287.0876,287.8314,288.2457,287.7766,287.1917,286.2469,285.562,285.1142,286.332633333333
1877,285.0196,285.1287,285.4165,286.2812,287.1824,287.9071,288.3366,287.8964,287.1212,286.26,285.4702,284.9276,286.412291666667
1878,284.6946,285.0193,285.2482,285.9405,286.9551,287.9061,288.2533,287.7769,286.9529,286.27,285.4609,285.064,286.29515
1879,284.8789,285.0058,285.52,286.2134,287.1215,287.8768,288.1239,287.8951,287.1331,286.1245,285.2875,284.8559,286.336366666667
1880,284.4517,284.4822,284.9843,285.7802,286.8018,287.5366,287.9285,287.6658,286.8303,285.9607,285.2661,284.9725,286.055058333333
1881,284.6886,284.8015,285.0958,285.9495,287.0094,287.789,288.0371,287.8029,286.8267,286.2132,285.3478,284.9377,286.208266666667
1882,284.7282,284.7585,285.2883,285.893,287.0633,287.8728,288.168,287.7389,286.9762,286.2209,285.3872,284.901,286.249691666667
1883,284.8182,284.9384,285.2716,286.0185,287.0299,287.7998,288.1699,287.7917,286.9118,286.0702,285.191,284.7198,286.227566666667
1884,284.4918,284.4127,285.1156,285.5966,286.6515,287.4582,287.8412,287.5465,286.7338,285.8455,285.0232,284.6685,285.948758333333
1885,284.558,284.5899,285.1128,285.938,287.0398,287.8112,288.1462,287.8853,286.9266,286.0451,285.3494,284.8987,286.19175
1886,284.4843,284.7145,285.0768,285.7977,286.8392,287.5869,287.9951,287.7292,286.8665,285.8918,285.0277,284.7083,286.059833333333
1887,284.3672,284.4615,285.1289,285.7655,286.8138,287.4979,287.9479,287.557,286.7619,286.0407,285.1868,284.7416,286.022558333333
1888,284.485,284.8097,285.3394,285.8284,286.9307,287.7953,288.178,287.6485,286.8677,286.0081,285.0954,284.7068,286.141083333333
1889,284.6043,284.9407,285.4421,286.1943,286.9857,287.7459,288.2057,287.8887,287.0703,286.0848,285.3924,285.0827,286.303133333333
1890,284.9532,285.0847,285.5836,286.2588,287.1681,287.9112,288.2301,288.0179,286.991,286.1315,285.4371,285.1727,286.411658333333
1891,284.95,284.9926,285.5519,286.1287,287.0276,287.7584,288.0404,287.7872,286.9681,286.149,285.5351,285.1467,286.336308333333
1892,284.9138,284.9418,285.4769,286.0778,287.1203,287.9347,288.1909,287.8784,287.1316,286.1347,285.6203,284.8984,286.359966666667
1893,284.6645,284.9151,285.2679,286.1091,287.0448,287.7225,288.1038,287.8963,287.0782,286.16,285.336,284.8466,286.262066666667
1894,284.7703,284.7932,285.2598,286.0354,287.0535,287.8224,288.269,288.1195,287.1174,286.1104,285.3858,285.0376,286.314525
1895,284.7424,284.8171,285.1355,285.9783,287.0034,287.7678,288.14,287.8081,287.0569,286.1581,285.4246,284.9823,286.251208333333
1896,284.8282,284.734,285.2642,285.9531,286.976,287.7342,288.124,287.8706,286.9302,286.0956,285.2175,285.0153,286.228575
1897,284.6059,284.746,285.1749,285.8333,286.9182,287.6966,288.0883,287.9054,287.1574,286.1432,285.4561,285.0106,286.227991666667
1898,284.7785,284.9951,285.5426,286.1532,287.1693,287.8208,288.1143,287.9412,287.0719,286.3114,285.5018,285.0276,286.368975
1899,284.7652,284.8687,285.4158,286.1221,287.179,287.7993,288.1118,287.8973,287.1423,286.3062,285.4938,285.1029,286.350366666667
1900,284.7782,284.9265,285.5706,286.2482,287.159,287.9372,288.3294,288.0739,287.2489,286.4048,285.6752,285.166,286.459825
