year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.9192,284.9984,285.5471,286.2064,287.1943,287.9678,288.3403,288.0109,287.1012,286.4439,285.6185,285.0717,286.451641666667
1851,285.0114,285.1506,285.3859,286.3354,287.2879,288.06,288.4437,288.1795,287.4678,286.4815,285.7433,285.2053,286.562691666667
1852,285.0054,285.0822,285.5569,286.1328,287.1255,287.939,288.2263,287.9209,287.1846,286.3816,285.6502,285.2101,286.451291666667
1853,285.0346,284.8836,285.5166,286.2835,287.3326,287.9484,288.3752,288.0205,287.2891,286.4748,285.8491,285.3581,286.530508333333
1854,285.1713,285.309,285.6833,286.3467,287.3143,288.0379,288.4514,288.1681,287.2639,286.29,285.6111,285.1453,286.566025
1855,284.9762,285.0903,285.5902,286.3013,287.4792,288.1316,288.4,288.2561,287.3904,286.4537,285.7332,285.2867,286.590741666667
1856,284.9716,284.7814,285.3645,286.0825,287.0344,287.7809,288.2997,287.9716,287.2291,286.3108,285.6674,285.1177,286.3843
1857,284.8787,284.9684,285.5568,286.3024,287.154,287.9009,288.3364,288.1027,287.195,286.3217,285.399,285.0539,286.430825
1858,284.8776,285.0401,285.4698,286.0456,287.1264,287.9041,288.2875,287.9626,287.0719,286.254,285.531,284.9828,286.37945
1859,285.0038,284.8654,285.3436,286.111,287.2263,287.8903,288.28,288.123,287.421,286.326,285.5797,285.0839,286.437833333333
1860,284.952,284.951,285.7622,286.3712,287.2943,287.981,288.2928,287.9711,287.2546,286.2785,285.6321,285.0323,286.481091666667
1861,284.9061,285.0135,285.4228,286.0947,287.2505,287.9206,288.243,288.0175,287.2582,286.1729,285.3996,285.0991,286.399875
1862,285.0247,285.1081,285.6292,286.3263,287.3145,288.0771,288.4667,288.2122,287.235,286.4547,285.433,285.0433,286.527066666667
1863,284.9832,285.1707,285.5067,286.3778,287.1485,287.7886,288.2516,287.9293,287.0774,286.2673,285.3443,285.106,286.412616666667
1864,284.7922,284.8399,285.4884,286.0893,286.9193,287.8296,288.0725,287.8702,287.0255,286.2343,285.4285,285.108,286.308141666667
1865,284.9909,285.119,285.4216,286.2153,287.3185,287.8639,288.3819,288.0581,287.3364,286.4751,285.6871,285.2024,286.50585
1866,284.7895,284.9182,285.5429,286.1626,287.1268,287.977,288.2746,287.9379,287.1963,286.427,285.7083,285.2353,286.441366666667
1867,285.0191,285.1529,285.6666,286.2976,287.2219,287.9937,288.3865,288.0544,287.2994,286.3966,285.7243,285.123,286.528
1868,284.8919,284.9771,285.483,286.2062,287.313,288.1202,288.5566,288.2831,287.3209,286.476,285.738,285.3539,286.559991666667
1869,285.2822,285.5342,286.0027,286.6342,287.566,288.2869,288.5626,288.3396,287.4905,286.6284,285.8564,285.2459,286.7858
1870,285.0715,285.25,285.6986,286.4864,287.4897,288.2994,288.4349,288.1866,287.3652,286.3886,285.7259,285.1897,286.632208333333
1871,285.1352,285.0684,285.7799,286.282,287.3695,288.0564,288.2682,288.0708,287.181,286.4679,285.7543,285.2261,286.554975
1872,285.1676,285.1865,285.6862,286.2581,287.3011,288.1004,288.4342,288.1458,287.2711,286.4611,285.6357,285.2653,286.576091666667
1873,285.165,285.1605,285.63,286.3816,287.3596,288.1143,288.5581,288.1485,287.4176,286.4933,285.8109,285.3352,286.631216666667
1874,285.1681,285.2128,285.7501,286.3523,287.3216,288.1356,288.4329,288.1612,287.503,286.6355,285.7617,285.4076,286.653533333333
1875,285.0926,285.3107,285.8889,286.3648,287.5397,288.1054,288.3342,288.0378,287.2496,286.4088,285.6583,285.1329,286.593641666667
1876,285.067,285.1877,285.7627,286.254,287.1898,287.9901,288.4232,288.1075,287.3285,286.3055,285.6046,285.2465,286.538925
1877,285.0375,284.9823,285.6048,286.3874,287.2036,288.0151,288.3182,288.1489,287.2633,286.2773,285.535,284.9944,286.48065
1878,284.7132,284.7919,285.5269,286.2124,287.0915,288.0493,288.4015,288.1624,287.3859,286.402,285.5952,285.249,286.4651
