year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,285.5526,285.6866,286.3199,287.2616,288.7671,289.7037,289.9796,289.8226,289.0529,287.7018,286.629,285.8392,287.69305
1851,285.8299,285.6685,286.316,287.42,288.6034,289.647,289.966,289.7852,289.0349,287.8423,286.4981,285.7157,287.693916666667
1852,285.4984,285.7328,286.268,287.393,288.595,289.6331,290.0663,289.8978,289.1211,287.985,286.9633,286.0536,287.767283333333
1853,285.8787,286.0694,286.4732,287.5394,288.7343,289.8546,290.1985,289.957,289.1161,287.7903,286.6289,285.9955,287.852991666667
1854,285.8143,285.9672,286.3449,287.3208,288.6237,289.6663,289.9449,289.7801,288.9241,287.6225,286.5959,285.7383,287.69525
1855,285.5101,285.6229,286.2882,287.2852,288.5168,289.6184,290.051,289.7525,288.9975,287.7523,286.4865,285.7728,287.63785
1856,285.614,285.7263,286.2413,287.2893,288.5665,289.6365,290.1237,289.8237,288.8893,287.8665,286.6075,285.7127,287.674775
1857,285.5705,285.7668,286.2726,287.1314,288.4775,289.5806,289.9642,289.7577,288.8841,287.6031,286.673,285.9037,287.6321
1858,285.536,285.6854,286.234,287.3421,288.4737,289.6116,290.0111,289.7866,288.8852,287.6726,286.5581,285.8377,287.636175
1859,285.5435,285.5872,286.2587,287.2548,288.515,289.4932,290.0082,289.6842,288.9555,287.5114,286.3083,285.7521,287.572675
1860,285.5416,285.8212,286.2164,287.3694,288.6538,289.5997,290.013,289.8219,288.9733,287.7181,286.4976,285.8809,287.675575
1861,285.5498,285.6381,286.1958,287.3109,288.6175,289.7145,290.0711,289.8666,289.0052,287.7146,286.5804,285.8427,287.6756
1862,285.7553,285.671,286.3251,287.3624,288.572,289.7798,290.1142,289.9463,289.0475,287.7583,286.6164,285.9197,287.739
1863,285.8777,285.787,286.406,287.5601,288.8729,289.9359,290.1685,289.8836,289.0124,287.7917,286.5529,285.8231,287.805983333333
1864,285.6719,285.6482,286.0643,287.2209,288.5222,289.6399,289.9756,289.7754,288.7754,287.5771,286.402,285.662,287.577908333333
1865,285.2353,285.59,286.1194,287.1725,288.3665,289.3924,289.9498,289.6521,288.8499,287.552,286.4993,285.7689,287.512341666667
1866,285.3913,285.8409,286.3669,287.2804,288.5696,289.5578,289.902,289.6904,288.8458,287.6043,286.5403,285.6825,287.606016666667
1867,285.5654,285.7003,286.3627,287.2078,288.6346,289.6535,290.1028,289.7811,289.0082,287.7756,286.6694,285.8748,287.694683333333
1868,285.6336,285.9618,286.4644,287.6709,288.8823,289.8444,290.1684,289.899,289.1451,287.9154,286.7872,286.1378,287.875858333333
1869,285.8407,285.9821,286.5289,287.6625,288.8655,289.8575,290.2365,290.0004,289.0775,287.8127,286.7248,285.9172,287.875525
