year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,,,,,,,,,
,,,,,-0.938,,,-89.497,89.497,,,,-0.312666666666667
1850,284.5577,284.8882,285.7649,286.7796,287.6806,288.3543,288.5505,288.3387,287.6506,286.6219,285.5528,284.7843,286.627008333333
1851,284.5467,284.9647,285.9454,286.7862,287.7158,288.3072,288.4784,288.3186,287.6438,286.5639,285.4367,284.7969,286.625358333333
1852,284.5645,284.9115,285.732,286.824,287.6647,288.2738,288.4958,288.2643,287.6433,286.5388,285.3709,284.7401,286.585308333333
1853,284.5921,284.971,285.7769,286.6855,287.6478,288.2303,288.549,288.3275,287.5945,286.5097,285.4259,284.6908,286.583416666667
1854,284.6173,285.0451,285.8289,286.8189,287.646,288.2155,288.4999,288.3558,287.624,286.5265,285.3676,284.6261,286.597633333333
1855,284.4535,284.756,285.6253,286.7011,287.5388,288.0933,288.4233,288.2954,287.5673,286.5251,285.4346,284.5856,286.499941666667
1856,284.3192,284.7671,285.639,286.6621,287.5576,288.2318,288.3994,288.2417,287.5476,286.4731,285.4386,284.6361,286.492775
1857,284.4827,284.8712,285.756,286.7494,287.6932,288.2607,288.4716,288.2063,287.5828,286.4878,285.3197,284.5897,286.539258333333
1858,284.4173,284.7971,285.6243,286.6466,287.5661,288.1373,288.4348,288.2915,287.7333,286.7069,285.4294,284.6956,286.540016666667
1859,284.4778,284.8756,285.6611,286.6488,287.6504,288.2579,288.4865,288.299,287.6042,286.4669,285.3329,284.6443,286.533783333333
1860,284.3341,284.772,285.6761,286.6868,287.5546,288.2533,288.4779,288.2524,287.5933,286.5375,285.3979,284.6833,286.518266666667
1861,284.5426,284.8908,285.6931,286.7697,287.6464,288.2955,288.5272,288.3198,287.6603,286.5254,285.3917,284.6029,286.572116666667
1862,284.3328,284.7839,285.6217,286.6068,287.6232,288.2456,288.4678,288.3373,287.5995,286.5097,285.3774,284.667,286.514391666667
1863,284.4757,284.9777,285.684,286.7353,287.5786,288.2075,288.5397,288.3155,287.6345,286.6596,285.5051,284.6622,286.581283333333
1864,284.4627,284.8662,285.7227,286.657,287.6007,288.1754,288.3869,288.251,287.6053,286.4138,285.3474,284.7036,286.516058333333
1865,284.55,285.1078,285.811,286.6774,287.5992,288.2446,288.4615,288.3313,287.5955,286.5376,285.3682,284.6612,286.578775
1866,284.4673,284.7784,285.5215,286.6728,287.6159,288.2225,288.5517,288.3856,287.6609,286.6433,285.5027,284.7509,286.564458333333
1867,284.6591,285.0441,285.9185,286.8353,287.7799,288.3589,288.6749,288.4957,287.772,286.6564,285.511,284.851,286.713066666667
1868,284.555,284.9159,285.8611,286.8797,287.7583,288.4054,288.6214,288.4687,287.7869,286.6118,285.5388,284.9023,286.692108333333
1869,284.6213,284.9284,285.7252,286.7768,287.6843,288.3073,288.4894,288.3305,287.7171,286.6157,285.4467,284.7935,286.619683333333
1870,284.5813,285.028,285.8022,286.7303,287.6388,288.2838,288.5233,288.3582,287.7012,286.5813,285.5646,284.8297,286.635225
1871,284.5884,285.018,285.8385,286.7548,287.6584,288.277,288.5224,288.3154,287.638,286.5688,285.4257,284.7765,286.615158333333
1872,284.6103,284.9673,285.8822,286.839,287.5735,288.2852,288.5137,288.3263,287.615,286.459,285.3792,284.6302,286.590075
1873,284.4521,284.9732,285.8114,286.795,287.6057,288.2533,288.5062,288.3321,287.7064,286.5716,285.5057,284.7323,286.60375
1874,284.5174,285.0027,285.6718,286.8234,287.7132,288.4031,288.6183,288.4395,287.7734,286.6623,285.6589,284.9266,286.684216666667
1875,284.692,285.2176,286.026,286.9748,287.9167,288.4269,288.6241,288.3922,287.7407,286.7967,285.6325,284.904,286.778683333333
1876,284.7802,284.992,285.8665,286.8087,287.739,288.412,288.6658,288.4455,287.7237,286.5963,285.4763,284.7344,286.6867
1877,284.635,285.0278,285.811,286.8212,287.7314,288.299,288.6558,288.4222,287.6673,286.5274,285.4858,284.7611,286.65375
1878,284.5143,285.0382,285.7943,286.7522,287.6161,288.3195,288.4828,288.2912,287.6573,286.506,285.4026,284.7683,286.595233333333
1879,284.4576,284.8844,285.608,286.7281,287.5884,288.2775,288.4765,288.2816,287.5922,286.5058,285.3152,284.57,286.523775
1880,284.4054,284.9002,285.7335,286.8044,287.6369,288.2765,288.4766,288.244,287.566,286.4668,285.251,284.6463,286.533966666667
1881,284.5561,284.85,285.7038,286.846,287.6887,288.3462,288.5477,288.372,287.7021,286.6247,285.4193,284.6914,286.612333333333
1882,284.5016,284.934,285.7672,286.6608,287.6533,288.2199,288.4373,288.2267,287.6084,286.4442,285.339,284.7527,286.545425
1883,284.4251,284.7898,285.6024,286.5933,287.4885,288.1283,288.2947,288.0663,287.4144,286.2888,285.1275,284.4233,286.386866666667
1884,284.2533,284.6576,285.3684,286.3159,287.2213,287.8395,288.055,287.8257,287.1195,286.007,284.8064,284.2325,286.141841666667
1885,284.0999,284.4138,285.2321,286.3238,287.2001,287.8251,288.0581,287.863,287.2126,286.113,284.9663,284.1382,286.1205
1886,283.9249,284.5195,285.403,286.4274,287.3379,288.0419,288.3008,288.0844,287.4438,286.3332,285.1013,284.3836,286.275141666667
1887,284.107,284.5511,285.3385,286.3725,287.3986,287.9929,288.2206,288.0357,287.3976,286.3674,285.2238,284.5002,286.292158333333
1888,284.326,284.6134,285.5442,286.4916,287.453,288.1165,288.2997,288.1304,287.4652,286.4162,285.1496,284.2981,286.358658333333
1889,284.3544,284.6146,285.4426,286.5825,287.4351,288.0972,288.3057,288.1835,287.4558,286.2691,285.2447,284.505,286.374183333333
1890,284.2456,284.7367,285.5298,286.4933,287.418,288.1417,288.3127,288.1323,287.4859,286.3835,285.3167,284.5351,286.394275
1891,284.2904,284.7609,285.5462,286.5455,287.4752,288.1701,288.4191,288.1944,287.4605,286.4373,285.2193,284.4389,286.41315
1892,284.4199,284.8763,285.6852,286.578,287.5288,288.1342,288.3774,288.2177,287.4395,286.3231,285.1779,284.4477,286.433808333333
1893,284.263,284.7592,285.5904,286.6802,287.6234,288.1962,288.4978,288.2982,287.6187,286.5049,285.4218,284.7131,286.513908333333
1894,284.5465,284.9998,285.7924,286.7505,287.6501,288.3062,288.5203,288.3777,287.7141,286.6106,285.4286,284.7932,286.624166666667
1895,284.6,284.9655,285.7509,286.7568,287.6437,288.3174,288.5959,288.4165,287.7162,286.6825,285.4708,284.7719,286.640675
1896,284.6187,284.9931,285.9,286.8656,287.7533,288.3505,288.5805,288.3253,287.5565,286.4739,285.3891,284.6852,286.624308333333
1897,284.443,284.8652,285.6452,286.7109,287.714,288.2866,288.502,288.2888,287.5945,286.5668,285.4651,284.6548,286.561408333333
1898,284.5023,284.9303,285.8538,286.8291,287.614,288.2675,288.5304,288.3695,287.6912,286.5952,285.4522,284.7306,286.613841666667
1899,284.515,284.9695,285.7877,286.81,287.6721,288.3099,288.5591,288.3237,287.7221,286.679,285.491,284.8166,286.637975
1900,284.6147,285.0741,285.6896,286.7068,287.6246,288.2903,288.4837,288.2871,287.6519,286.5347,285.4006,284.7299,286.590666666667
1901,284.5288,284.9487,285.7528,286.7128,287.5973,288.2598,288.4928,288.3304,287.6286,286.6224,285.4202,284.7013,286.582991666667
1902,284.6046,284.8997,285.6555,286.6864,287.5879,288.2632,288.5087,288.3152,287.7731,286.6194,285.4851,284.7498,286.595716666667
1903,284.5049,284.8479,285.6134,286.6594,287.5147,288.1136,288.4385,288.196,287.6101,286.558,285.4547,284.6064,286.5098
1904,284.4103,284.8821,285.7405,286.703,287.5687,288.1902,288.3926,288.2071,287.545,286.4679,285.464,284.6052,286.514716666667
1905,284.433,284.81,285.6617,286.7558,287.6205,288.2306,288.4274,288.2495,287.5507,286.4199,285.3509,284.5682,286.506516666667
1906,284.4018,284.848,285.6113,286.6113,287.6185,288.2788,288.4562,288.3021,287.6492,286.669,285.4656,284.7098,286.5518
1907,284.4535,284.9278,285.72,286.6375,287.5756,288.143,288.3758,288.2507,287.5884,286.4948,285.3855,284.6646,286.5181
1908,284.5477,284.9657,285.7122,286.7328,287.6497,288.2781,288.4936,288.2958,287.7056,286.59,285.4307,284.7269,286.594066666667
1909,284.5911,284.9696,285.6928,286.7982,287.7178,288.3351,288.5469,288.421,287.7838,286.7869,285.6743,284.8944,286.684325
1910,284.78,285.0146,285.8956,286.8806,287.7703,288.3739,288.6013,288.3849,287.7595,286.6989,285.4767,284.7876,286.701991666667
1911,284.6728,285.0044,285.6987,286.7356,287.6542,288.2655,288.5491,288.386,287.6997,286.7185,285.5824,284.8859,286.6544
1912,284.7458,285.0568,285.9139,286.8668,287.7482,288.3768,288.6146,288.3338,287.6015,286.5468,285.42,284.8492,286.67285
1913,284.5583,285.0391,285.7545,286.7935,287.627,288.1992,288.4181,288.2789,287.5407,286.5017,285.3877,284.7084,286.567258333333
1914,284.5155,284.8376,285.7856,286.7413,287.6398,288.274,288.4596,288.3828,287.7625,286.7252,285.5729,284.86,286.629733333333
1915,284.598,284.9927,285.8485,286.803,287.779,288.3611,288.5703,288.4066,287.7518,286.7499,285.6244,284.9059,286.699266666667
1916,284.7525,285.0263,285.8361,286.8349,287.7851,288.4313,288.5746,288.4026,287.686,286.6854,285.6511,285.0185,286.7237
