year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.5878,284.8094,285.7421,286.5766,287.5057,288.312,288.5405,288.4196,287.592,286.5638,285.4794,284.6396,286.564041666667
1851,284.3702,284.7429,285.7743,286.6139,287.5245,288.2639,288.5709,288.3829,287.6985,286.5088,285.3638,284.6695,286.540341666667
1852,284.3202,284.7618,285.6469,286.7494,287.7177,288.304,288.5329,288.3512,287.6845,286.5728,285.5281,284.7034,286.572741666667
1853,284.5504,284.9291,285.8811,286.7239,287.594,288.1527,288.473,288.1584,287.4982,286.4307,285.2886,284.3533,286.502783333333
1854,284.2145,284.674,285.467,286.5227,287.3741,287.92,288.2816,288.1877,287.3793,286.3885,285.2152,284.3679,286.332708333333
1855,284.2556,284.672,285.5262,286.5574,287.4089,288.0173,288.3433,288.2095,287.6129,286.4189,285.1906,284.4308,286.38695
1856,284.2384,284.6573,285.5003,286.587,287.4911,288.3112,288.4026,288.2115,287.5616,286.5127,285.399,284.675,286.462308333333
1857,284.6831,285.0654,285.9749,286.9563,287.913,288.5215,288.6048,288.3485,287.7097,286.6973,285.5444,284.7687,286.7323
1858,284.5992,284.7573,285.6006,286.7454,287.611,288.163,288.4492,288.2563,287.6956,286.6227,285.2428,284.6439,286.53225
1859,284.254,284.6956,285.6299,286.5706,287.5955,288.213,288.4796,288.3179,287.5087,286.4615,285.2051,284.4682,286.449966666667
1860,284.2052,284.4838,285.5497,286.6351,287.5702,288.2221,288.39,288.156,287.5709,286.593,285.5456,284.7567,286.473191666667
1861,284.4932,284.9692,285.849,286.8265,287.7265,288.3088,288.6542,288.3896,287.6928,286.534,285.4083,284.5617,286.617816666667
1862,284.3954,284.9481,285.6735,286.643,287.7023,288.3152,288.5321,288.4116,287.7983,286.7246,285.5682,284.8856,286.633158333333
1863,284.7474,285.0046,285.8412,286.9434,287.775,288.3261,288.6114,288.2979,287.6835,286.7657,285.6002,284.6549,286.687608333333
1864,284.5777,284.9751,285.705,286.7463,287.6312,288.0964,288.3577,288.1786,287.5285,286.3241,285.1677,284.6588,286.495591666667
1865,284.3707,285.0024,285.6725,286.4861,287.4532,288.0659,288.4578,288.2359,287.5573,286.4405,285.2276,284.5356,286.458791666667
1866,284.2433,284.6769,285.3987,286.6284,287.4467,288.1626,288.5296,288.3407,287.6134,286.5674,285.4786,284.7516,286.486491666667
1867,284.6387,285.0602,285.822,286.8632,287.8268,288.3493,288.6353,288.4269,287.7201,286.6223,285.5242,284.8038,286.691066666667
1868,284.5658,284.8573,285.7675,286.82,287.8929,288.4784,288.7213,288.5717,287.8946,286.6659,285.5214,284.9268,286.723633333333
1869,284.7329,284.9231,285.8379,286.7626,287.7183,288.3326,288.5223,288.2949,287.713,286.5155,285.3672,284.71,286.619191666667
1870,284.4588,285.1073,285.6566,286.7539,287.7691,288.3865,288.6439,288.4791,287.8526,286.769,285.803,284.9398,286.7183
1871,284.8304,285.1864,285.9114,286.8438,287.6923,288.2922,288.5036,288.2561,287.5547,286.5294,285.4956,284.9435,286.66995
1872,284.6523,285.1557,285.8695,286.8131,287.459,288.1963,288.4383,288.3408,287.5671,286.2848,285.2092,284.3581,286.528683333333
1873,284.2469,284.8625,285.763,286.6712,287.3483,288.1003,288.2859,288.1402,287.5649,286.426,285.3411,284.5299,286.440016666667
1874,284.3656,285.0209,285.6745,286.7937,287.6655,288.3208,288.6622,288.465,287.6931,286.5656,285.5485,284.9488,286.643683333333
1875,284.5777,285.201,285.9384,286.9333,287.6771,288.2095,288.446,288.2097,287.5695,286.6151,285.3679,284.5624,286.608966666667
1876,284.5051,284.5518,285.622,286.507,287.4466,288.2834,288.4798,288.3689,287.5904,286.4712,285.2736,284.7023,286.483508333333
1877,284.5515,284.9312,285.8315,286.8518,287.8119,288.4374,288.903,288.6004,287.7651,286.721,285.528,284.8454,286.731516666667
1878,284.5268,284.9178,285.7169,286.6469,287.604,288.2158,288.3809,288.1643,287.5149,286.3326,285.3644,284.6781,286.505283333333
1879,284.0725,284.7115,285.3602,286.5692,287.4727,288.0162,288.2365,288.0721,287.405,286.2823,285.0193,284.2298,286.287275
