year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.8029,285.3139,286.1314,287.0498,287.8679,288.5361,288.907,288.5053,287.8621,286.9096,285.6913,285.0171,286.882866666667
1851,284.8035,285.1573,286.08,287.0155,287.8146,288.4738,288.7092,288.6341,287.9861,287.0393,285.9773,285.3574,286.920675
1852,284.9142,285.2917,286.1242,287.2206,288.0301,288.535,288.6217,288.5251,288.0318,286.8767,285.8019,285.0459,286.918241666667
1853,284.7098,285.2073,285.9459,286.9773,288.0019,288.7397,288.9809,288.6709,288.0275,286.8706,285.7666,285.2487,286.928925
1854,284.9152,285.2982,286.1986,287.1158,288.0473,288.6138,288.9313,288.5879,287.9469,286.9809,285.7984,284.9653,286.949966666667
1855,284.7821,285.2431,286.044,287.0487,287.9456,288.475,288.7726,288.6552,288.0243,286.9544,285.8139,285.1674,286.910525
1856,284.7324,285.2532,286.078,286.9671,287.7758,288.5153,288.6581,288.3499,287.6499,286.476,285.4323,284.7148,286.7169
1857,284.6325,284.8334,285.7442,286.8517,287.5769,288.1836,288.4011,288.2175,287.6169,286.6082,285.3559,284.7229,286.562066666667
1858,284.6842,284.9837,285.8489,286.8534,287.7116,288.3966,288.6199,288.4572,287.7675,286.741,285.5951,284.812,286.705925
1859,284.5748,285.0846,285.887,287.0709,287.9061,288.4005,288.6107,288.5329,287.8885,286.8109,285.6399,284.8399,286.770558333333
1860,284.6782,285.1937,285.8153,286.7704,287.843,288.4354,288.6553,288.5069,287.9233,286.9615,285.7167,284.8186,286.776525
1861,284.731,285.1287,285.8323,286.8398,287.6749,288.3374,288.6171,288.4159,287.6612,286.6508,285.4331,284.5718,286.657833333333
1862,284.697,285.1217,286.1761,287.0709,287.8088,288.4531,288.7151,288.6177,287.9865,286.7839,285.7186,284.7628,286.826016666667
1863,284.7221,285.2119,285.9037,287.0766,287.7269,288.4878,288.7394,288.5833,287.8439,286.8634,285.6068,284.7529,286.793225
1864,284.729,285.2252,286.1678,287.064,287.8832,288.5738,288.8669,288.65,288.024,286.816,285.7404,285.1156,286.904658333333
1865,285.1226,285.4837,286.2029,287.0207,288.0421,288.7972,288.9575,288.7756,288.0073,286.9605,285.8837,285.3192,287.04775
1866,285.0554,285.342,286.2741,287.1919,288.135,288.7884,288.9758,288.7318,288.0902,286.9997,285.9798,285.3088,287.072741666667
1867,284.7763,285.1549,286.1645,287.1103,287.8795,288.6099,288.7844,288.5666,288.0225,286.9921,285.9725,285.1241,286.9298
1868,284.8005,285.2687,286.0811,286.9344,287.693,288.2909,288.5895,288.3707,287.7464,286.6656,285.5668,284.9921,286.749975
1869,284.8253,285.054,285.9056,286.7642,287.7563,288.2914,288.4485,288.2816,287.5855,286.5415,285.5664,284.8101,286.652533333333
1870,284.5233,285.1544,286.2022,286.9808,287.8755,288.5552,288.7524,288.4522,287.9159,286.8865,285.8463,285.1961,286.861733333333
1871,284.7592,285.2647,286.2086,287.1852,287.9714,288.5758,288.8297,288.5988,287.9645,286.8134,285.4779,284.9162,286.88045
1872,284.7751,285.0675,285.8811,286.9933,287.8989,288.4839,288.6917,288.4676,287.7207,286.7875,285.7532,284.9385,286.78825
1873,284.9876,285.2697,286.1227,286.9979,287.9527,288.5283,288.7625,288.5019,287.8994,286.9479,285.7787,285.2025,286.91265
1874,285.1493,285.3623,286.1914,287.2354,288.1839,288.6649,288.833,288.5421,287.9495,286.9455,285.8395,285.136,287.002733333333
1875,285.0291,285.4906,286.2524,287.169,287.9806,288.5849,288.8724,288.6517,288.0091,286.9884,285.7733,285.0388,286.986691666667
1876,284.9518,285.3264,285.9458,286.9553,287.8315,288.4881,288.5894,288.4898,287.771,286.6134,285.4756,284.7799,286.768166666667
1877,284.8703,285.2031,286.0398,286.9736,287.9306,288.4356,288.6948,288.4585,287.7448,286.6736,285.5313,284.8289,286.782075
1878,284.6304,285.1931,285.9986,286.8409,287.8546,288.4093,288.6739,288.3863,287.7361,286.8994,285.5847,285.0096,286.768075
1879,284.6422,285.196,285.9417,286.9231,287.8784,288.4484,288.593,288.3636,287.7649,286.8507,285.7919,284.8418,286.769641666667
1880,284.8409,285.1372,285.9797,286.9485,287.989,288.6515,288.794,288.5545,287.8475,286.8553,285.5426,285.0691,286.850816666667
