year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.6324,285.0822,285.9065,286.4979,287.5765,288.4048,288.7174,288.6017,287.6635,286.4087,285.264,284.8801,286.636308333333
1851,285.1018,285.4785,285.892,286.6764,287.6356,288.2919,288.7998,288.5383,287.6436,286.3039,285.2984,284.8757,286.711325
1852,284.6868,285.2939,286.1844,286.7569,287.6747,288.5249,288.8417,288.6179,287.5619,286.3666,285.0984,284.5795,286.6823
1853,284.9299,285.1809,286.1622,286.7885,287.6575,288.5723,288.8976,288.5602,287.7744,286.3687,285.1669,284.5644,286.718625
1854,284.7059,285.3494,285.9142,286.6996,287.5444,288.34,288.8615,288.5417,287.6822,286.4697,285.2857,284.8268,286.685091666667
1855,285.0996,285.1981,285.9552,286.9247,287.6755,288.4958,288.7353,288.5218,287.654,286.3547,285.1746,284.8128,286.716841666667
1856,285.1017,285.2422,285.7821,286.7639,287.5091,288.2754,288.7245,288.4644,287.4213,286.1712,285.2786,284.6272,286.613466666667
1857,284.6054,285.3028,286.0452,286.8237,287.6428,288.3392,288.8696,288.4375,287.5531,286.2288,285.2959,284.9173,286.671775
1858,284.7319,285.287,285.8918,286.7383,287.675,288.5913,288.8981,288.6512,287.9792,286.6159,285.4301,285.0984,286.799016666667
1859,284.8783,285.6325,286.1456,286.9647,287.7922,288.3954,288.7762,288.5529,287.7399,286.3792,285.2877,284.5742,286.7599
1860,284.8292,285.479,286.0956,287.0114,287.7802,288.5361,288.8391,288.6894,287.672,286.3171,285.1911,284.5901,286.752525
1861,284.6621,285.2021,286.1909,286.9082,287.7647,288.573,288.8818,288.5788,287.6638,286.3013,285.4648,284.8416,286.752758333333
1862,285.0223,285.3285,285.9253,287.0132,287.8223,288.6183,288.9607,288.7238,287.8956,286.4787,285.1147,284.808,286.809283333333
1863,284.8261,285.2393,286.0385,286.8909,287.6635,288.3199,288.8622,288.5656,287.661,286.5565,285.4592,285.2141,286.774733333333
1864,284.994,285.5715,285.9961,286.9604,287.6871,288.3858,288.9175,288.5696,287.6094,286.4072,285.3677,284.8225,286.774066666667
1865,284.9787,285.1965,285.9291,286.8249,287.7042,288.563,288.7647,288.5799,287.8469,286.4626,285.2304,284.8442,286.743758333333
1866,285.0535,285.0937,285.9894,286.8322,287.6826,288.4543,288.7448,288.7578,287.6672,286.3094,285.2196,284.8188,286.718608333333
1867,284.861,285.1294,285.8164,286.8195,287.5649,288.4721,288.9121,288.7168,287.5882,286.3366,285.1129,284.5758,286.658808333333
1868,284.8009,285.0531,286.0378,286.9149,287.8158,288.5506,288.9745,288.5428,287.5618,286.2716,285.4212,284.7746,286.726633333333
1869,284.8419,285.3341,285.9712,286.6749,287.6874,288.3625,288.9289,288.597,287.7549,286.3829,285.1086,284.7707,286.70125
1870,284.9932,285.6898,285.9854,286.9716,287.6261,288.5575,288.9014,288.4415,287.6606,286.4415,285.4381,284.8957,286.8002
1871,284.8532,285.4496,286.0701,286.8512,287.8379,288.3885,288.8495,288.7095,287.8786,286.4323,285.3051,284.9029,286.794033333333
1872,284.9208,285.2518,286.0533,286.9224,287.8558,288.5415,289.1523,288.6638,287.8101,286.5393,285.3948,284.8245,286.827533333333
1873,284.9503,285.1611,285.8387,286.882,287.4853,288.4454,288.9071,288.7491,287.723,286.57,285.4465,284.9637,286.760183333333
1874,284.9488,285.1851,286.0813,287.0413,287.8271,288.7323,289.216,288.7076,287.872,286.5174,285.4604,284.9113,286.87505
1875,285.0347,285.2171,286.1424,286.7661,287.844,288.4522,288.9537,288.7502,287.9419,286.4825,285.4352,285.0624,286.8402
1876,284.7231,285.2825,286.3947,286.9865,287.9871,288.633,288.9469,288.718,287.8716,286.35,285.2296,284.8138,286.828066666667
1877,284.7314,285.1314,285.6198,286.7509,287.6103,288.468,288.9061,288.3587,287.5808,286.4101,285.2641,284.6767,286.625691666667
1878,284.6146,285.0356,285.9529,286.6878,287.5865,288.5894,288.9598,288.7029,287.6789,286.5645,285.4006,284.965,286.728208333333
1879,285.0059,285.4285,286.2413,287.1166,287.8595,288.824,289.0406,288.7142,287.7576,286.4399,285.4781,285.0062,286.909366666667
1880,285.2136,285.386,285.9053,286.9881,287.7738,288.4919,289.0091,288.617,287.6095,286.3373,285.2179,284.7497,286.774933333333
1881,284.9025,285.4079,286.2453,286.8567,287.7929,288.4768,288.8783,288.5894,287.7994,286.6212,285.6341,285.0615,286.8555
1882,285.0903,285.5561,286.292,287.1208,288.051,288.7066,289.0286,288.8178,287.81,286.4187,285.1956,284.8893,286.914733333333
1883,285.0151,285.2814,285.8507,286.8283,287.7017,288.5372,288.7189,288.683,287.8009,286.2868,285.1169,284.4896,286.692541666667
1884,284.5482,284.9659,285.7822,286.4973,287.4597,288.2298,288.4553,288.1406,287.2416,285.9211,284.9196,284.4784,286.386641666667
1885,284.7103,285.1056,285.6452,286.5976,287.6628,288.3171,288.6701,288.3045,287.5933,286.2531,285.1492,284.6156,286.552033333333
1886,284.5442,284.9657,285.9251,286.6091,287.5345,288.3828,288.8163,288.5572,287.5689,286.1899,284.8333,284.5577,286.540391666667
1887,284.7126,285.0014,285.6334,286.5325,287.3325,288.3348,288.7801,288.3998,287.7083,286.4362,285.2814,284.4301,286.548591666667
1888,284.6478,285.0931,286.0041,286.7257,287.6203,288.3266,288.9933,288.5408,287.5453,286.2822,285.175,284.6786,286.636066666667
1889,284.8701,285.1893,286.0871,286.8409,287.6529,288.4868,288.9067,288.5061,287.646,286.4793,285.3076,284.6789,286.720975
1890,284.7694,285.2238,285.7979,286.7265,287.6609,288.3187,288.6979,288.5938,287.5908,286.3474,285.1624,284.8092,286.641558333333
1891,284.7652,285.2297,286.0155,286.861,287.7044,288.4865,288.7835,288.4616,287.6568,286.3101,285.1206,284.5069,286.658483333333
1892,284.9007,285.0556,285.9197,286.7941,287.6115,288.5347,288.8487,288.5172,287.6661,286.369,285.4617,284.9871,286.722175
1893,285.2073,285.5796,286.179,286.9028,287.8677,288.6011,288.7978,288.5369,287.809,286.3689,285.2685,284.7076,286.81885
1894,284.8295,285.1735,285.8892,286.874,287.7185,288.5711,288.8132,288.4966,287.7779,286.4034,285.3523,284.9652,286.7387
1895,285.0127,285.3695,285.9214,286.8292,287.6371,288.4007,288.9988,288.6524,287.7563,286.4337,285.3438,284.8093,286.763741666667
1896,284.5222,285.2939,286.0552,286.9493,287.7258,288.7852,288.9798,288.5778,287.6343,286.4376,285.508,284.7996,286.772391666667
1897,284.7192,285.0165,285.6339,286.7322,287.921,288.6372,288.9628,288.5314,287.6994,286.2788,285.3007,284.7173,286.6792
1898,284.9497,284.9708,285.8541,286.8858,287.7191,288.4718,288.9049,288.4241,287.494,286.3123,285.4146,285.0416,286.703566666667
1899,284.9593,285.3255,286.1547,286.9034,287.7298,288.3809,288.9502,288.4883,287.5903,286.3465,285.3829,285.077,286.774066666667
1900,284.985,285.2184,285.9491,286.7397,287.7501,288.7997,288.8567,288.5743,287.582,286.2658,285.1092,284.5533,286.698608333333
1901,284.8936,285.186,285.8989,286.7983,287.7369,288.3792,288.8187,288.5239,287.6641,286.577,285.3277,284.6028,286.700591666667
1902,284.8062,285.4556,285.9531,286.8495,287.8687,288.5391,288.818,288.6266,287.7711,286.6493,285.3158,284.4696,286.760216666667
1903,284.6115,284.9347,285.6093,286.5365,287.462,288.2667,288.4992,288.0507,287.192,285.6757,284.8456,284.4534,286.344775
1904,284.2943,285.03,285.8043,286.607,287.5625,288.2071,288.6346,288.1917,287.4057,286.0858,284.951,284.6644,286.4532
1905,284.7732,285.1803,285.8514,286.6811,287.4011,288.3,288.6292,288.3532,287.4954,286.3711,285.2428,284.7217,286.583375
1906,284.7739,285.0961,285.787,286.728,287.8576,288.4753,288.8515,288.5281,287.575,286.3487,285.2433,284.9158,286.681691666667
1907,284.9504,285.0628,285.6323,286.67,287.53,288.5572,288.8382,288.551,287.6662,286.4655,285.4527,284.9595,286.69465
1908,284.9329,285.5555,286.2969,287.1577,288.0764,288.8874,289.0279,288.6902,287.692,286.3673,285.2493,284.935,286.905708333333
1909,284.9867,285.5349,286.1996,287.1686,288.012,288.7781,289.006,288.6172,287.8119,286.5077,285.5125,284.7602,286.90795
1910,284.9413,285.3939,286.0081,287.1459,287.8481,288.4424,288.8873,288.6346,287.805,286.5697,285.4085,284.7575,286.820191666667
1911,284.9055,285.5043,285.87,286.8361,287.6516,288.3866,288.7778,288.5257,287.7539,286.5286,285.4144,284.7988,286.746108333333
1912,284.9611,285.3197,286.0283,286.9211,287.751,288.3946,289.0219,288.449,287.6846,286.3669,285.1799,285.0349,286.759416666667
1913,285.0474,285.3701,286.0312,286.8238,287.6078,288.5462,288.8701,288.6169,287.7519,286.5401,285.3574,284.9706,286.794458333333
1914,284.7326,285.3036,285.9976,287.0406,287.9629,288.4814,289.0037,288.6486,287.7755,286.499,285.5214,285.1835,286.845866666667
1915,284.9262,285.287,286.0371,286.9171,287.8209,288.4971,288.946,288.776,287.8414,286.5245,285.5204,284.9414,286.836258333333
1916,285.1064,285.6177,286.1535,286.882,287.799,288.5374,288.9953,288.6617,287.687,286.3224,285.2785,284.9715,286.834366666667
1917,285.1868,285.4504,286.2774,286.8287,287.7457,288.4943,288.8866,288.6745,287.757,286.5314,285.4643,284.9375,286.852883333333
1918,285.2107,285.2983,285.9319,287.035,287.8064,288.6371,288.9912,288.861,287.8417,286.5073,285.5567,285.0457,286.893583333333
1919,284.9328,285.0622,285.6639,286.7902,287.6239,288.3454,288.904,288.6881,287.866,286.6115,285.6071,285.1065,286.7668
1920,285.1296,285.3996,286.3264,286.9286,287.8094,288.7948,289.0234,288.574,288.0298,286.624,285.4877,284.9814,286.925725
1921,285.1219,285.5759,286.1666,287.1682,287.9732,288.738,289.0183,288.7758,288.1408,286.6928,285.5333,285.0349,286.994975
