year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.2242,284.2467,285.2054,286.0835,286.8372,287.7282,288.1169,287.8808,287.222,286.0704,285.1042,284.6505,286.114166666667
1851,284.5594,284.7697,285.4949,286.1587,286.9042,287.6003,288.0092,287.8917,287.123,285.994,285.0353,284.4275,286.163991666667
1852,284.239,284.4146,285.0129,286.0208,286.8874,287.4279,287.8195,287.663,286.9048,285.6609,284.8312,284.3972,285.939933333333
1853,284.087,284.2692,284.9462,285.9472,286.6904,287.3966,287.8391,287.5507,286.7491,285.627,284.7422,283.9416,285.815525
1854,284.1193,284.1414,284.8806,285.7115,286.7478,287.4654,287.8793,287.6763,287.0255,285.9622,284.9736,284.4178,285.916725
1855,284.2797,284.4211,285.2384,286.1617,286.9265,287.4183,287.8016,287.7892,287.0775,285.9805,284.8921,284.2734,286.021666666667
1856,284.2221,284.4525,285.2057,285.9271,286.8296,287.4644,287.7522,287.6198,286.8033,285.6917,284.6277,284.053,285.887425
1857,283.9797,284.2947,285.1808,285.9111,286.7504,287.5439,287.8321,287.6461,286.7878,285.737,284.7431,284.2812,285.890658333333
1858,284.1,284.2871,285.0375,286.0108,286.8267,287.621,288.0652,287.7823,287.073,285.8274,285.025,284.5352,286.015933333333
1859,284.4807,284.9633,285.1753,286.1055,287.0071,287.6517,287.9508,287.9337,287.1533,286.067,285.0614,284.2792,286.152416666667
1860,284.1912,284.4444,285.1454,286.2874,287.0202,287.5358,287.9048,287.6916,287.0111,285.8765,284.7914,284.0309,285.994225
1861,284.1687,284.3299,285.0863,285.9157,286.8581,287.3996,287.8625,287.6891,286.9073,285.8496,284.8744,284.3259,285.938925
1862,284.1388,284.5012,285.0839,286.1254,286.9254,287.4753,287.9103,287.8021,287.0872,285.7918,284.9251,284.2208,285.998941666667
1863,284.2369,284.5341,284.9665,285.9822,286.756,287.424,287.8611,287.7307,287.0133,285.9664,284.8336,284.3011,285.967158333333
1864,283.9749,284.4334,285.0666,286.0213,286.8199,287.3939,287.8414,287.6286,286.9196,285.6818,284.6248,284.1876,285.882816666667
1865,284.0291,284.4348,285.0173,285.9293,286.7736,287.3929,287.778,287.5927,286.8501,285.8668,284.6753,284.162,285.875158333333
1866,283.8849,284.0839,284.9294,285.8238,286.8275,287.489,287.7656,287.7038,287.0191,285.6612,284.8307,284.2529,285.855983333333
1867,284.2243,284.1632,284.9336,286.0136,286.7245,287.4146,287.7405,287.6074,286.9301,285.8764,284.8345,284.1478,285.884208333333
1868,284.146,284.3077,284.8847,285.9972,286.8378,287.4507,287.6951,287.6661,286.9142,285.7849,284.9491,284.3809,285.917866666667
1869,284.3153,284.4956,284.9346,286.1033,286.942,287.6272,287.8175,287.6828,287.0554,286.0242,284.9732,284.3534,286.027041666667
1870,284.44,284.4629,285.0924,285.9613,286.9105,287.51,287.7412,287.7856,286.9122,286.0014,284.8871,284.3523,286.004741666667
1871,284.3617,284.5311,285.1383,286.0498,286.8371,287.5005,287.8794,287.9045,287.0846,285.8905,284.918,284.5188,286.051191666667
1872,284.3771,284.6518,285.096,286.0749,286.8566,287.5728,287.8854,287.7809,286.8621,285.9292,284.841,284.4038,286.027633333333
1873,283.9301,284.0477,284.7096,285.8386,286.8134,287.4045,287.5419,287.5123,286.7534,285.6728,284.5521,284.1442,285.743383333333
1874,283.7864,284.2606,284.8817,285.7906,286.731,287.5681,287.7877,287.6142,286.9406,285.7249,284.8165,284.4294,285.860975
1875,284.366,284.3231,285.2644,286.0473,287.015,287.5421,288.0113,287.782,286.9871,285.7694,284.7378,283.9753,285.985066666667
1876,283.852,284.2293,284.993,285.9684,286.7585,287.4918,287.7315,287.5135,286.9137,285.9766,284.935,284.1684,285.877641666667
1877,283.8536,284.3549,284.8271,285.947,287.0683,287.6524,287.8607,287.7913,287.0225,286.0381,285.015,284.2347,285.972133333333
1878,284.3655,284.511,285.1758,285.982,286.8698,287.5514,287.9902,287.7639,286.8185,285.8137,284.6844,284.2181,285.978691666667
1879,283.7971,284.1564,284.955,285.8741,286.8199,287.3149,287.7937,287.5467,286.8246,285.7342,284.6306,284.0325,285.789975
1880,283.987,284.2158,285.073,285.8831,286.7641,287.5377,287.9518,287.8093,287.1942,285.8399,284.7729,284.4719,285.958391666667
1881,284.1296,284.369,285.1729,285.9677,286.6731,287.4616,287.9784,287.7672,286.8603,285.8095,284.9824,284.246,285.951475
1882,284.3049,284.5267,284.9156,285.9005,286.736,287.4206,287.8112,287.7269,286.8656,285.8836,284.8048,284.2297,285.927175
1883,283.8753,284.4348,285.0407,286.0603,286.8979,287.558,287.9021,287.8327,286.8689,285.8378,284.7812,284.1485,285.936516666667
1884,284.0058,284.0403,284.546,285.5129,286.391,287.0639,287.3191,287.167,286.5848,285.5368,284.5409,283.9191,285.5523
1885,283.9875,284.2813,284.874,285.8457,286.5632,287.1822,287.6324,287.439,286.7802,285.7175,284.5659,283.7737,285.720216666667
1886,283.6766,283.8631,284.7504,285.7616,286.7108,287.332,287.664,287.6384,286.8857,285.7065,284.7851,284.0688,285.736916666667
1887,283.8274,284.3328,284.9839,285.8087,286.6773,287.4196,287.6919,287.6023,286.9249,285.8343,284.6828,284.1807,285.83055
1888,283.8746,284.0473,284.9344,285.7156,286.5916,287.2701,287.6332,287.6381,286.842,285.6898,284.6951,284.2097,285.761791666667
1889,284.1345,284.4084,285.0496,285.9698,286.838,287.5198,287.7987,287.6375,286.8218,285.6612,284.7263,284.0977,285.888608333333
1890,284.0297,284.2057,284.8981,285.9826,286.614,287.2755,287.7199,287.4998,286.7857,285.6214,284.672,284.0446,285.779083333333
1891,283.8807,284.2566,284.6369,285.7698,286.7993,287.3596,287.5921,287.4922,286.8341,285.723,284.7519,284.092,285.765683333333
1892,284.1324,284.448,284.9674,285.881,286.7374,287.3032,287.5402,287.4953,286.8555,285.6264,284.5484,283.9361,285.789275
1893,283.7935,284.4227,284.9693,285.7746,286.8412,287.5204,287.9081,287.6692,287.0712,285.7986,284.6785,284.0181,285.872116666667
1894,283.8903,284.325,284.4566,285.6971,286.8641,287.4821,287.6747,287.7317,287.0187,285.8241,284.8623,284.4395,285.855516666667
1895,284.2611,284.614,284.9418,286.0575,286.903,287.6669,287.9259,287.8273,287.0796,285.8966,284.9279,284.3336,286.036266666667
1896,284.1827,284.4134,285.2912,286.1567,287.0104,287.5518,287.9374,287.6843,286.926,285.7838,284.9433,284.2225,286.008625
1897,284.175,284.1578,284.7594,285.8499,286.9481,287.6049,287.9544,287.8274,286.9345,285.9394,284.8307,284.3083,285.940816666667
1898,283.9814,284.1293,284.9555,285.7653,286.6219,287.2297,287.7217,287.5878,286.9734,285.8268,284.9439,284.3056,285.836858333333
1899,284.1572,284.2561,284.8068,286.0634,286.8544,287.4077,287.9219,287.7323,286.9312,285.8171,284.8586,284.5526,285.946608333333
1900,284.1121,284.2371,285.1001,286.0785,286.7986,287.4221,287.8399,287.7442,286.8972,285.7868,284.8785,284.1282,285.918608333333
1901,284.0485,284.1631,284.9272,285.9263,286.8126,287.4264,287.7719,287.6076,286.89,285.7878,284.831,284.0491,285.853458333333
1902,284.0859,284.2824,284.9414,285.9111,286.7493,287.3954,287.7318,287.7684,286.9643,286.011,284.9211,284.0088,285.897575
1903,284.0729,284.3437,284.936,285.6851,286.6695,287.2333,287.5759,287.3572,286.6938,285.6539,284.7744,284.0822,285.756491666667
1904,284.1317,284.0014,284.6441,285.493,286.5288,287.1937,287.5918,287.6113,286.7341,285.6907,284.5359,283.994,285.679208333333
