year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.2806,284.6513,285.366,286.3328,287.238,287.7858,288.1282,288.0291,287.5052,286.2861,285.1147,284.4575,286.264608333333
1851,284.3001,284.4633,285.519,286.4651,287.2582,287.69,288.0693,287.9177,287.1676,286.1213,285.0181,284.6198,286.217458333333
1852,284.3651,284.7538,285.4471,286.1425,287.1733,287.942,288.1178,288.057,287.4138,286.3817,285.2791,284.8045,286.323141666667
1853,284.3321,284.5855,285.1714,286.3597,287.2473,287.8326,288.0175,287.9721,287.218,286.0955,285.1383,284.4202,286.199183333333
1854,284.0699,284.7183,285.2307,286.1429,287.0669,287.7109,288.1281,287.9056,287.2762,286.1912,285.3383,284.576,286.19625
1855,284.3376,284.7695,285.418,286.2702,287.2268,287.7581,288.1648,287.9733,287.2643,286.2085,285.1292,284.4682,286.249041666667
1856,284.3944,284.3548,285.3705,286.1912,287.1378,287.6831,288.0723,288.0189,287.1028,285.9576,285.1515,284.4507,286.157133333333
1857,284.3731,284.7508,285.5428,286.4501,287.2534,288.0067,288.2078,288.0061,287.2796,286.2309,285.1781,284.6031,286.323541666667
1858,284.76,284.6501,285.3788,286.4142,287.4263,287.95,288.28,288.0726,287.2869,286.283,285.3104,284.632,286.370358333333
1859,284.617,284.8542,285.3415,286.2177,287.3518,287.7981,288.0931,288.0152,287.3322,286.0927,285.1634,284.5711,286.287333333333
1860,284.1247,284.5403,285.1491,286.2274,287.2037,287.6736,288.0238,288.0095,287.301,286.2797,285.0514,284.5222,286.175533333333
1861,284.3747,284.4969,285.2998,286.4049,287.1791,287.8089,288.1527,288.0201,287.388,286.4413,285.3302,284.7071,286.300308333333
1862,284.5336,284.7493,285.5291,286.4124,287.1772,287.9428,288.1972,288.1113,287.3932,286.1643,285.1567,284.5997,286.330566666667
1863,284.4193,284.5648,285.2488,286.2976,287.157,287.8481,288.1599,287.9768,287.1907,286.2249,285.1999,284.5731,286.238408333333
1864,284.5322,284.9297,285.5134,286.4788,287.4194,288.0161,288.2616,288.3202,287.5465,286.6177,285.3487,284.8255,286.48415
1865,284.81,285.1732,285.5229,286.5422,287.4948,288.063,288.3999,288.2434,287.4704,286.4683,285.3301,284.7025,286.518391666667
1866,284.5843,284.7543,285.3587,286.4776,287.2305,288.0056,288.2983,288.2369,287.4447,286.3188,285.3101,284.5211,286.378408333333
1867,284.4722,284.8734,285.489,286.2022,287.1997,287.8698,288.2171,288.0991,287.509,286.3017,285.1057,284.5895,286.327366666667
1868,284.64,284.8129,285.5433,286.3053,287.3061,287.9743,288.3257,288.2434,287.4983,286.4137,285.4315,284.8303,286.443733333333
1869,284.7258,285.055,285.5611,286.3718,287.3076,287.7458,288.2246,288.1213,287.4233,286.2628,285.2024,284.4844,286.373825
1870,284.2564,284.7207,285.4901,286.3823,287.1951,287.7152,288.233,288.0487,287.3183,286.2808,285.1369,284.516,286.274458333333
1871,284.2966,284.5066,285.2739,286.3545,287.2176,287.9296,288.0908,288.1459,287.4718,286.2774,285.3054,284.4969,286.280583333333
1872,284.3082,284.6937,285.558,286.3714,287.298,287.9226,288.3249,288.1415,287.3526,286.3536,285.4195,284.7654,286.375783333333
1873,284.5451,284.7623,285.4701,286.4141,287.2719,287.9254,288.2666,288.1137,287.3605,286.2827,285.166,284.5003,286.339891666667
1874,284.3664,284.7187,285.4206,286.4146,287.0468,287.8046,288.2492,288.1723,287.3719,286.2241,285.32,284.6297,286.311575
1875,284.4065,284.5852,285.3112,286.2023,287.0412,287.8019,288.0832,287.9917,287.3565,286.061,285.1117,284.2915,286.186991666667
1876,284.4565,284.5427,285.445,286.4286,287.3893,288.0633,288.3306,288.2322,287.5246,286.6688,285.4928,284.8861,286.455041666667
1877,284.9312,285.2006,285.5889,286.5967,287.4985,288.1035,288.3002,288.2177,287.5674,286.2089,285.1197,284.7287,286.505166666667
1878,284.5564,284.7811,285.4037,286.3864,287.0817,287.7186,288.1146,287.9258,287.345,286.1724,285.1999,284.505,286.265883333333
1879,284.2846,284.5999,285.2162,286.2525,287.2328,288.0101,288.2652,288.0685,287.387,286.134,285.1335,284.5526,286.261408333333
1880,284.3426,284.6206,285.3714,286.4203,287.2277,287.8898,288.2542,288.2218,287.4362,286.306,285.4875,284.662,286.353341666667
1881,284.3752,284.7419,285.6131,286.5774,287.3959,287.9407,288.1213,288.1601,287.4333,286.2424,285.0677,284.4319,286.341741666667
1882,284.3786,284.3986,284.9403,286.1914,287.1194,287.7766,288.0536,288.0157,287.3911,286.2409,285.1875,284.6477,286.195116666667
1883,284.6072,284.836,285.5004,286.4225,287.345,287.9181,288.0689,288.0296,287.3101,286.2629,285.1708,284.4044,286.322991666667
1884,284.3237,284.4693,285.254,286.0709,287.011,287.6371,287.8864,287.8182,287.2584,286.2012,285.1072,284.5929,286.135858333333
1885,284.3462,284.5099,285.194,286.2206,287.0078,287.7013,288.0884,287.8739,287.126,285.9017,285.0362,284.4377,286.120308333333
1886,283.9331,284.446,285.024,286.0343,287.0034,287.5789,288.1449,288.0431,287.2336,286.1353,285.1501,284.4989,286.102133333333
1887,284.4237,284.2428,285.0625,286.2444,287.1004,287.7665,288.1778,287.9911,287.2224,286.0312,284.9505,284.3773,286.13255
1888,284.3209,284.7912,285.3321,286.3401,287.0352,287.7625,288.1521,288.0458,287.4735,286.2136,285.2062,284.6664,286.2783
1889,284.5813,284.6828,285.5943,286.5572,287.4048,288.0281,288.3192,288.208,287.5822,286.4413,285.4426,284.6711,286.459408333333
1890,284.5932,284.5765,285.3771,286.4624,287.3467,287.9335,288.1708,288.0561,287.3013,286.3343,285.1584,284.5043,286.317883333333
1891,284.2842,284.742,285.3364,286.4739,287.2275,287.8497,288.2278,288.2191,287.5381,286.454,285.5453,284.8454,286.395283333333
1892,284.8506,285.0089,285.6068,286.6352,287.4707,287.9419,288.2444,288.1831,287.4228,286.0463,285.0778,284.4992,286.415641666667
1893,284.3687,284.5112,285.4708,286.3275,287.0828,287.6835,288.052,288.0378,287.2699,286.2467,285.1029,284.4817,286.219625
1894,284.4468,284.4481,285.1837,286.1961,287.0745,287.7325,288.2121,288.0879,287.3237,286.0288,285.2291,284.5426,286.208825
1895,284.2042,284.8994,285.2324,286.3135,287.1753,287.8348,288.1257,288.0759,287.4055,286.4596,285.3055,284.8964,286.32735
1896,284.4891,284.6546,285.3818,286.2417,287.2285,287.8919,288.1053,288.0508,287.3049,286.0146,285.039,284.2827,286.223741666667
1897,284.1145,284.3541,284.9641,286.2882,287.1181,287.7696,288.0799,288.0181,287.3449,286.1472,285.0983,284.3521,286.137425
1898,284.2329,284.3622,285.387,286.3382,287.2531,287.8786,288.1484,288.0471,287.3771,286.2812,285.2263,284.4865,286.25155
1899,284.2674,284.4641,285.3878,286.2908,287.1225,287.7417,288.313,288.1201,287.4132,286.1457,285.0575,284.6973,286.251758333333
