year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,285.0213,285.213,285.8655,286.9929,287.8765,288.5158,288.6641,288.6836,287.7328,286.8459,285.8961,285.0846,286.866008333333
1851,285.0418,285.3053,286.0836,286.9439,287.6783,288.3144,288.5228,288.2872,287.5226,286.7057,285.7274,285.1449,286.773158333333
1852,284.6808,285.1219,285.9968,287.0674,287.9165,288.2303,288.5703,288.2945,287.6916,286.7686,285.7758,285.3031,286.7848
1853,285.1344,285.5687,286.3109,287.1188,287.8713,288.5613,288.7302,288.5529,287.7055,286.7656,285.847,285.0683,286.936241666667
1854,285.0029,285.1315,286.1544,287.1697,287.9156,288.4972,288.6821,288.2723,287.712,286.8817,285.7284,285.1668,286.85955
1855,284.9954,285.4574,286.161,287.031,288.0176,288.5225,288.5541,288.4483,287.6199,286.6561,285.7128,285.101,286.856425
1856,284.8322,285.1752,286.0213,287.0708,287.8908,288.4729,288.7561,288.4057,287.6417,286.7256,285.702,285.0781,286.814366666667
1857,285.0768,285.4578,285.9797,286.7298,287.5695,288.1705,288.2012,287.9268,287.2707,286.1871,285.0579,284.8232,286.537583333333
1858,284.4995,285.1981,285.918,286.905,287.7913,288.3686,288.597,288.2845,287.6017,286.5218,285.6771,285.0156,286.698183333333
1859,284.7544,285.257,286.0756,287.1936,287.8291,288.5206,288.7289,288.4187,287.7099,286.5421,285.7039,285.3244,286.838183333333
1860,285.3053,285.5768,286.1704,286.9943,287.8824,288.6542,288.7662,288.4345,287.6889,286.8898,286.115,285.2254,286.975266666667
1861,285.0585,285.2678,285.9374,287.2088,287.8523,288.3489,288.6107,288.3984,287.7523,286.8373,285.9533,285.4325,286.888183333333
1862,285.2047,285.6601,286.1977,287.1125,287.8953,288.52,288.7447,288.537,287.8017,286.8464,285.9517,285.1771,286.970741666667
1863,284.8897,285.1747,285.8534,286.8922,287.8209,288.2234,288.4778,288.28,287.5388,286.6752,285.6786,285.0347,286.711616666667
1864,285.0637,285.4034,286.204,286.8864,287.8506,288.3986,288.7035,288.5797,287.7664,286.8002,285.8487,285.2198,286.89375
1865,285.1116,285.4681,286.0618,287.1152,287.8844,288.4948,288.712,288.4841,287.6194,286.7516,285.7406,285.1451,286.882391666667
1866,284.7578,285.2126,285.913,286.8663,287.8157,288.4464,288.6498,288.3888,287.8378,286.8515,285.7291,285.3618,286.819216666667
1867,285.087,285.4703,285.9855,286.942,288.0722,288.5904,288.6948,288.5722,287.9437,287.1306,285.8868,285.032,286.950625
1868,284.9742,285.4659,285.9992,287.0427,287.9486,288.4473,288.8581,288.4023,287.7837,286.8096,285.8962,285.3647,286.916041666667
1869,285.1186,285.4249,286.1003,287.0391,287.9849,288.566,288.7946,288.5985,288.0271,286.8853,285.8665,285.3757,286.981791666667
1870,285.1398,285.0988,286.0949,287.1845,288.0527,288.6366,288.8673,288.6283,288.0482,287.1143,286.0944,285.5219,287.040141666667
1871,285.3888,285.6367,286.2128,287.1333,288.032,288.6868,288.9561,288.6873,288.1346,287.151,286.1942,285.2399,287.121125
1872,285.2817,285.4268,286.2021,287.2169,288.1036,288.6689,288.911,288.6491,287.9767,286.9236,286.0342,285.2611,287.054641666667
1873,284.9376,285.4307,286.2983,287.2709,288.1177,288.6931,288.8779,288.681,288.1443,286.9901,286.192,285.5045,287.094841666667
1874,285.3152,285.4773,286.1784,287.2711,288.0923,288.7577,288.9225,288.6187,287.9719,287.0036,286.084,285.4643,287.096416666667
1875,285.0946,285.5519,286.4123,287.348,288.0923,288.7915,289.1148,288.7224,287.9735,287.0563,286.1494,285.3315,287.136541666667
1876,285.3256,285.4811,286.1521,287.2514,288.0193,288.7271,288.9889,288.5218,287.9911,287.065,285.9577,285.5071,287.08235
1877,285.0696,285.6488,286.4273,287.3776,288.1368,288.791,288.9832,288.655,287.9726,287.0175,285.9388,285.4126,287.119233333333
1878,285.1458,285.4792,286.1502,286.9241,287.9424,288.608,288.8926,288.615,287.8517,286.9161,285.9168,285.1036,286.962125
1879,285.1844,285.457,286.4769,287.3575,288.132,288.7248,288.9758,288.7057,287.9911,287.1102,286.1065,285.2716,287.124458333333
1880,285.4448,285.5834,286.3061,287.3033,288.2243,288.7676,288.9145,288.7697,288.1591,287.0821,286.1172,285.4858,287.179825
1881,285.2441,285.7681,286.2413,287.2646,288.1577,288.718,288.9724,288.8003,288.1022,287.1144,285.9625,285.5372,287.1569
1882,285.2809,285.6715,286.2184,287.3521,288.2829,288.9055,289.0376,288.7901,287.9924,286.9998,286.0175,285.3935,287.16185
1883,285.1865,285.4502,286.2446,287.1804,288.2339,288.8228,289.0403,288.7005,287.9236,287.0176,285.7933,285.2139,287.0673
1884,284.7736,284.9564,285.6908,286.8878,287.6317,288.2177,288.3087,288.0554,287.3153,286.4557,285.4288,285.1324,286.571191666667
1885,284.5755,285.1973,285.9369,287.0211,287.9482,288.4802,288.8059,288.536,287.6879,286.6283,285.63,285.1146,286.796825
1886,284.7544,285.3354,285.9141,286.9349,287.8101,288.3765,288.7947,288.3182,287.5984,286.5482,285.7508,284.9862,286.760158333333
1887,284.8406,285.3533,286.2113,287.1239,287.9174,288.6682,288.6948,288.4864,287.8135,286.6535,285.7999,285.2389,286.900141666667
1888,285.0468,285.3904,285.9739,287.0581,288.0157,288.5881,288.542,288.4401,287.6996,286.6626,285.559,284.8883,286.82205
1889,284.6087,285.1348,285.9504,286.8401,287.8039,288.4426,288.709,288.3386,287.7132,286.6434,285.8624,285.3616,286.784058333333
1890,285.2762,285.8242,286.3572,287.1663,288.0942,288.5598,288.6809,288.3914,287.5166,286.5582,285.652,284.9993,286.923025
1891,284.8985,284.9893,285.8957,286.8438,287.6357,288.2875,288.4903,288.0489,287.489,286.694,285.6604,284.9803,286.65945
