year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
1850,284.2698,284.5486,285.1353,286.1581,287.623,288.1862,288.3404,287.8933,287.1627,286.2473,285.2453,284.5423,286.279358333333
1851,284.5032,284.6491,285.2916,286.1297,287.2717,288.1635,288.3539,287.8959,287.217,286.2237,285.4236,284.7861,286.32575
1852,284.3774,284.5275,285.0829,286.3066,287.4305,288.1145,288.3091,287.9169,287.1176,286.1867,285.2356,284.5229,286.260683333333
1853,284.3081,284.42,285.0813,286.3894,287.5714,288.2865,288.3114,287.8973,287.2781,286.3131,285.449,284.6198,286.327116666667
1854,284.3918,284.2843,285.2128,286.3654,287.5289,288.1642,288.2099,287.9297,287.1355,286.2004,285.4097,284.6549,286.290625
1855,284.2718,284.527,285.0505,286.1136,287.34,288.195,288.2756,288.0092,287.1227,286.2955,285.2957,284.6261,286.260225
1856,284.5092,284.5345,285.2014,286.3465,287.5558,288.0848,288.2978,287.8856,287.1072,286.3417,285.2047,284.8,286.322433333333
1857,284.3268,284.48,285.1992,286.3451,287.3582,288.0408,288.2974,287.9522,287.058,286.2393,285.2825,284.752,286.277625
1858,284.6455,284.5234,285.095,286.0136,287.4034,288.2002,288.2724,287.8532,287.1243,286.1409,285.3687,284.6141,286.271225
1859,284.4325,284.3882,285.0027,286.1475,287.377,288.0483,288.2145,287.9869,287.2068,286.1295,285.1351,284.7057,286.231225
1860,284.5151,284.6625,285.2713,286.1121,287.304,288.0974,288.1499,287.7471,286.97,286.1275,285.1801,284.5669,286.225325
1861,284.3584,284.5202,284.9074,286.1523,287.393,288.1689,288.3832,287.9324,287.0717,286.2296,285.398,284.7945,286.2758
1862,284.5597,284.7015,285.35,286.309,287.4359,288.1226,288.1481,287.8091,287.0586,286.1424,285.3599,284.582,286.298233333333
1863,284.4507,284.6111,285.3073,286.1727,287.301,288.0526,288.2347,287.8588,287.065,286.2221,285.2471,284.6675,286.265883333333
1864,284.4895,284.8654,285.2223,286.3496,287.5861,288.2683,288.4879,287.9774,287.142,286.1764,285.2747,284.6446,286.373683333333
1865,284.5897,284.6534,285.3444,286.3828,287.5378,288.2472,288.473,287.9654,287.2046,286.2549,285.446,284.8457,286.412075
1866,284.4387,284.5068,285.0253,286.1089,287.3835,288.0878,288.2694,287.864,287.173,286.3063,285.3871,284.7146,286.272116666667
1867,284.522,284.5048,285.3388,286.408,287.5469,288.3052,288.4581,288.026,287.1616,286.2899,285.3889,284.9695,286.409975
1868,284.7429,284.6447,285.5739,286.3535,287.5289,288.296,288.4284,288.1906,287.2365,286.3346,285.4257,284.8208,286.464708333333
1869,284.358,284.3801,285.3547,286.386,287.5678,288.3147,288.408,288.0542,287.2262,286.3872,285.5769,284.9,286.409483333333
1870,284.4582,284.5118,285.4841,286.3289,287.5244,288.3002,288.3664,288.0906,287.2097,286.2696,285.4392,284.8275,286.400883333333
1871,284.4622,284.3585,285.2206,285.9769,287.3902,288.1617,288.3184,287.8927,287.0448,286.2489,285.4259,284.8324,286.277766666667
1872,284.3964,284.5587,285.365,286.5477,287.5406,288.1877,288.3533,288.0209,287.1362,286.3857,285.481,284.7654,286.394883333333
1873,284.5038,284.6614,285.3519,286.2806,287.5058,288.2114,288.2636,287.9926,287.1929,286.4216,285.5476,284.9843,286.409791666667
1874,284.6757,284.7373,285.424,286.3174,287.3593,288.164,288.2481,287.9292,287.2097,286.2812,285.3621,284.7772,286.373766666667
1875,284.4879,284.4093,285.299,286.4664,287.4804,288.2066,288.4203,287.9991,287.2197,286.2184,285.4684,284.798,286.372791666667
1876,284.6262,284.772,285.256,286.3848,287.6974,288.3438,288.4719,288.0581,287.2868,286.3738,285.5245,285.1604,286.496308333333
1877,284.7049,284.6874,285.327,286.3397,287.4311,288.1606,288.2433,287.9626,287.0699,286.1895,285.4192,284.616,286.345933333333
1878,284.2264,284.45,284.9437,286.3574,287.3669,288.14,288.2698,287.9219,287.0551,286.2502,285.3401,284.8601,286.265133333333
1879,284.687,284.533,284.9577,286.2746,287.3465,288.106,288.2908,287.9066,287.0747,286.4113,285.3942,284.9074,286.32415
1880,284.6497,284.492,285.3232,286.3676,287.5632,288.2062,288.4253,288.037,287.2966,286.3206,285.3481,284.679,286.392375
1881,284.377,284.5869,285.4387,286.3529,287.5927,288.2679,288.4279,288.0533,287.2555,286.3969,285.3944,284.5645,286.392383333333
1882,284.3962,284.3378,284.9069,286.1231,287.4797,288.2783,288.2532,288.0026,287.1753,286.3378,285.4547,284.6606,286.28385
1883,284.2949,284.4642,285.1144,286.2058,287.363,288.1051,288.3704,288.0056,287.2039,286.2985,285.4987,284.7719,286.308033333333
1884,284.7552,284.7675,285.3369,286.2412,287.5451,288.2841,288.3831,288.058,287.2089,286.3807,285.4483,284.9276,286.444716666667
