year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,-1.406,,,-89.247,89.247,,,,-0.468666666666667
1860,284.7695,285.053,285.7177,286.6107,287.5233,288.2293,288.5667,288.3683,287.6428,286.5808,285.5383,284.9176,286.6265
1861,284.7679,285.0695,285.7243,286.6581,287.613,288.2969,288.5914,288.3855,287.6174,286.5614,285.5361,284.8834,286.642075
1862,284.7675,285.0543,285.7314,286.6349,287.5528,288.2514,288.5818,288.3869,287.6323,286.5495,285.504,284.8674,286.626183333333
1863,284.764,285.0916,285.7419,286.6549,287.558,288.2403,288.5813,288.3727,287.6296,286.5718,285.5698,284.9272,286.641925
1864,284.8105,285.0779,285.7843,286.6752,287.6025,288.2694,288.5959,288.3931,287.6424,286.5676,285.5585,284.8949,286.656016666667
1865,284.7774,285.0738,285.7825,286.6836,287.5744,288.2499,288.5951,288.3839,287.6321,286.5599,285.556,284.907,286.647966666667
1866,284.8196,285.0932,285.755,286.6794,287.5828,288.2862,288.6004,288.3975,287.649,286.5946,285.5243,284.9067,286.657391666667
1867,284.7581,285.067,285.7443,286.6493,287.5769,288.2606,288.5977,288.3992,287.6264,286.5531,285.5562,284.884,286.6394
1868,284.8065,285.0573,285.7253,286.6509,287.5603,288.2561,288.599,288.3919,287.6376,286.5515,285.5299,284.9113,286.6398
1869,284.8215,285.0758,285.7531,286.6389,287.5851,288.2969,288.6226,288.4176,287.6569,286.6012,285.5671,284.9448,286.665125
1870,284.8347,285.0954,285.8244,286.6822,287.6355,288.3599,288.6738,288.4681,287.6952,286.6025,285.5754,284.9421,286.6991
1871,284.8549,285.1233,285.8032,286.7013,287.588,288.295,288.6344,288.4294,287.6567,286.5839,285.5483,284.9204,286.678233333333
1872,284.8405,285.0959,285.7797,286.6411,287.5927,288.2963,288.6388,288.4518,287.681,286.6297,285.6011,284.9535,286.683508333333
1873,284.8787,285.152,285.8501,286.7521,287.6602,288.3331,288.6618,288.4715,287.677,286.6597,285.6163,284.9654,286.723158333333
1874,284.8471,285.1434,285.837,286.7007,287.6108,288.3027,288.6364,288.417,287.6582,286.6042,285.5562,284.9446,286.688191666667
1875,284.85,285.111,285.7704,286.6788,287.5709,288.2751,288.6032,288.4037,287.6536,286.587,285.5839,284.9196,286.667266666667
1876,284.7834,285.1076,285.7556,286.6506,287.5759,288.2727,288.6135,288.4009,287.6321,286.5641,285.5584,284.9182,286.65275
1877,284.7857,285.1205,285.78,286.6947,287.5748,288.2779,288.6221,288.3691,287.6554,286.5785,285.5378,284.9108,286.658941666667
1878,284.7668,285.0403,285.7202,286.653,287.5741,288.2781,288.5846,288.3853,287.6346,286.562,285.5331,284.9036,286.636308333333
1879,284.7592,285.0501,285.762,286.6209,287.5545,288.244,288.5854,288.3725,287.6344,286.571,285.5249,284.8943,286.6311
1880,284.7799,285.0804,285.7329,286.6677,287.5743,288.2857,288.6211,288.4421,287.6783,286.5997,285.581,284.9425,286.665466666667
1881,284.8119,285.0652,285.7487,286.6577,287.5987,288.3,288.5955,288.4075,287.6389,286.5721,285.5473,284.887,286.652541666667
1882,284.7325,285.0584,285.7079,286.6125,287.5396,288.2543,288.5693,288.3905,287.6216,286.5522,285.5548,284.884,286.623133333333
1883,284.7911,285.0719,285.7345,286.6354,287.553,288.2426,288.5741,288.3771,287.583,286.4672,285.3861,284.6817,286.591475
1884,284.547,284.8399,285.4704,286.3374,287.2008,287.8859,288.2,287.9904,287.2138,286.1315,285.1133,284.4998,286.28585
1885,284.4195,284.714,285.4133,286.3307,287.2401,287.9475,288.2882,288.0698,287.2961,286.2142,285.1649,284.5304,286.302391666667
1886,284.4382,284.7704,285.4476,286.3617,287.3073,288.0226,288.3513,288.1567,287.3778,286.282,285.2183,284.6046,286.361541666667
1887,284.5042,284.7941,285.4725,286.4023,287.3445,288.0547,288.3703,288.1619,287.4157,286.3413,285.294,284.6805,286.403
1888,284.5658,284.8523,285.5469,286.4591,287.3913,288.1246,288.4524,288.2385,287.464,286.3738,285.3151,284.6827,286.455541666667
1889,284.5423,284.8431,285.5163,286.4117,287.367,288.0797,288.4214,288.2154,287.4391,286.3491,285.3208,284.6904,286.433025
1890,284.5539,284.882,285.5611,286.4737,287.3633,288.0682,288.3492,288.1414,287.3798,286.3003,285.2695,284.6423,286.415391666667
1891,284.5263,284.8233,285.5038,286.4147,287.3155,288.0449,288.3869,288.1726,287.4243,286.3481,285.3083,284.6939,286.41355
1892,284.5997,284.8725,285.5793,286.4942,287.3866,288.0787,288.4291,288.2249,287.4441,286.3667,285.2953,284.7308,286.458491666667
1893,284.6149,284.9386,285.6015,286.5222,287.4462,288.1614,288.4826,288.2717,287.4822,286.4081,285.4046,284.7536,286.5073
1894,284.639,284.9323,285.6474,286.5231,287.4429,288.1776,288.5079,288.3099,287.5634,286.4803,285.3957,284.7746,286.532841666667
1895,284.6796,284.9431,285.6152,286.5713,287.4992,288.2125,288.5138,288.3355,287.5726,286.511,285.4792,284.8267,286.563308333333
1896,284.7299,285.043,285.71,286.6181,287.5435,288.2437,288.5652,288.3625,287.6124,286.4934,285.4822,284.8608,286.605391666667
1897,284.7276,285.0244,285.6811,286.5989,287.522,288.24,288.568,288.3605,287.6018,286.4882,285.4642,284.8705,286.5956
1898,284.6942,285.0071,285.6746,286.5945,287.5063,288.2055,288.5202,288.3249,287.5809,286.5007,285.4643,284.8258,286.574916666667
1899,284.6908,284.9685,285.686,286.5706,287.476,288.1862,288.5307,288.3277,287.5622,286.5105,285.4524,284.8106,286.56435
1900,284.7371,285.0174,285.6902,286.5782,287.5334,288.2257,288.5653,288.3713,287.6165,286.519,285.5074,284.8833,286.603733333333
1901,284.7655,285.0389,285.7268,286.6473,287.5521,288.2507,288.5617,288.3654,287.6111,286.5549,285.5282,284.8796,286.623516666667
1902,284.7577,285.0575,285.7042,286.6169,287.5348,288.2371,288.583,288.3473,287.6122,286.5011,285.4411,284.7925,286.598783333333
1903,284.6367,284.9099,285.569,286.4543,287.3241,288.0086,288.3453,288.1253,287.3549,286.2536,285.2535,284.6027,286.403158333333
1904,284.5272,284.8546,285.5197,286.4178,287.3337,288.0379,288.3888,288.2051,287.4389,286.3289,285.3272,284.714,286.424483333333
1905,284.5935,284.8645,285.5831,286.5012,287.4155,288.142,288.4716,288.278,287.5364,286.4441,285.4268,284.8035,286.505016666667
1906,284.7057,284.9752,285.6572,286.5858,287.4583,288.1835,288.5155,288.3035,287.5238,286.4515,285.4146,284.7964,286.547583333333
1907,284.6334,284.9193,285.6301,286.5259,287.4265,288.1655,288.4725,288.264,287.5162,286.4551,285.4288,284.8417,286.52325
1908,284.7247,285.0036,285.7044,286.5791,287.5112,288.2216,288.5489,288.3192,287.5739,286.5248,285.4769,284.8424,286.585891666667
1909,284.752,285.0429,285.7246,286.645,287.5364,288.253,288.5666,288.3523,287.5724,286.4961,285.4776,284.8329,286.604316666667
1910,284.7037,285.0244,285.7166,286.6351,287.5513,288.2263,288.5605,288.3472,287.5811,286.5132,285.5069,284.8459,286.601016666667
1911,284.7118,285.0251,285.6951,286.6163,287.565,288.2658,288.619,288.3825,287.6128,286.5241,285.5087,284.8622,286.6157
