year,jan,feb,mar,april,may,june,july,aug,sep,oct,nov,dec,mean
,,,,,,,,,,,,,
,,,,,-0.938,,,-90,90,,,,-0.312666666666667
1860,284.7716,285.1147,285.811,286.7398,287.6765,288.382,288.6824,288.4538,287.7291,286.6646,285.6152,284.9369,286.7148
1861,284.8268,285.1195,285.8373,286.7615,287.7041,288.4084,288.7114,288.4841,287.7247,286.6546,285.6299,284.952,286.734525
1862,284.7983,285.1179,285.8394,286.7566,287.6878,288.3991,288.6779,288.4846,287.7384,286.6429,285.5862,284.9202,286.720775
1863,284.7929,285.1178,285.8362,286.7497,287.6813,288.373,288.6844,288.4757,287.7132,286.6605,285.5854,284.9382,286.717358333333
1864,284.8055,285.1337,285.8333,286.7564,287.696,288.3844,288.6896,288.4766,287.7234,286.6548,285.5936,284.9559,286.725266666667
1865,284.8085,285.1417,285.819,286.7659,287.7032,288.4015,288.6985,288.4747,287.7283,286.6548,285.6122,284.9499,286.72985
1866,284.7858,285.1002,285.7921,286.7411,287.7039,288.4184,288.7147,288.504,287.7584,286.6969,285.6249,284.9656,286.733833333333
1867,284.8372,285.1393,285.8359,286.796,287.7223,288.432,288.7345,288.5139,287.7562,286.7124,285.6426,284.9818,286.758675
1868,284.8283,285.1328,285.8353,286.7903,287.7361,288.4317,288.7379,288.5169,287.7744,286.7002,285.6763,285.0299,286.765841666667
1869,284.8731,285.1853,285.8904,286.8279,287.7765,288.46,288.7584,288.5383,287.7953,286.736,285.6702,285.0071,286.793208333333
1870,284.8422,285.1722,285.8664,286.7986,287.7351,288.4786,288.7511,288.5402,287.8056,286.7386,285.6923,285.0315,286.7877
1871,284.8672,285.19,285.8708,286.8115,287.7565,288.4518,288.7586,288.5661,287.7927,286.723,285.6664,285.0067,286.788441666667
1872,284.8435,285.1534,285.8728,286.8142,287.7479,288.4567,288.7512,288.5415,287.7846,286.7271,285.6776,285.0249,286.78295
